"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
21309,102385
51149.9,68345.7
57928.1,72608.5
69436.8,32418.3
40911,103354
25405.8,72656.3
46245.2,83726.2
112410,120284
20844.7,46687.2
18984.7,60101.6
32378.2,61050.4
16160.8,55849.6
42580.2,21323.7
73944.6,100814
11023.8,18855.8
79991.8,159687
91807.8,71662.6
28195.5,57519.5
35988.8,30629.7
70485.9,123275
19050.8,24335.6
56870.1,35700
27861.6,83238.8
138572,125563
64661.2,56471.2
25902.3,57381.8
19229.4,19596.8
11212.5,28651.3
61252.4,48537.3
160166,121689
14032.1,40071.1
26752.8,103837
18644.1,109781
172490,179958
36436.6,55518.6
54159.3,86718.9
56104.3,63115.2
86888.4,104157
85844.6,105875
167765,90634.8
17595,48457.5
17301.5,29847.2
54379,65072.5
109019,191610
14650.4,62050.1
44663.9,94074.3
26737.9,31862.2
18177.2,18222.2
37085.6,36203.1
40581.2,22084
48464.6,38777.9
81031.1,90667.4
84317.1,66964.6
19799.6,89537.1
39185.2,46118.3
130003,95098.3
119804,165535
70722.7,36043.5
41063.4,30921.3
84550,57362.4
36447.3,124068
69156.2,80923.9
41792.2,52664.6
31643.1,22138.2
58930.3,124105
13386.7,50872.5
45001.6,64294.9
60759,162860
82301,68697.5
69581.7,111284
54033.8,175839
60209.6,102476
55285.3,97125.6
37538.6,73374.2
116976,154081
110810,103620
25095.5,79607.1
32487,19349.8
16808.4,26784.4
86624.4,131642
20029.2,19392.9
54940.3,56947.9
16256.2,31746.7
102531,109072
107228,159966
55397.6,81682
44400.9,127808
57547.1,103604
19931.2,19046.8
21093.1,51613.9
24280.3,41443.1
54034,101494
42237.4,63230.7
73050.4,58466.5
146231,186546
56688.1,88029.7
15309.9,44239.1
31700.2,99605.3
119107,146907
32334.2,32152.4
47954.7,57905.8
20259.5,33900.4
95583.1,94226.7
154264,161124
112821,121480
14665.9,34239.8
169284,153391
112239,108265
134217,170569
11204.8,34523.5
116678,152481
35489.5,33204
17760.9,69004.8
71116.8,68741.6
104382,79381
34579.8,91903.5
19827.5,46023.7
44856.7,60115.1
38377,32640.4
82120,72421
46541,78324.5
42543,63838.4
11011.5,55185.9
21631.1,19904.1
70688.9,83868.8
31096,20180.6
69089.2,124303
108963,138741
44072,47864.6
11217.8,40920.2
40658.7,24286.2
73136.5,70962.8
76453.2,78267.8
40614.3,32137.1
44140.7,74109.4
56626,156700
21125.6,75662.2
34916.2,28507.1
34198.7,55437.6
15045.6,21834.4
107880,142090
11872,66165
117475,92907.7
14821.6,30816.8
88558,55883
49295.6,95985.8
121276,150728
18787.1,17418.6
22199.3,50030.1
65452.4,113292
123953,172053
109923,70043
13257.7,71564.3
39287.8,80356.7
44661.9,53809.9
26912.2,102329
15247.5,46578.8
47975.1,72457
12830.2,33391.8
120110,107010
12631.5,31343.3
