"FITC-A","mCherry-A"
25955.5,80688.5
138494,171314
32124.7,69462.8
18788.2,53720.2
66668.6,72609
86231.8,148259
43958.7,56802.9
19875.9,100765
17017.3,29101.7
19442.3,21827.7
152091,199697
13920.2,106961
24911,20856.5
39075.8,78358.9
11948.6,85172.9
34191.6,21755.4
37211.3,48856.1
16344.3,30968.2
19452.6,117894
35017.4,81202.6
35558.7,97968.5
27250.9,55992.3
31702.1,124199
42000.5,44759.1
27240.1,65441.4
13560,23375.9
20351.6,63933.6
19546.2,90613.6
40220.2,35289.6
29116.6,98391.2
20784.8,60727.2
14766.3,19331.1
36681.1,35161.3
31143.3,31485.8
12133.9,107552
16620.9,121169
25134.7,33059.7
41559,49299.6
12946.1,18621.8
28780.2,32405.3
35025.1,62509.3
12813.4,47661.2
13975.6,55608.4
24872.7,65855.6
34384.8,26188.1
33807,159316
30741.8,43125.6
25338,51104.9
18559,30786.7
16383.8,21002.7
66395.6,110446
63243.6,79160.5
14281.9,76469.9
26605.7,93648.8
89711.6,134293
19175.4,90832.1
35125,96627.5
23898.4,103402
121511,80377.1
25775.1,56476.1
18578.1,101735
12121.5,22909.6
36056.9,81957.6
17302.2,134299
25082.3,70457.2
14240.9,22559.6
133883,173028
17072,49972.4
27121.1,30916.2
24222.6,80666.4
27360.2,97653.7
25637.9,40208.8
11872.5,25324
52065.2,44126
39398.3,41253.1
25228.7,27343.9
31922.8,39226.5
93437.9,96790.1
41845.1,30905.3
31312,53751
23395.7,56373.3
26213,90045.4
23443.8,44056.9
55491.2,50437.6
65350.2,177923
15955.7,79050.8
35654.4,87440.7
15226.4,55267.2
57702.9,169728
67805.9,65462.3
62495.4,92574.4
11751.4,38546.1
32530.8,56844.3
21334.7,77586
14265,25000.1
32097.8,61610.1
46447.5,30527.2
44705.3,106509
27863.8,108141
21638.7,131781
35566.7,87221.2
107132,151634
25313.5,37189.2
30629.8,43406.5
42741.2,98275.4
14426.6,17975.4
24418.4,62335.2
