"FITC-A","mCherry-A"
15654.8,17168.7
53247.1,97499.4
79241.9,38766.4
39491.3,77160.7
96885.7,83527.5
38004.2,72900.3
98520.1,151400
15621.3,29214.9
185671,192432
79463.7,87459.9
46061.7,141070
142264,104235
12971.3,45474.7
20066.2,86986.2
16617.9,60197.4
46709.1,82262.9
33869,74717.2
16955.1,46900.6
31277.7,41666.3
11540.1,77859
37957.6,45586.2
37281.8,86067
52538.7,52319
41934.3,47434.7
56239.2,121144
17300.5,19019
35910.8,93734.8
61247.9,100248
131619,151096
74742.2,105919
17629.9,20995.7
72108,94923.1
157587,191698
13704.5,71861.4
23208.6,70029.9
17911.8,27866.9
85732.8,93207.2
47749.3,89202
112150,129920
17487.3,74134
25111.8,66978.8
140197,121275
48345.2,76723.8
164362,175940
11700.9,72840.1
29037.3,47013.9
43209.4,119287
16777.5,17569
30765,89409.5
75147.6,59784.4
16800.3,33614.1
53278.4,82521.1
25894.3,92121.6
74227.6,41926.2
159668,187460
20732,18181.1
16936.4,42012.7
16974.8,70117.5
63602.8,69949.9
68519.3,34756.4
82882.5,90293.9
32049.2,16901
43509.9,21776.7
75553.1,70262.8
32079.9,71814.3
101632,71698.4
167323,163849
42688.5,57132.8
12336.5,21473.1
17054.7,42272.3
34031.6,54561.9
55219,119917
56209,59818
52878.7,26738.5
34335.3,40957.3
12511.3,17766.7
67990.5,35983.8
31173.9,53056.8
36601.5,102112
19425.1,48171.2
116484,121561
11142.6,69121.4
55756.2,100295
31129.2,24080.4
32500.6,20226.5
14463.4,28300.8
11568.2,90985.8
33526.7,59804.1
144134,141692
153194,189188
60635.2,77389
84367.1,166673
27077.8,93405.9
32332.6,60659.8
27756,52278.8
83126,152146
85288.2,51837
172634,187457
55945.7,133662
50669.6,30437.5
31818.4,58951.3
15549.9,106486
30614.5,129773
137178,168904
52745.6,64183.3
56868,92890.2
59490.8,53542.4
34360,25519.9
88676.9,157630
36961,81339.8
59869.7,91277.4
11111.4,39747.5
59480.6,154765
72486.6,117839
17268.1,38111.7
58556.1,43867.5
100438,88999.5
40761.3,63250.1
41967.1,105924
35100.6,23901.5
106256,97390.9
43150.4,69682.1
75869,116504
23268.1,23122.8
72743.4,48150.6
10993.8,121774
86043.4,81527.7
21950,129241
13707,43088.5
62837,66446.4
43425.7,33649.3
179418,143687
89368.9,101594
13507.1,23098.3
12190.9,26728.9
50944.5,34337.6
46377.1,22583.9
69522.1,134504
102388,126888
28989.8,61864.6
77995.9,78032.9
15378.7,96483.8
101410,137364
32125.8,66281.2
60389.9,53903.9
81515.6,122902
31535.2,45148.7
26883.1,29555.3
97192.6,97461.9
30888.1,52979.6
17257.1,122153
29732.8,42908.5
105936,124538
35835.2,74356.1
17903.4,81359.3
48734.9,97101.3
102461,121213
17576.7,106524
43585.3,54883.3
111419,128936
14581.9,35929.4
19240.1,46146.8
35469.8,79515.3
47180.8,84031.4
15308.8,35307.8
14420.4,103053
58091.3,99869.7
67534.5,95492.5
17274.9,40273.1
157950,128152
16577,28248.8
69364.2,108642
176574,160524
135102,174710
12720.7,37809.9
39949.6,72934.6
188807,174865
65387.8,120437
16173.7,16906.6
74695.6,61416.6
53709.2,163972
142966,187749
28700.4,69094.9
14698.5,106985
28812.4,18989.3
19924.7,41887.4
38525.3,51068.3
133073,169066
37925,166405
63991.5,108555
21572.7,70502
114961,154532
38650,45125.1
34078.5,42831.4
67973.2,71881.7
144933,171483
149608,169970
16962.8,40526.1
116855,160928
62952.2,87616.5
41979.1,83549.8
27471.6,23857.1
19682.4,28768.9
55670,73735.9
26791.1,98666.7
74992.6,61603.1
28819.7,38236.1
72788.6,46450.7
22267.9,30262.2
27399.9,130622
41263.4,117908
141315,103450
13993.9,77125.1
42541.8,57568.5
103019,120485
157128,182791
56842.1,79223.6
32438.7,47360.6
118288,98235.1
26965.7,43594.7
160948,151929
20207.8,65972.8
46259.8,37415.5
76486.2,109050
36476.3,72003.7
31520.3,56344.7
75734.4,90267.6
52943.4,139145
19720.3,37812.7
74222.7,91712.4
32200.3,45219.2
29552.1,69987.4
144034,163042
15549.9,32235.9
17975.3,78172.8
11531.8,34447.1
89313.6,114038
152765,122205
27032.8,23697.4
11017.8,99427.1
27733,40949.5
22593.2,34325.6
55830.8,136404
18279.5,96676.7
183178,187204
15266.7,49701.8
23263.1,40308.8
82915.7,91278.9
17220,36055.1
39046,121099
103705,117410
58389,93152.5
11274.7,77219.3
44278.2,149072
169676,161874
22282.9,126397
65044.1,97867.4
85994.1,111840
33407.5,104248
14930.8,54204
15885.1,32836.6
23957.8,18832.1
61620.1,56884.9
37698.1,107546
24447.5,45338.5
44693.2,60856
19440.7,59013.2
62423.7,82999.4
22513.7,47715.7
35782.5,38183.4
17557.7,17031.5
23579.7,26784.3
19360.6,112400
11289.5,66678.4
174721,167226
43783.3,26506
149347,124387
11958.6,60983
137627,77474.3
87184.7,120293
45661.7,27961.3
36530.3,26572.5
30248.1,20436.7
17012.2,51839.5
25984.9,61270.1
183303,199019
141103,157168
68388.2,71815.6
33183,63597.2
20501.1,39630
73060.8,35773.3
41934.4,31150.1
77218.1,79946.4
17909,22686
20999.1,34728.6
147637,80658.9
86644.6,93535.2
75435.3,80554.4
62243.3,31125.6
36384,44761.5
47456.9,41695.8
50860.6,46312.5
116397,154211
92806.8,131396
72581.3,88371.4
13638,19026.7
27608.7,22729
54112.6,71077
18895.5,101561
20533.7,31311.4
19189.2,117059
180309,168272
14685.8,29637.9
128425,156792
40588.1,54738.6
19710,49566.6
62628.3,57999.5
15996.2,133448
50688.1,80935.4
71756.4,100280
53648.9,57587.2
11481.6,72014.5
19827.5,74614
43069.5,105333
22660.5,115587
42435.1,56405.7
75201.1,96853.9
26843.4,53270.5
35872.8,84108.9
17199.2,44046.6
15598.1,21835.3
36737,99749.5
39039.9,118951
62254.2,109873
30625.6,66132.4
41909.4,50346.2
39341.7,62848.3
12608.4,74370.7
74534.7,158736
57364.4,41099.4
12952.7,54051.9
25843.6,33623.1
17524.2,75580
86534,112398
13889.4,40965.6
74150.1,126411
30607.8,106416
174660,131879
123195,166305
96042.5,125299
138246,124834
178812,167836
24196.3,32200.2
95652.3,119768
52594.7,30908.1
22819.8,41683.4
35663.9,57704
23239.7,40981.2
97157.9,137982
89670.6,110538
15091,34504.2
67998.5,74661.8
89481.6,146464
43681.9,96070.5
79431.9,44230.3
15726,35260.2
30837,38360
21640.8,38788.6
11490.3,62159.5
62837.2,53388.4
20447,34952.6
49738.6,47881.3
22504.4,37415.6
41562.7,89417.4
76958.8,89163.3
22734.7,38393.8
17223.4,39691.8
16472.8,27702.5
91126.5,51282.4
28174.9,79106.1
18847.4,101559
121490,129570
70364.6,82773.7
21561.6,23596.9
20035.8,17538.3
12837.3,76060.1
17009.1,41383.6
24372.8,49626.7
37294.9,97268.5
30100.9,71100
45174.7,64214.3
49942.9,87791
86910.4,110270
22146.5,39680
51471.8,65025.7
12602.9,37338.7
15925.3,41579.6
19686.4,48907.6
12578.9,26668.6
23838.5,16893.7
45430.5,27219.4
34059.4,77117.5
66915.4,47648.1
11532.1,72527.7
57031.8,52473.8
75878.1,126102
116826,135078
122497,171354
184901,175903
27392,101229
72017.6,79880.4
124226,192942
48305.6,51198.2
21776.2,69413
78165.8,160744
32246.8,54350.2
25990.1,116847
15751,28190.9
168038,149448
24042.1,139879
72701,145226
69242.8,91385.6
111145,127104
17352.2,96877.4
24034.1,69771.3
100180,144615
123430,171484
75715.1,119869
62123.6,33000.4
30730.1,34587
19487.9,31643.1
80255.7,89226.4
23146.4,35538.5
87956.4,164874
62764.8,41296.7
52703.9,92872.5
36896.5,37676.3
31475.1,52122.5
25832.2,79805.4
11775.3,26819.7
55695.6,48759.3
20170.3,37574
183149,171972
35850.2,112052
17564.7,17429.9
18571.1,56637.9
107487,143796
53233.7,126263
58615.4,66785.5
94151.2,59024.2
171193,126312
123191,165844
38260.1,48545.7
52104,44848.2
18541.4,91372.2
20414.5,51524.8
102640,130351
35847.8,27926.6
28369.2,96019.4
76879.9,130026
31687,36660.1
30356.2,73516.2
37875.6,49782
50900.5,75130.1
46014.8,61312.8
166676,101813
36933.7,19591.5
109587,104848
56464.3,58775.4
135965,155048
137155,189206
13576.2,19907.8
18931.3,18597.8
85407.6,116013
99886.3,86607.1
165056,91968.9
19024.3,26162.6
59343.2,93032.9
59532.3,73331.4
147451,148983
24214.2,36095.8
16957.2,78617.2
183097,189562
32606.1,43590
131753,149436
98741.8,107238
14801.3,24888.7
49002.5,50539.5
42367.5,52877
36700.7,128470
32409.1,27242.8
26414.6,20158.3
17378.5,76697.4
31103.5,83287.2
149577,198783
131976,139469
22417.6,29066.6
136633,118372
44898.7,50438
94714.2,65962.6
35801.7,118753
31109.9,72775.1
26799.6,58029
29514.7,46558
130196,194895
100172,93689.9
11041.5,52164.9
99118,115092
121077,132759
45583,35722.4
31112,67718.5
72209.9,118788
31000.3,38177.8
83276.4,140702
54356.4,122492
179703,183434
54757,108822
166917,155407
40473.4,84934.3
75747.2,77206.8
97172.5,98532.9
15907.3,59149.6
14274.4,67981.7
44242.5,77958.9
32139.5,105648
76335,111543
42867,44723.9
121837,139715
24888.4,60949.5
69179,112686
22721.2,37563.8
134679,151415
79818.3,60538.8
15272,101040
157764,141872
104711,108706
108463,124858
96740.2,120970
18388.3,42577.1
57660.3,84553.4
22938.1,44719.9
130364,84340.2
11199.3,48325.7
116434,140009
41048.4,47482.8
93516.1,80417.7
11635.4,94680.9
57937.1,167637
25328.4,95144.2
36804.1,63050.3
43999.2,53754.4
12152.7,33384
34215.8,39892.1
54937.1,61377
14367.1,95227.2
73339.5,64104.2
18860.1,41776.9
49632,49344.1
30665.4,62680.2
51874.4,77879.5
25757.1,84446.5
12266.1,75788.1
19674.3,36389.6
57727.9,113708
46915.7,30079
29387.7,18248
53138.8,125895
58138.9,115178
28820.5,18069.5
49327.8,114767
89241.5,130184
22680.4,33983.2
36755.8,74842
41462.3,103407
49055.7,66270.9
36493.5,82312.9
72864.7,104401
53121.4,167445
82993.8,119529
39034.1,84955.4
30375.2,67021.5
19950.5,51213.2
15780.2,40720.2
60474.7,109580
44054.2,95796.3
102421,114412
14449.2,67286.8
27545.3,50457.4
71740.3,54376.7
22285.8,23347.6
182164,150853
112366,64223.1
16619.3,99570.1
19386,70171.5
164180,103657
20906.2,24670.2
75805.5,119403
48172.4,89819.4
42835.4,44339.7
22446.3,37750.5
145273,108139
23689.3,36308.1
22988.5,49313.2
38906.4,25425.2
11276.5,29693.7
79057.7,149515
17006,36831.7
133902,118692
80093.3,107002
63905.4,32669.2
24070.3,26199.6
40225.6,29277.6
109454,91148.3
174559,169023
53366.2,39478.7
55746.2,92294.4
19287.8,29270.7
35270.4,103704
70679.5,106446
33071.2,85360.5
83010.4,53632.1
56699.8,54718.6
38233,27185.7
38737.4,127783
27293.9,43612.2
24742.3,42131.5
36615.7,23452.3
18772.4,70693.5
103745,150898
24661.5,33291.9
48463.8,90624
29960.8,51834.5
54605.7,129952
51101.3,67249.9
122782,168125
15803.7,20492.6
32625.9,109400
31206.1,21494.2
140561,182827
129292,116808
15600.2,52022.2
28964.1,17684.5
48411.5,80039.4
49414.4,55451.4
39901.4,132945
16095.8,37710.6
66480.3,85003
26246.8,94765.4
23107.1,67328.1
35091.1,106673
72234.2,63552.7
103067,127383
34108.5,51505.9
52024.7,86636.7
50693.2,92059.6
165858,173346
18508.5,18106.5
62402.7,38570.3
52890.9,108235
118010,127132
17574.8,94777.2
28816.2,23755
102592,110893
43164.3,31719.7
112809,71488.9
38818.8,44646
31709.7,21509
33549.6,79361.9
84972.4,95963.7
56309.6,53813
161264,178957
19210.5,70245.4
60826.8,116038
163908,171338
21534.7,48221.1
29486.6,58180.4
22343.6,56094.9
30009.2,82928.9
36593.1,38752.2
11091.9,17801.7
13293.5,47605.5
19034.9,39203.6
49607.9,113048
31743.8,90141.5
19219.7,85985.9
165950,183251
34193.8,17144.4
30195.3,33112.5
28361.2,80137.3
17006.6,40288.3
41433.4,49997.2
33414.3,50657.7
18703.1,18370.6
93767,122440
183059,172601
53116.4,95987.4
128618,83582.2
16866.2,17195.5
15724.7,25282.8
115439,112394
61218.9,56746.8
42004.5,55309.7
92127.1,91355.8
134031,79001.9
24304.3,20252.6
109311,66187.3
44294.6,48576.9
12934.5,30065.6
125911,147985
58953.6,114608
125704,122077
93619,120360
36640.3,86222.5
141279,151009
32017.8,50518.1
21644.6,34949.9
78822.5,100582
172211,146290
119744,112362
11085.9,34363.8
29501,31567.2
21237,47285.7
19792.9,24498.8
41736.6,69277.6
22255.4,58093.5
120419,99660.3
38398.7,33933.1
34233.9,67367.4
18133.7,20393.3
96508.7,168068
