"FITC-A","mCherry-A"
28886.1,26034.5
131522,165725
96372.1,125990
86033.1,60502.1
20421.5,47183.4
29937.4,45608.4
27891.4,28389.4
49634.9,78815.5
50260,75078.6
36235.5,33171.6
31524.8,68233.3
14482.3,68851.8
34821.7,110292
85999.3,88909.1
198813,195030
120033,95779.7
107289,101086
44467.8,44379.8
76909.7,112102
41730.1,48292.8
42047.3,135752
70218,75790.7
20618.9,79474.5
14795.8,59488.3
114506,104133
52555.2,115028
32963.8,24575.5
91884.8,86573.7
123380,78908.2
43568.6,45930.8
32658.4,23542.4
27139.3,37092.7
33342.8,49793.6
40968,23582.7
14198.8,107924
153027,189281
39024.4,30524.5
11776.8,20461.8
114854,128980
53607.2,102617
48246.6,46065.6
45472,24475.2
13934.8,44904.5
20639.2,75668.3
37758.7,61789.8
27497.1,93179.6
51136.2,64866.1
23664.7,99806.8
25933.9,46010
39280.6,42708.3
18454.4,129166
57936.1,108975
134132,175986
25834.5,37629.6
104910,77082.2
66734.6,130333
26617.7,99460.8
19610.1,16910.8
49610.6,146729
20899.1,50565.2
19439.6,30482.1
34399.4,91755.5
119003,125203
44499.6,47038.7
73447.4,82427.6
40415.9,143581
58350.1,52020.9
31942.9,32645.3
36895.6,93402.3
52740.4,73116.6
57104.1,97668.5
17044.8,43385
23799.3,26643.5
30848.2,145969
21394.3,63185.2
69418.8,135787
67046.1,119334
117325,112865
24032.7,30219.4
60369.9,110867
18194.2,18067.7
182009,150406
13167.3,51560
30645.2,18244.5
37920.2,23296.1
14878.6,43111.1
57022.5,28988.3
30128.5,21845.9
68325.1,35207.3
34971.5,18517.3
19525,27232.7
38519.1,115829
65540.2,91443.7
57569.5,103161
11431.3,80949
19337.9,55831.5
99006.1,89962.4
26438.1,113731
77947.7,168511
89612.1,96845.6
22978.1,91995.4
81867.2,55023.4
102883,55161.6
15667.7,53788.5
11339.5,74546.6
56541.9,33047.1
141876,134329
72622,81311.4
39621.1,164168
12325.1,56510.2
12564.5,22711.8
40597.3,66599
26445.1,94583
11103,17359.7
37137.4,20990.4
32325.4,67204.1
23888.5,40179.3
63343.5,80999.6
33846.7,56615.7
35327.4,50526.8
183013,194890
39380.7,26636.5
26195,98487.3
16058.7,82094.7
34793.2,165364
65805.2,101025
44604.1,57465.4
103266,83143.6
57478.3,68239.1
69548.3,73621.6
50560.7,117628
149632,167307
137577,107894
31498.9,37974.4
13633.2,29780.9
36153.7,22369.8
72622.2,84753
28051,23719.7
123906,84679.9
12258.8,30226.8
98569.1,73960.7
22405,88191.6
25146.9,43186.5
51690.1,66253.6
35494.6,101134
106807,96864.8
74603.5,109810
34508.6,28840.3
14847.5,42307.1
38060.1,68236.4
22878.2,51719.4
55942.3,112145
12131.9,66792.4
13490.3,70753.6
31121,21137.7
13571,61061.1
11977.4,74451.8
19680,53541.3
146074,180780
15551.9,44894
13265.9,86182.5
43112.3,96071.2
32423.5,45542.8
25674.8,39143.5
11749,29120
19950.8,77355
39226.1,118744
18049.2,104811
46865,52751.4
82650.9,48380.9
71722.1,73624.2
12051.1,28382.5
57432.4,37563.7
39869.9,59412.1
35244.6,88883.3
39057.8,95598.5
63555.1,124721
21072.2,72848.8
93081.7,99281.5
16902.6,37852.1
60339.4,138768
12326.4,118588
14956,20891.8
17034.2,46569.1
21364.4,28046.4
104462,88150.7
145207,163638
82342.5,89901.5
56922.1,107150
26513.3,59582.6
40875.9,57544.9
48031.3,85718.5
85636.4,95501.8
28880.1,100086
30364.5,75981.5
53987.9,68050.8
133703,86124
29392.7,73719.8
13803.3,70103.8
57543.9,31506.4
97747,96186
69105.9,92112.9
27171.9,56366.7
156481,137824
47378.9,97686.9
170043,183899
18088.3,33857.8
27511.3,44851.8
24119.2,94600.8
24811.7,60604
43066.4,68272.7
39566.7,110246
50714.8,71669
48642.2,65667.8
16513.7,70282.2
13120.2,75943.1
30956,87510
13942.3,47016.9
27944.1,108763
135941,175820
48956,82514.3
46838.7,71864.3
32757.9,63866.7
75743.3,83349.8
59231.4,69011.1
19778.6,27405.8
11194.6,72399.3
45009,48140
43259,93636.9
136577,143007
19489.5,27334.6
82776.4,94059.4
103256,73624.2
20055.4,49402.6
52850.4,76500.8
11696.9,64982.4
45132.1,23711.8
40867.3,28670.9
42869.3,99748.5
73495.7,87734.8
16587.6,18121.4
16072.8,19905.4
27310.7,41011.9
31649.4,41551.1
41556.3,43521.2
61247,72037.9
47904,110279
32061.7,42480.2
34269.2,47832.6
34212,95425.9
107537,144933
31584,34656.4
12470.6,76093.3
166859,175005
12332.6,44277.1
80098.4,82475.9
143243,173369
41493,66174
19763.4,41844.6
18802.9,32294.5
23724.6,120509
51328.6,48623.9
26102.4,108542
42663.3,87986.1
18578.7,38890.8
69272.2,98483.8
65362.4,113941
17188.1,36931.6
29573.6,65595.3
157208,156456
56705.1,94416.9
40763.2,83434.5
16618.7,27995.7
19580.3,30007.8
20990.1,102956
16352.1,57776.3
60676.5,138848
23264.9,78586.8
11013.1,39617.9
125986,135752
30253.1,79246.5
108124,79777.4
15783.5,77270.6
121863,100750
96881.6,146661
57208.4,40360.8
28804.2,42364.7
38768.7,20416.5
110077,149535
23488.6,28596.8
11123.7,33542.6
79558.9,112627
149048,93265.4
52579.5,49190.9
23252.2,60955.3
14660.6,66176.6
132120,161557
19963.4,115673
50564.9,130528
35445.7,59548.6
34325.1,55226
39017.8,103568
95677.9,116815
33600.1,122255
21340.3,91348.7
14426.2,62014.4
16464.7,38720.3
11685.8,41262.1
15542.2,72749.8
111622,111993
35982.8,51646.1
69877.1,46323.8
32761.4,103641
56702.4,111174
20421.5,18554.1
61451.7,38132.1
19778.9,43672.6
159484,92184.3
92147.5,86788
14455.6,78656.5
138313,101479
32118.7,56953.8
118330,102854
17757.3,50663.9
79427.3,102401
46361.7,26456.4
142896,168179
41811.5,35652.4
31031.1,51553.4
27092.2,43053.4
13303.9,122726
37992.1,77114.4
