"FITC-A","mCherry-A"
184786,197258
61085.3,33162.6
45755.8,52197.9
20550.6,48993.2
142798,173535
47604.3,122938
42896.6,32276.4
69221.4,57756
21485.1,54072.5
38633.1,59016.9
182109,123536
82961.3,123318
59273.5,64845
168880,153962
99535.6,71869.2
40264.4,92567.1
47524.2,51163.9
93495.9,85009.2
31190.2,20350.1
22448.5,99967.3
65942.6,41743.3
12579.5,46670.7
38205.2,38180.1
180421,165088
44567.5,43157
33063.7,91053.5
66297.4,80866.1
18807.8,55651.3
72773.7,71206.8
50072,50210.4
15058.8,39674.5
66247.3,89835.2
36160.9,57195.5
21656.7,22050
118851,144895
89746.4,130932
23492,28104.6
56180.8,71681.1
18992.3,59280.9
94179.7,51082.5
28206.5,47973.1
101318,138485
17605.2,111925
74771.1,42724.8
20198.8,35737.8
67594.1,72416.1
38127.1,52344.5
56767.8,111172
31910.3,102019
75944.2,77146.8
38830.5,27521.8
176823,185098
42753.8,141869
149523,133128
81240.6,67728.8
16254.1,57139
85337.4,143072
51060.5,146368
11268,117271
85256.9,113516
13588.1,37801.5
70358.9,72737.3
13443.6,18773.7
13686.7,111118
144490,85527.7
150861,78519.8
33236.1,58700.5
20295.2,116162
99623.2,134934
26499.9,40187.5
64147.6,88883.9
118335,64296.5
116900,142881
71952.9,99834.6
63643.7,92916
29416.9,92584.8
12168.5,96496.2
126207,137130
25915.5,78190.5
132448,153389
116935,147537
51088.7,144103
17969.1,51710.3
69977.9,103437
108395,139289
26907.4,83936
40427.6,72622.9
111255,73171.2
30530.1,62484
73298.2,126245
161824,149309
12278.4,103989
98231.7,172123
144521,175711
21105.9,40307.7
145266,81242.5
71522.5,87158.8
50715.5,61106.1
13372.5,18019.1
13063.6,58400.6
31355.9,57673.8
16387.7,110197
16145.7,66633.7
20866.3,118763
59241,147452
16008.7,69295.8
14832.2,120825
32205,80425.9
64153.3,104805
167736,177979
94599.2,167937
85412.1,42077
90033,128329
52088,109465
86334.1,72889
31968.1,114079
42623.8,56022.4
35516,49004.6
39563.3,126693
84959.7,138636
81833.1,151135
42910.1,138740
55654.2,26070
113940,98549.5
82172.9,90093.3
39575.7,61478.6
24888.4,27778.2
23317.7,51557
77974.6,61092
28430.2,100324
12259.9,84805.3
90696.8,84024.2
13060,50994
50965.6,113754
54828.8,37538.7
28344.4,92522.3
66873.7,101319
56403,167852
11684,50152.9
49165.3,43524.5
93790.8,80837.8
12976.3,17188.3
46404.3,23263.7
94179.4,76707.5
40198.7,57519.8
80774.1,52435.7
23372.9,98703.6
13830.7,22927.7
11967.9,70237
67684.6,90999.5
61306.6,47833.8
102351,127067
28205.9,87947.4
83992.4,118342
131969,145974
146069,164550
58711.7,74205
148608,155395
119435,164108
84403.5,63081.4
23511,62276.9
69271.9,195754
23741.2,69283.9
64255.4,154123
136746,167914
12200.1,26384.5
20327.6,109550
26294.8,113792
20994.1,22113.1
41475.2,104876
11632.6,18132.9
74294.2,54384.2
128775,109849
87064.7,161296
59139.4,108600
44846.3,51288.9
172462,185449
13599.8,69229.5
24045.6,72779.4
103835,87534.6
103923,91182.6
25547.1,98350.5
29077.1,58184.6
18972.3,120063
61887.7,125898
37870.2,33094.9
51479.5,109987
116921,110239
22694.9,27549.1
161685,168166
132698,152003
54785.3,77966.3
34038.6,51149.6
22464.7,50913.8
51546.2,135311
13348.8,45643.2
41881.5,152910
24581.7,72583.1
181972,137209
53959,84031.3
15946.1,105322
165675,145605
55219.2,93795.1
36570.4,73758.5
73098.4,38360
49643.5,64446
11720.5,91857
75120.9,68001.6
107688,177620
12934.4,17848
161512,171778
58396.1,110127
36680.9,41958.3
52651.4,35963.9
72973.6,97276
161589,191964
165996,193370
19200.4,64611.2
15381.1,77437.5
184979,185132
142038,147820
14429.8,67351.5
103941,148268
70518.6,79703.9
121101,112340
45933.3,80452.9
19288.1,58314.2
32222.8,31606.1
146167,107111
32841.8,101782
198196,192005
13348.3,28965
16619.7,64546.1
159488,112574
