"FITC-A","mCherry-A"
44136.7,47519.2
23811.6,22870.8
165275,166627
156719,195431
11166.2,59403.3
21746.2,24020.6
94776.1,123196
22206.8,93611.2
11294.2,74692.1
50319.7,47328.7
154433,181564
14322,28855
34999.9,105941
38611.7,53340.9
20881.1,50686.6
11079.9,29434.4
61586.6,34498.7
16240.7,100642
110742,122038
119390,132682
61399.5,161420
76781.9,123044
156465,187324
38514.7,51590.8
114421,129519
44858.4,58712.4
32105.8,137332
60370.2,98910.1
30591.6,29520.8
13896.6,71572.7
176712,172744
50044.8,37571.6
12855.9,95222.1
73512.6,131374
15515.9,93262.8
32728.8,26266.1
53747.5,76965.6
41298.1,59287.8
32446.1,98435.5
95728.9,96303.3
84255.5,65623.7
86108.6,89412.5
59003.4,58109.3
49273.3,172840
57449.2,32735.4
20146.5,68873.4
59832.4,39794.4
143439,170607
12133.6,50481.9
47640.9,121141
63968.1,31409
88752.8,93028
29603.2,133379
20522,42237.9
63001.9,150033
11220.8,93308.9
11287.4,98574.5
76182,109063
28026,142084
16828.9,56111.5
29089.7,64940.4
11731.5,94003.1
66831.7,107948
104926,110612
43852.3,166363
90650.9,89089.7
14715,92100
13708.5,48447.1
30704.3,121695
101392,61979.2
131162,100387
50375.9,148309
57200.7,167268
94929.1,117814
39092.7,63802.8
51524.7,70406.7
26490.2,88153.5
20976.2,40167.4
45895.4,86120.7
28425.4,83372.3
25313.8,63540.7
50830.2,88623.3
18667,105940
61893.4,110826
24744,67877.1
59225.8,102320
14904.6,61294.8
11117.2,104769
128314,137275
43467.9,64984.6
34205.4,77543.1
88277.1,124431
12218.7,20397.3
21261.7,48071.7
37976.6,60226.8
105841,73902.7
22235.3,61942.5
62354.4,110187
11791.6,50906.5
40588.7,133726
49621.1,102529
111593,130516
125852,115198
61670.8,30394.9
52744.9,108432
47683.5,113382
44309.1,77214.4
31224.2,23438
44477.8,97655.9
139239,156861
52818.3,123348
40718.7,154733
119052,137755
74779.4,84638.8
86780.4,122128
27666.4,19128.3
24915.8,115031
40430.6,96903
25641.3,54762.9
91786.1,181297
61992,126927
22621.1,78442.5
44181.6,27037.3
73437.6,140358
77628.6,120295
11003.9,101051
26742.3,73300.8
37590.5,144675
44717.2,45478.9
91509.8,138529
40323.9,77519.8
11140.5,51750.6
13071.4,52044.9
55007.5,60240.8
145766,142017
28715.4,48674.9
53674.8,99736.6
32675.7,143075
139090,106603
28276.3,47194.1
14885.7,71162
82793.8,92859.8
63144.5,62428.2
41693,77806.3
22874.3,43032.7
176449,187337
52515.6,72615.5
22679.7,23165.2
82218.5,84032.8
31047.9,19702.8
38379.8,69514.1
46320.7,67940.7
14096.4,39523.6
13320.7,40240.8
24579.2,86873.4
75858.9,181738
21783.2,22650
87310.5,104794
118272,138321
21288.7,24961.3
39596,134904
12926.1,72013.1
56387.3,59543.2
19687.1,39839
31275.8,20172.9
87722.3,45493.5
19757.7,102787
13710.8,19064.2
37837.8,92033.5
80286.6,115972
11469.3,51990.8
68006.2,59994.2
20926.1,73476.9
25146.7,138711
25025.2,62834.9
27708.2,110413
42234.9,61853.5
56237.3,51820.2
155577,163730
65514.7,88047.4
92362,104129
27599.7,90270.4
196779,196483
81360.6,88155.2
12952,83676.3
96152.2,143994
24410.2,25790.1
124894,160228
32215,49806
137618,89327.8
88209.2,89668.7
15653.3,63915.4
186878,181143
41183.2,99214.4
29764.8,29344.3
26781.1,78035.7
28353.7,106076
124852,196751
56819.1,88168.2
27661,77515.4
61854.9,30657.8
24264.9,81228.7
78560.1,129259
59857.7,58727.5
88408.3,94212.9
87851.6,93004.3
23710.9,100955
14745.5,38274.9
30813.2,119099
27228.8,101432
13843.8,70595.9
22904.8,43525.1
11402.5,52257.4
123990,138941
81360.1,114469
18678.2,100644
90130.5,107068
12927.1,76226.8
26124.8,80622.4
24093.3,26570.7
20752.2,34470.7
83934.6,101037
124127,151835
16980.9,17015.2
101893,110182
34077.4,30064.5
133412,136440
64438.2,70085.1
52597.4,118228
26031.6,19323.1
137416,176253
43708.6,48830.8
61488.2,99627.8
25141.7,21652.9
15196,86796.6
38872.6,75137.7
64021.6,82052.8
39108.7,81202.6
36722.9,53425.8
15234.2,78251.9
19984.3,89435.9
37857.5,18267.5
20121.6,47699.7
22236.6,79209.8
57620.3,187506
40923.9,38276.7
75515.4,161632
28079.2,152453
39377.3,97445.5
35944.4,57363.8
133632,113523
22992.1,32589.6
102054,199518
79538.5,101171
12470.3,22327.8
107974,81467.9
47293.3,127550
32201.6,81146.6
42692.7,164254
42171.7,75193.3
62071.1,62750.7
11247.3,118714
66029.3,104738
28308.3,105401
56840.4,91755.7
15399,27855.4
22988.1,25555.2
23284.5,52123.5
84880.4,183353
36439,77924.6
13562.1,35389.3
54319.7,114225
129411,123626
103506,179091
62589.7,69901.9
30266.3,48191.6
22834.2,34614
58216.8,89766.5
37152.7,56744.3
51022.9,59030.9
49089.1,96268.5
86107.4,146279
54361.7,119499
23562.7,20085.8
32186.1,90240.7
26119.9,107099
82970.6,64855.4
126779,174713
82604.4,144906
11942.5,23486.4
179063,175837
14735.9,49842.6
12658.2,18614.3
34001.3,30680.2
11812.3,65503.7
132324,158105
16374.6,65882.4
29651.7,32545.9
99339.1,196802
104917,126593
64940.7,104623
62092.7,102221
55328.7,47039.4
75141.4,78308.7
89129.7,166299
155077,176881
70969.4,49065.1
13269.9,29068.2
24038,47679.9
137411,195463
28944.8,70626.5
15608.1,21126.6
11849.2,120274
20526,42830.7
13162.4,46174.1
32232.2,71217.4
69609.2,164188
123847,176834
126807,162844
70242.1,77734
30007.9,87121.3
20929.8,109302
11135.3,105550
159768,163000
30562.1,88785
22760.6,23876
42520.1,76310.6
33434.2,105108
24872.4,82547
24239.9,96407
157992,172010
33414.7,132117
92681.5,134932
183873,187451
95019.9,54682.5
54858.5,51025.9
