"FITC-A","mCherry-A"
92503.2,79712.7
86808.6,84734.1
18556.4,106603
150499,100474
105626,84964.6
115396,122356
43413.5,48480.8
119396,143611
154444,94338.2
13912.8,112997
43624,28824.7
33344,64295.6
45901.5,42854.9
63536.5,65330.4
170824,190118
30213.1,98459.6
42981.7,133800
49238,59590.4
70606.4,88022.1
89619.4,85168.7
14175.5,27143.5
172769,126601
125344,114984
49992.8,165415
137516,108329
94573.2,76251.4
92448.3,123610
16585.4,22394.3
39973.9,33620.1
68154,175427
31305.3,64411.3
96880.6,135076
155855,168308
13887.9,93092
29872.6,101244
14224.4,28210.1
131217,91407.5
55588.1,167970
41064,141820
99156.8,73554.8
62949.1,106158
28596.5,138685
15349.5,46839.1
12521.5,61788.4
60904.2,37489.3
94378,82375.1
126525,104465
137900,101870
13570,20815.3
28438.5,59664.1
17128,52398
18929.9,49426.4
169780,127683
90983.5,99048.9
57458.4,43932.5
18122.8,65891.3
31938.3,46786.2
60470,68336
28114.2,43780.3
26220.1,24060.7
174329,138009
111543,68590.4
51350.2,63468.9
116282,107362
17324.5,68302.6
25416.3,69484.8
41575.3,42135.9
55024.9,120624
41353.8,32682.1
107269,100812
100031,93961.5
60601.3,49979.5
28415,79407.7
28192.3,46415
112510,86837
15241.3,19946.4
166624,151486
172195,128098
15324.4,66095.7
55332.9,88376.7
44442.2,179510
39081.5,32569
14318.2,57925.8
30997.6,34443.3
72944.7,94136
59325.2,54691.2
14816,112880
52310.6,84073.3
19475.5,57066
23397.8,92837.6
15607.4,90636.2
27271.2,60215.8
71195.4,99569.7
135034,99273.3
15887.4,49507.3
67944.3,66778.5
82830.3,72288.9
149057,85975.4
140946,170067
28829.5,38468.6
67067.8,69910.1
131018,148637
11186.5,19551.4
62823.8,65047.8
25281.6,17283.7
14004.6,39275.3
51961.8,40504.6
33496.6,100170
75610.1,84892.3
37888.2,75860.2
34151.1,68732.3
76984.4,50681.2
69371.4,34696.1
41867.8,90474.6
81438.6,111854
36938.9,42550.2
48631.6,135667
179410,175377
22336,58047.1
33782,135009
41566.8,63385.1
159913,97665
21948.7,37813.5
20115.6,37456.1
14193.2,17120.9
32046.2,45479.2
20580.9,52689.7
25003.1,64947.8
45211,76994.6
111454,91487.3
45697.5,25696.8
155364,77733.9
36859.6,75318.3
22142,70170.7
18639.9,44348.1
152807,74411.4
42917,112747
22139.6,36280.5
52339.3,102430
108174,57985.2
115344,142306
28064,46669.2
82235.4,59554.3
185924,162402
24224.4,39596.1
32212.1,75705.6
21021.8,60217.5
27559.2,133310
23856.2,43667.9
22569.5,101457
54696,143089
57900.1,82552.2
23371.3,57429.9
88198.4,68591.2
13779.8,107256
11040.4,48687.1
28574.5,22040.9
27962.3,29340.9
18377.3,43719.1
175588,141204
144205,86508.5
91471.1,48582.2
115426,161839
11176.3,19528
72059,81272.9
57315.1,94185.6
27140.8,47594
45265.1,68216.1
171952,104569
14658.5,21346.3
75921.6,59881.3
54712.4,66540.5
34343.7,98432.3
19746.6,35678.2
46442.8,135345
102526,75870.1
70933.8,90701.4
66523.2,84829.4
95236.8,87261.7
91419.5,49339.8
41292.2,122199
26290.7,51481.5
45790.3,45561.4
76827.1,143887
48402.5,68909.4
42614.6,38498.5
13769.4,110823
35526.2,82710.3
131503,72066.8
59593.3,163229
58466.7,107652
70512.6,92920.1
174540,158436
68841.2,66888.3
22920.6,103491
18535.2,16973.3
28170.8,17339.8
22329.2,19123.5
16234.3,54355.1
117058,184943
71142.9,85815.2
86652.6,97794.5
16740.2,55930.2
124692,68971.6
26327.4,52008.2
102577,116616
67607.6,102249
98634.6,61542.6
22743.7,106720
25936.1,39614.9
104463,119977
14006.6,73733.1
26247.7,125550
149632,124761
127280,134887
46236.5,52525.2
69395.8,134921
62881.3,42698.3
111778,92351
45800.1,158291
102612,73565.8
13988.9,76388.7
38196.1,53238.3
11997.5,32638.1
83402.9,122428
75777.5,88126.1
101585,133946
39130,40979
53897.6,161006
40139.8,55202.9
42468.3,28967.9
60749.1,78588.1
12401.8,35294.8
134517,108634
12204.5,45860.8
22151.6,95765.3
38448.7,57853.5
15859.3,102538
50684.3,59112.7
109246,127585
99933.3,61530.6
63437.2,41121.8
88372,137084
122456,96297.2
19425.7,51784.9
32721.2,31175.1
37092.6,72431.1
129332,126508
59147.1,101427
27338,19730.8
87987.7,114374
71548.8,48651.3
87429,88718.1
31048.6,68327.1
20332.4,88859.1
11708.6,40996
19885.1,31455.7
88182.7,54879.7
25630.9,60591.8
16896.2,89101.6
161772,119247
78870.6,125881
73683,59162.4
162081,168343
50009.5,38891.1
48550,48323.8
100895,162832
30357.9,62561.9
76873.5,47308.9
142994,117293
68329.9,131972
58673.1,44271.5
117073,145700
141217,199908
55224.4,70578.3
92396.3,135453
34089.2,23722.5
64447,62792.5
50901.3,133095
15760.2,20915.9
45195.1,52014.1
121172,127555
26568.3,67764.6
60338.3,81579.7
146324,185240
164931,149613
116666,134136
65355.1,51534.2
56434.6,80563.4
180501,154678
16725.7,83191
11402.9,76328.2
145097,121182
145495,80749.1
189367,186917
17388.7,39831.9
46256.4,22649.1
78619,105910
50413.6,97574.8
48695.9,31222.5
22671.2,48890.9
20770.7,60404.6
11815.5,39140.9
25512.8,77427.8
11684.6,58102.4
49125.9,92944
44175.8,93213.9
12988.4,47459.5
65651.2,44487.9
69334.9,32719.7
65940.7,101363
44049.6,27867.4
19384,74668.8
14250.6,26072.8
80070.8,86194.4
80717.8,58527.2
42972.7,138866
89749.3,51039.5
45280.8,110083
101301,145300
12365.1,61273.8
165823,87224.3
63922.2,184321
133127,147735
90552.3,71717.8
126518,165704
35211.1,114327
78284.6,170443
57627.3,53248.5
12478.2,82521.2
128185,183277
79708.2,71162
36205.3,65161.3
48230.8,37794.4
45505,100565
191149,183600
112053,77962.9
62624.8,69424.3
21979.6,85758.7
93411.4,124969
149259,129969
95929.2,120007
105342,149552
34881.7,111440
21616.2,49300.7
32903.9,42378.7
120634,189469
57276.4,55690.4
64938.2,163648
19530,63576.5
93481.9,174501
17932.5,119287
172384,145117
14406.8,34241
55555,83331.9
69180.6,81326.5
41788.3,47255.1
12670.2,60165.7
28505.2,50452.4
152989,198627
174817,159755
112793,98728.6
145868,138624
12372.3,31860.4
95325.5,166089
15422.9,38383.5
16340.2,43380.4
66981.3,50995.1
46036.4,40799.4
15671.4,24211.1
44934.8,43544
76331.9,85500.4
58619.6,81775.5
21629.6,114403
83826.5,134321
16541.5,36788.9
51066.1,62562.1
160584,177670
132712,147729
102627,102398
71400.3,51456.7
36374.1,44019.5
114645,87759.9
107298,103064
16890.6,42233.7
13783.1,66298
151871,97490.4
117104,119784
