"FITC-A","mCherry-A"
45675.5,121528
111196,103346
86937.6,122231
24530,44987.2
183083,150690
98386,129681
25592.9,50567.5
194208,199179
179177,169792
36461.3,140486
11034.6,26652.3
52262.1,25051.1
13105.1,64003.5
12236.5,63575.2
13735.4,84504.5
46088.7,27479.7
47724.9,87765.9
87316.7,117157
78523.4,44032.4
31047.4,24954.6
82521.4,65117.1
157826,108886
15078.1,97205.9
45331.6,31462.3
37845.7,47930.7
23930.3,56496.9
60255.4,82158.3
51916.5,60950.6
164489,156210
143244,93966.5
22935.3,137165
56615.3,42036.4
88313.1,109480
103113,113130
71359.4,98608.4
55610.2,48113.7
16367,118610
76624.8,83351.3
35333.3,56924.4
98450.4,78716.4
146815,175328
31341.2,85616.8
138697,123672
48322.9,66969.8
18529.3,82077.8
11466.5,23311.1
120364,139734
26216,28262.2
63391.6,82853.1
15562.9,106496
53935.7,121273
24822.7,32744.4
86778.2,94306.2
85304.3,58865.4
81029.9,87019.5
79827.9,115067
13245.6,61054.2
66515,66896.9
17910,40528.5
14226.9,84911.5
181623,192991
90216.2,54971.9
48585.3,113305
99827.8,122484
20813.5,140615
98912,146124
87401.2,118589
35660.6,51015.1
37713.1,115963
132857,165727
85692,116417
12982.8,21547.5
45791.7,38279
36010,59634
30100.2,109630
108716,136019
135239,191843
160704,161858
29667.2,48749.6
126744,168074
62995.9,96620.1
55552.5,76201.9
13540.4,26891.1
155394,178321
135336,121434
21690.2,68559.8
185618,160546
74192.8,53643.6
113181,55744.8
76134.3,39963.5
78607.5,83590.3
61274.8,139399
71881.7,39381.1
103011,118335
23242.7,24730.7
28275.8,84026
187208,181561
81019,93920.2
176064,160742
31467,58051.2
36998,34371.9
43313,55028.3
113433,147074
172707,193810
60473.2,102062
39767.7,54485.6
76085.4,64139.3
47606.2,108531
16521.5,21388.2
16427.1,23264.7
146607,195640
65885.2,136020
62739.6,74600.9
94027.6,111770
21022.5,79360.1
28259,36254.5
21573.5,52009.3
47428.6,62791.1
78857,87325.2
45259.8,76882.9
28079.4,60637.2
19792.4,31141.1
22540.6,88858.8
112979,59840.9
13856.3,105738
86005.9,80760.3
179069,162410
88844.9,126888
109262,55010.2
64600.9,54728.6
25832.2,76802.1
15386,52698.6
20005.6,47907.1
79930.6,60770.5
159171,146948
71565.4,50555.6
138409,136388
66109.1,97483
90148.5,80158.3
68604.3,92807.7
44030.2,55343.2
29223.2,42230
88757.4,69194.5
27279,137876
29392.4,42609.7
16405.3,37950.8
32148.4,91335.6
56587,79868.1
83743.8,93898.5
42587.2,85845.6
160555,147979
65943.2,53395
12938.4,29567.1
15273.4,63770.8
172804,138672
36464.7,86824.9
112464,85688.7
62236.6,29783.9
47289.8,69166.1
50234.4,112974
32867,52354.3
12776.7,48284.5
113268,108332
136468,155288
73010,75790.5
98579.5,145112
49532.1,86310.8
122909,102609
86961.7,54186.5
141466,114741
12184.7,33562.7
11834.6,34990.2
161009,161253
121970,116540
40782.3,139743
53367.2,32872.9
75986.9,72035
34118.1,18728.7
42435.6,74323.9
22846.9,66086.7
82221.1,104533
23782.1,41404.6
14758.8,31729.8
79438.4,109976
137473,130455
63066.8,85352
31132.1,47382.6
17890.5,66056.9
72733,84566.2
43479.5,79071.9
34688.9,73934.8
93169.8,65985.6
111824,106308
69676,61899.6
90712.4,118664
111049,92954.8
146668,183352
24967.3,75266.9
150980,194283
37431.4,48784.4
104342,177420
11475.4,44720.9
148938,161820
17726.1,34515
66307.3,107080
50152.4,79625.1
92630.3,73370
119422,139931
62118.5,64076.2
99874,66020.3
65115.2,66240.8
96439.3,116474
68954.2,59850.3
162002,170720
66473.7,70459.7
12124.4,101530
87935.1,111172
76170.4,94788
150504,163903
39865.3,148105
77162.7,55925.8
12536.9,22240.3
71551.7,44248.5
108569,99710.1
53525.4,94407.8
32865.9,30068.1
34943.2,49076.3
44221.2,34164.6
188445,198065
67736.1,60436.4
28761.3,29010.9
172215,184599
17326.1,50384.6
80437.6,62617.6
65860,91035.2
12966.8,37194.8
90981.8,100347
49153.6,68918.9
154124,172012
49842.2,62077.9
24059.2,44722.7
102025,116941
130583,110183
35120.1,59200.6
66828.5,105284
35387.2,39793.2
72248.5,60937.5
167405,114873
47787.2,64853.8
39063.4,32486.3
154756,153275
28493.7,33043.4
11451.8,93838.4
63341.2,139379
75765.3,147457
143450,104623
32532.3,51970.2
42155.9,85669.4
95600.7,46294.4
194496,195844
60734.4,72997.2
33603.2,71980
125097,136845
152940,115298
18807,45437.2
21408.3,22033.5
22345.2,27800
80065.2,78878.4
42214.5,63103.3
72960.8,83369
18884.6,24708.7
68631.6,82045.2
106943,69772.4
140202,151160
66626.4,59574
44697.5,42998.5
75387,37130.3
28935.8,65796.1
100120,96365.9
22670.4,43742.6
58753.3,40843.1
34996,75042.5
69224.8,89470.7
100909,170514
23247.4,141296
11636.3,18714.5
26283.5,134099
127299,161252
52138.8,36905.9
53542.8,67867.3
84478.6,84258
95491.6,116130
29555.8,65939.7
124117,170694
146767,154897
44862,41456.6
76445.2,51293.1
20488.8,68836.6
47984.2,49686.8
65504.8,110873
65162.2,68166.3
48932.7,39339.8
29577.6,32146.2
140551,139231
40737.9,70063.8
58131.9,65088.3
79325.9,96848.4
11614.2,21063.6
15028.6,90904.9
80614.2,132122
126519,171701
28533.2,109484
176263,188794
30151.2,63007
100192,58981.1
26743.7,26365.9
21768.5,53299.9
52152,74528.3
117161,148194
14379.8,37211.2
55597.9,50164.4
47989.4,177616
64157.2,171206
149631,113966
29627.3,27945.1
75066.2,89558.2
110912,145800
30559.6,23390.1
44734.7,79253.2
60561.3,29195.5
111667,103166
13809.8,20915.1
168810,116810
55487.2,112045
