"FITC-A","mCherry-A"
33752.2,53401.4
21989.4,63135.2
101555,144432
99073.8,118748
134768,185506
13447.9,85068.1
34048.2,36023
74803,82543.7
20779.8,46724.9
113153,137289
43621.7,90579.1
45089,90860.3
22799.7,62066
21342.5,67033.6
166175,157308
130245,114507
73588.9,142652
37275.8,58991.3
13308.1,31945.5
49767.3,146873
15289.8,41040.4
124221,147574
23993.9,67781.5
14561.3,49475.1
53177.9,114406
60299.3,140965
30249.7,44354.5
52700.7,80684.4
27403.2,87839
36851.2,16984.5
52281.5,93329.4
16238.1,42275.5
46798.2,22772.9
29348,41672.6
147972,134311
110806,114173
85347.1,109222
81305.9,84176.5
14646.5,42050.4
34951.4,64609
21718.8,73199.5
37170.7,36552.1
61933.2,171868
108477,80336
61588.1,172038
141772,141753
30270.8,60025.7
30788.1,35294.1
86011.2,49069.9
187318,193777
104381,56799.2
144601,104405
166963,161046
40334.5,24488.9
155737,169263
173776,156376
19430.5,97217.5
53362.7,76263.3
194417,194516
49465.6,80884.4
26391.2,34869.3
22895.8,22841.7
174382,182209
31823,58930.7
75439.2,86789.5
27295.6,80108.7
106034,110819
70883.4,66003.6
27423.2,39321.6
24831.2,64457.5
13398.9,35802.4
25454.5,29120.8
30065,84672.4
14099.3,74769.9
144882,183634
58788,53254.9
33046.3,46599.3
110429,158800
116965,181824
33782.2,112732
169090,169240
187937,178527
13873.6,39806.6
39116.2,37924.9
126238,138351
96136.1,101726
98263.3,81685.8
47201.2,96202.3
114814,149861
29405.2,21795.5
13037.8,91466.3
56629.6,105989
10955.2,60606.8
92444.2,55382.8
85739.8,141063
38301.2,59602.9
43434.8,59054.6
31155.1,61495.7
115559,94574.7
110029,132161
14891.5,67003.9
43226.5,51966.3
15026.2,52417.2
132340,139037
39126.1,39969.8
82768.5,136201
29706.8,95762.1
39525.6,67131.1
52311.8,40690.9
46163.9,75058.2
85087.9,141103
51974.6,73547.6
12900.3,60247.1
16355.9,49811.7
59193.3,81836.8
74349.5,149570
118337,107309
51413.9,54401
12704.1,87795.7
97069.2,67101.3
138673,106615
21278.4,119851
88967.4,55724.4
145382,145100
34334.9,76058.5
144300,78748.2
13490.1,24615.1
37818.4,124885
60699,114471
16891.2,17416.5
110604,90338.3
147688,181948
88491.3,131050
144402,125322
12227.9,74861.4
31191.7,51821.6
20344.4,97273.8
36626.8,34023.6
48673.4,76612.8
138925,120539
51951.8,76757.6
113390,93828.2
102137,136553
12913.4,45657.9
20994.7,124122
50442.6,104135
128231,145421
12170.2,67957.5
106524,161659
14467,56009.2
36171.7,68141.3
25474.9,135706
30099.4,59857.1
43798.9,51843.1
64469.2,157505
144976,121682
16918.1,36226.3
75934.4,63667.6
64999.4,58846
80214.6,79502.7
47613.2,101870
75213.5,119478
11717,73217.4
56747,43842.5
100254,140380
134934,155729
21056.9,39398.9
19508.1,59320.6
18337.9,26771.4
50262,33398
106701,78380.1
20782,42073.4
114283,139433
36608,91863.8
20393.2,81257.8
76009.6,119410
44385.8,128528
21110.2,62889.9
37452.2,70809.4
19717.6,139464
48174.6,95371.8
99439.1,85315.9
30359.5,75412.4
13452.2,113606
14789.1,31610.1
22894.6,92925.3
45068.6,40724.9
59166.2,43294.2
39352,63745.5
60409.8,57703.2
36546.4,60163.1
116966,197841
20295.7,59713.7
52671.4,50582.6
67977.9,37811
146296,103471
49999.2,98500.2
25597.9,53939.6
73179.8,80785.1
75111.2,165020
15180.5,28807.5
19711,34199.6
41044.8,59396.6
24778.9,30521.8
38471.3,47073.9
52654,88002.8
35538.7,69622.4
40307.5,92230.2
13131.2,63942.9
12362.6,82186.4
116359,135927
92303.2,141797
53511.3,82598.2
11276.9,116632
54899.4,145051
31415.9,94997.4
124604,92270.7
55192.5,58654.4
34737.9,43998.1
149144,150939
17513.5,95749.4
63597.8,101736
74609.1,146443
12680.8,44526.2
21492.9,44603.1
143348,177550
67207,91873.7
97800.9,102814
80974.2,110733
29533.9,100728
17831.5,88887.9
151264,187135
171297,172790
140781,178863
56095.6,94378.1
33335.3,53976.4
81475,114818
30216.3,61181.2
34746.4,18324.9
94074.5,74970.5
14720.1,50846.7
41254.4,89564.9
165606,154177
61361.5,37565.1
26939.6,70172.5
26872,103796
33519.9,82284.7
156319,189056
131318,122652
138496,117909
11451.2,18060.7
90104.2,70786
42678.7,86645.8
75241.5,124072
70419.5,74044.9
17891.7,30816.3
34099.4,102878
182231,175449
160385,189041
182671,162261
104318,115869
81246.1,120114
110848,144046
26648.2,50093
72289.1,103893
20853.3,31674.9
87060,100447
55134.4,79232.7
134765,88448.8
63799.3,141993
15006.4,34471.9
42108.9,106892
62544.4,58761.1
17130.9,18550.8
16761.1,32931.6
18107.9,71245
14734.1,123729
69123.7,55807.7
21945.3,83510.8
33869.6,43574.3
39297,36250.9
28154.7,28954.6
29524.8,59130.3
55222.8,38043.6
41361.5,46508.1
53370.6,56992.5
69402,112607
18707.4,81874.1
19987.6,24098.6
18048.3,94415.3
14133,27524.7
19374.7,74677.1
37183,21913.1
38530.4,62994.3
97778,136392
22503,49755.7
36744.7,44903
27422.1,43658.2
50705.8,38875.6
138243,115702
40024.4,67791
93723,98573.8
47292.5,60043.9
153997,157465
75495.1,63547.5
167533,154566
14584.6,64343.4
62204.4,138693
129083,122403
143633,183919
16865.4,73129.1
29602.6,44418.1
18941.9,36274.9
135377,132768
86574.3,156814
19068.4,26235
69730,164177
56826.5,111514
109106,134899
46451,22176.3
112268,86426.3
15206.8,42713
23034.9,41084.1
132868,97015.6
48692.8,63954.9
48843.1,98769.6
13303.8,66634.7
125534,78012.5
14462.4,17629.1
50381.3,116823
35087.9,30847.4
29826.9,62353.9
14737.8,38007.7
35219.2,76530.8
122089,155424
15225.3,38638.2
83108,84365.9
36648.5,114843
24212,48259.3
110719,146820
80265,107534
101202,114429
138623,165614
17026,117226
65263.2,67798.2
24366.9,98700.3
30193.2,35418.1
40247.6,41348
48602.4,61097.2
16588.2,49649.3
62850.6,88350.5
176090,161593
59911.2,28768.1
20871.7,146153
59768.8,111710
45247,34572.9
122378,131591
35746.7,53903.2
128711,182369
35672.2,90299.3
88673.7,92096.6
49911.6,37317.5
45620.9,48039.7
34952.9,28394.7
153291,137248
77636.3,55237.6
61680.7,128017
45820.2,68620.3
65024.8,59029.5
22377.2,59870.4
73117.3,111803
138271,122179
57613.3,57270.7
78516.7,112325
12135,26392.8
27256.4,52392.1
98396.2,149946
71033.7,128656
108209,116363
101772,65568.1
11346.4,96187.1
30280.5,41743.3
25444,56151.5
62715,63533.9
76957,73202.7
18396.9,61498.4
81009.4,115318
24148.9,114256
25233.8,65583.3
29772.6,70711.8
144046,142103
55110.9,120651
52175,26623
49217.7,136072
149891,172528
157637,157435
55126.8,42992.7
45338.9,54128.9
127228,146011
22643.3,20005.9
16539.3,22769.7
184595,156215
145763,148057
78717.3,119678
27298.4,27476.8
53678.6,65381.3
17023.2,111300
108459,102191
161294,122582
161672,187347
69664,108333
26833.9,54648.2
114010,144375
129168,136526
16155.1,64437.7
105973,86062.8
62591,72015.8
133402,184931
36161.4,61702.7
58640,99584.5
16172,54714.6
142929,182606
70532.9,72942.6
54914.3,50126.3
41814.9,81627.1
112568,78878.9
143198,137718
43230.2,55655.2
19936.6,40037.7
56097.2,67263.2
22023.6,95456.2
52921.2,63541.6
44529.3,47139.5
56647,39402.1
155107,185317
17258.4,50964.2
113428,64770.8
25393.9,18774.2
27531.3,44513.2
87794.4,126325
108876,127367
44253.3,70947.4
40151.7,64665.3
145840,176005
102830,64141.7
17316.6,28000.8
114406,140832
11467.9,71231.7
22532.5,107996
11938.9,67608.2
11966,33144.1
72226.8,114844
84673.8,97530.8
64133.9,80825.4
14169.2,52825.1
72932.7,63655.6
70199.2,81874.2
56887.6,55443.9
59070.4,32475.7
54846.8,35194.2
14780.6,52133.3
69766.4,88715.2
20446.9,62951.2
124142,143752
81724.3,137799
92978.3,63654.1
163837,136869
126325,170817
45025,70229.6
130103,182155
27399.5,27330.8
91528.5,117890
17645.3,45611.1
15556.3,70484.9
11911,32932
26869.9,94100.5
12357,20022.7
93060.5,118393
75924.4,115578
158675,178283
24959.8,18366.5
43767.1,100456
119408,142267
33297.4,23778.7
39208.4,58847.4
132431,104337
30594.9,53890.9
46810.3,30366.9
33828.4,90951.4
128771,131568
22094.3,109828
54440.7,100295
30726.1,116005
125071,67055.6
138783,127031
159415,164556
40093.4,128902
18696.3,26362.4
114268,146130
33082,135134
11019.5,106131
35048.2,60781.5
26931.3,91101
143973,139035
38345.5,19199.9
71532.7,100255
28650,31933.8
36508.5,112285
18206.6,84470.1
148841,199606
20019.2,24401.8
15689.8,30129.4
34080.8,97059.3
13197.3,87912.8
15930.8,54356.9
105343,82689.1
37256.7,63123.3
145731,121677
13585.1,66878.5
114027,89264.9
26564.8,63968.1
48553.3,48322
80083.2,113970
71184.1,60486.3
81507.7,42946.2
113660,73335.5
77111.3,94229.8
164947,135134
15003.7,22386.5
104117,60479.2
26180.2,39803
18004.2,50370.8
15996.3,35116.1
17704.7,24898.3
69573,98178.9
21503.7,38561
112260,146546
27885,49045.7
155307,114095
151760,187479
56005.5,93300.9
35913.4,18175.5
33002.8,44517.8
25431,122827
28963.1,60906.2
41199.2,58464
21481.4,55162.8
151682,147595
52178.7,87403
33438.9,20622.5
60809.5,55711.2
11336.6,64335.5
11293.7,27412
58871.9,100537
20773.6,50633.9
74881.9,186345
28728.6,40852.9
136027,123423
26895.7,23162.2
32329,85954.5
111289,73325.7
31549.5,62888.5
78680.8,102648
