"FITC-A","mCherry-A"
86373.1,87947.4
138291,162125
137983,82660.9
35255.3,47567.4
104860,133498
38228.8,91116.5
38258.1,94847.6
74078.1,42772.4
53716.6,91234.9
43581.3,61445.7
26993.5,57494.8
42318.1,48641.7
127583,86541.6
37372.3,70642.4
92873.4,64049.4
124051,170034
164247,128124
69994.9,113301
29286.1,33274.9
62722,75478.8
24328.5,56217.4
26943.4,44026.6
86012.7,79805.2
40305.4,44882.1
182600,179817
108261,151404
60661.8,57606.2
117511,87618.7
20255.8,33645.6
116044,152836
61194.5,129406
53150.5,55957.7
123461,171186
27560.1,83249.6
33905.2,39974.1
59349.2,103170
115815,132565
40796.6,38241.9
42792.9,93621.8
91450.2,125127
21413.6,61036.7
88395.4,49999.4
64262,80424.8
42503.7,66098.4
62648,134614
114296,158379
73238.3,148320
49987.6,35944.2
54825.4,96599.1
75998.3,77376.5
140312,138317
89661,49294.3
87711.7,80903.1
33647.6,40759.1
48432.7,85433.7
33995.4,59170.7
29280,63314.4
140077,163518
26636.1,39598.1
153036,157842
23698.7,52115.1
77439.7,117903
45562.5,39724.4
38018.1,80017.9
97758.6,109828
30914.7,43202.7
73999.2,119904
101188,69430
46874.3,101563
65685.1,116708
30999.5,92382.4
32633.6,40909.5
38032.6,34990.8
18404.8,94342
56422.4,35566.4
44681.2,92664.1
32598.6,86876.8
181423,105746
63798.4,122795
71948.7,117914
36283.1,34096.5
52229.8,53261.6
156056,94103.8
23599.6,89797.7
146815,154728
48707.9,51317.1
23785.4,62770
59886.4,104474
154306,167963
52434.8,120260
30914.5,40534.2
97409.2,134907
135989,138602
31843.8,39959.9
63010.5,42707.8
39806.1,42855.9
53816.1,99056.8
20642.2,37233.9
32471.2,54558.4
120830,121294
59114.3,125827
83722,137818
37757.3,78352.8
19209.7,43504.5
83860.9,39417.2
23501.7,99891.2
21741.8,57959
36506.5,69492.1
28272.4,98527.4
18098.5,39830.6
98753.8,123107
70764,137866
34617,64710.6
98260.4,146899
90910.5,54187.9
147140,86349.2
100258,87041.9
30235.1,58087.9
33963.7,107562
59836.5,57928.6
48853.7,33367.9
61859,48797.1
74970,85114
19167,49984.9
145711,135046
16547.7,90219.8
96187.4,151970
45719.7,82760.8
72175,51331.5
44446.3,33877.3
22756.7,32900.7
