"counts","density","mids"
0,0,0.085
6,0.0602954476936991,0.095
27,0.271329514621646,0.105
54,0.542659029243292,0.115
41,0.41201889257361,0.125
60,0.602954476936991,0.135
71,0.713496131042106,0.145
75,0.753693096171241,0.155
79,0.793890061300373,0.165
96,0.964727163099185,0.175
100,1.00492412822832,0.185
128,1.28630288413225,0.195
112,1.12551502361572,0.205
116,1.16571198874485,0.215
121,1.21595819515627,0.225
121,1.21595819515626,0.235
135,1.35664757310823,0.245
141,1.41694302080193,0.255
151,1.51743543362476,0.265
148,1.48728770977791,0.275
149,1.4973369510602,0.285
137,1.3767460556728,0.295
154,1.54758315747161,0.305
163,1.63802632901216,0.315
149,1.49733695106019,0.325
144,1.44709074464878,0.335
179,1.79881418952869,0.345
155,1.55763239875389,0.355
162,1.62797708772988,0.365
143,1.43704150336649,0.375
161,1.61792784644759,0.385
120,1.20590895387398,0.395
146,1.46718922721334,0.405
142,1.42699226208421,0.415
157,1.57773088131846,0.425
153,1.53753391618933,0.435
130,1.30640136669681,0.445
124,1.24610591900311,0.455
125,1.2561551602854,0.465
128,1.28630288413225,0.475
101,1.0149733695106,0.485
120,1.20590895387399,0.495
123,1.23605667772083,0.505
118,1.18581047130942,0.515
97,0.974776404381468,0.525
105,1.05517033463973,0.535
114,1.14561350618028,0.545
82,0.82403778514723,0.555
114,1.14561350618028,0.565
103,1.03507185207517,0.575
99,0.994874886946035,0.585
95,0.954677921816902,0.595
86,0.864234750276353,0.605
94,0.944628680534619,0.615
85,0.85418550899407,0.625
104,1.04512109335745,0.635
91,0.914480956687769,0.645
82,0.82403778514723,0.655
75,0.753693096171238,0.665
85,0.85418550899407,0.675
83,0.834087026429504,0.685
77,0.773791578735805,0.695
97,0.974776404381468,0.705
87,0.874283991558637,0.715
79,0.793890061300371,0.725
71,0.713496131042106,0.735
68,0.683348407195256,0.745
69,0.693397648477539,0.755
83,0.834087026429504,0.765
57,0.572806753090141,0.775
47,0.472314340267315,0.785
61,0.613003718219274,0.795
59,0.592905235654708,0.805
62,0.623052959501557,0.815
63,0.63310220078384,0.825
67,0.673299165912973,0.835
67,0.673299165912973,0.845
58,0.582855994372424,0.855
48,0.482363581549593,0.865
56,0.562757511807858,0.875
57,0.572806753090141,0.885
58,0.582855994372424,0.895
52,0.522560546678725,0.905
44,0.442166616420465,0.915
54,0.542659029243292,0.925
42,0.422068133855893,0.935
43,0.432117375138177,0.945
52,0.522560546678725,0.955
36,0.361772686162194,0.965
42,0.422068133855893,0.975
48,0.482363581549593,0.985
38,0.381871168726761,0.995
40,0.401969651291327,1.005
37,0.371821927444478,1.015
38,0.381871168726761,1.025
39,0.391920410009044,1.035
27,0.271329514621646,1.045
36,0.361772686162194,1.055
26,0.261280273339363,1.065
34,0.341674203597628,1.075
28,0.281378755903929,1.085
17,0.170837101798814,1.095
30,0.301477238468495,1.105
27,0.271329514621646,1.115
22,0.22108330821023,1.125
20,0.200984825645664,1.135
16,0.160787860516531,1.145
24,0.241181790774796,1.155
13,0.130640136669681,1.165
23,0.231132549492513,1.175
19,0.19093558436338,1.185
22,0.22108330821023,1.195
17,0.170837101798814,1.205
19,0.19093558436338,1.215
21,0.211034066927947,1.225
20,0.200984825645668,1.235
19,0.19093558436338,1.245
20,0.200984825645664,1.255
14,0.140689377951965,1.265
17,0.170837101798814,1.275
17,0.170837101798814,1.285
19,0.19093558436338,1.295
21,0.211034066927947,1.305
12,0.120590895387398,1.315
22,0.22108330821023,1.325
12,0.120590895387398,1.335
11,0.110541654105115,1.345
13,0.130640136669681,1.355
11,0.110541654105115,1.365
8,0.0803939302582654,1.375
12,0.120590895387398,1.385
11,0.110541654105115,1.395
15,0.150738619234248,1.405
24,0.241181790774796,1.415
9,0.0904431715405486,1.425
11,0.110541654105115,1.435
15,0.150738619234248,1.445
11,0.110541654105115,1.455
10,0.100492412822832,1.465
13,0.130640136669681,1.475
11,0.110541654105117,1.485
12,0.120590895387398,1.495
11,0.110541654105115,1.505
16,0.160787860516531,1.515
13,0.130640136669681,1.525
12,0.120590895387398,1.535
12,0.120590895387398,1.545
7,0.0703446889759823,1.555
5,0.0502462064114159,1.565
10,0.100492412822832,1.575
10,0.100492412822832,1.585
6,0.0602954476936991,1.595
