"counts","density","mids"
1,0.0074019245003701,0.085
10,0.0740192450037009,0.095
14,0.103626943005181,0.105
31,0.229459659511473,0.115
49,0.362694300518134,0.125
58,0.429311621021465,0.135
77,0.569948186528497,0.145
78,0.577350111028869,0.155
101,0.747594374537381,0.165
104,0.769800148038489,0.175
88,0.651369356032568,0.185
96,0.710584752035529,0.195
97,0.717986676535899,0.205
116,0.85862324204293,0.215
136,1.00666173205034,0.225
118,0.873427091043671,0.235
126,0.932642487046631,0.245
119,0.880829015544041,0.255
114,0.84381939304219,0.265
119,0.880829015544041,0.275
131,0.969652109548487,0.285
131,0.969652109548482,0.295
121,0.895632864544781,0.305
112,0.82901554404145,0.315
138,1.02146558105107,0.325
139,1.02886750555144,0.335
132,0.977054034048852,0.345
128,0.947446336047372,0.355
131,0.969652109548487,0.365
143,1.05847520355292,0.375
115,0.85122131754256,0.385
100,0.740192450037009,0.395
142,1.05107327905255,0.405
137,1.0140636565507,0.415
131,0.969652109548482,0.425
132,0.977054034048857,0.435
127,0.940044411547001,0.445
138,1.02146558105107,0.455
141,1.04367135455218,0.465
159,1.17690599555884,0.475
141,1.04367135455218,0.485
115,0.851221317542565,0.495
157,1.1621021465581,0.505
126,0.932642487046631,0.515
147,1.0880829015544,0.525
140,1.03626943005181,0.535
124,0.917838638045891,0.545
123,0.910436713545531,0.555
140,1.03626943005181,0.565
130,0.962250185048112,0.575
141,1.04367135455218,0.585
122,0.903034789045151,0.595
122,0.903034789045151,0.605
156,1.15470022205773,0.615
153,1.13249444855662,0.625
143,1.05847520355292,0.635
133,0.984455958549222,0.645
131,0.969652109548492,0.655
130,0.962250185048112,0.665
126,0.932642487046631,0.675
150,1.11028867505551,0.685
106,0.78460399703923,0.695
127,0.940044411547001,0.705
140,1.03626943005181,0.715
114,0.84381939304219,0.725
130,0.962250185048112,0.735
136,1.00666173205033,0.745
131,0.969652109548482,0.755
121,0.895632864544781,0.765
110,0.81421169504071,0.775
129,0.954848260547752,0.785
113,0.83641746854182,0.795
133,0.984455958549222,0.805
109,0.80680977054034,0.815
101,0.747594374537379,0.825
100,0.740192450037009,0.835
113,0.83641746854182,0.845
124,0.917838638045891,0.855
129,0.954848260547742,0.865
109,0.80680977054034,0.875
126,0.932642487046631,0.885
111,0.82161361954108,0.895
100,0.740192450037009,0.905
108,0.799407846039978,0.915
103,0.762398223538119,0.925
106,0.78460399703923,0.935
86,0.636565507031828,0.945
99,0.732790525536639,0.955
100,0.740192450037009,0.965
98,0.725388601036269,0.975
101,0.747594374537379,0.985
94,0.695780903034788,0.995
78,0.577350111028867,1.005
83,0.614359733530717,1.015
83,0.614359733530717,1.025
69,0.510732790525536,1.035
82,0.606957809030347,1.045
74,0.547742413027387,1.055
68,0.503330866025166,1.065
68,0.503330866025166,1.075
79,0.584752035529237,1.085
62,0.458919319022946,1.095
63,0.466321243523316,1.105
54,0.399703923019985,1.115
51,0.377498149518875,1.125
37,0.273871206513693,1.135
49,0.362694300518134,1.145
59,0.436713545521835,1.155
51,0.377498149518875,1.165
61,0.451517394522575,1.175
37,0.273871206513693,1.185
39,0.288675055514434,1.195
43,0.318282753515914,1.205
36,0.266469282013323,1.215
35,0.259067357512953,1.225
43,0.318282753515921,1.235
36,0.266469282013323,1.245
31,0.229459659511473,1.255
24,0.177646188008882,1.265
36,0.266469282013323,1.275
47,0.347890451517394,1.285
26,0.192450037009622,1.295
30,0.222057735011103,1.305
30,0.222057735011103,1.315
36,0.266469282013323,1.325
30,0.222057735011103,1.335
30,0.222057735011103,1.345
17,0.125832716506292,1.355
33,0.244263508512213,1.365
38,0.281273131014063,1.375
23,0.170244263508512,1.385
21,0.155440414507772,1.395
22,0.162842339008142,1.405
22,0.162842339008142,1.415
26,0.192450037009622,1.425
18,0.133234641006662,1.435
21,0.155440414507772,1.445
16,0.118430792005921,1.455
24,0.177646188008882,1.465
31,0.229459659511473,1.475
24,0.177646188008886,1.485
21,0.155440414507772,1.495
17,0.125832716506292,1.505
19,0.140636565507032,1.515
16,0.118430792005921,1.525
29,0.214655810510733,1.535
21,0.155440414507772,1.545
16,0.118430792005921,1.555
17,0.125832716506292,1.565
8,0.0592153960029607,1.575
15,0.111028867505551,1.585
23,0.170244263508512,1.595
14,0.103626943005181,1.605
13,0.0962250185048112,1.615
16,0.118430792005921,1.625
20,0.148038490007402,1.635
17,0.125832716506292,1.645
20,0.148038490007402,1.655
9,0.0666173205033308,1.665
18,0.133234641006662,1.675
20,0.148038490007402,1.685
10,0.0740192450037009,1.695
23,0.170244263508512,1.705
14,0.103626943005181,1.715
13,0.0962250185048112,1.725
17,0.125832716506292,1.735
13,0.0962250185048133,1.745
12,0.0888230940044411,1.755
9,0.0666173205033308,1.765
18,0.133234641006662,1.775
4,0.0296076980014804,1.785
13,0.0962250185048112,1.795
12,0.0888230940044411,1.805
7,0.0518134715025906,1.815
12,0.0888230940044411,1.825
21,0.155440414507772,1.835
7,0.0518134715025906,1.845
4,0.0296076980014804,1.855
13,0.0962250185048112,1.865
6,0.0444115470022205,1.875
12,0.0888230940044411,1.885
11,0.081421169504071,1.895
13,0.0962250185048112,1.905
7,0.0518134715025906,1.915
10,0.0740192450037009,1.925
14,0.103626943005181,1.935
13,0.0962250185048112,1.945
9,0.0666173205033308,1.955
9,0.0666173205033308,1.965
10,0.0740192450037009,1.975
8,0.0592153960029607,1.985
10,0.0740192450037025,1.995
2,0.0148038490007405,2.005
7,0.0518134715025895,2.015
11,0.0814211695040728,2.025
2,0.0148038490007399,2.035
7,0.0518134715025918,2.045
3,0.0222057735011098,2.055
2,0.0148038490007405,2.065
7,0.0518134715025895,2.075
8,0.0592153960029594,2.085
9,0.0666173205033323,2.095
3,0.0222057735011098,2.105
2,0.0148038490007405,2.115
6,0.0444115470022215,2.125
1,0.00740192450036993,2.135
1,0.00740192450037025,2.145
0,0,2.155
1,0.00740192450037025,2.165
2,0.0148038490007399,2.175
0,0,2.185
0,0,2.195
0,0,2.205
0,0,2.215
0,0,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
0,0,2.275
0,0,2.285
0,0,2.295
0,0,2.305
0,0,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
