"counts","density","mids"
0,0,0.085
10,0.0645286184422791,0.095
28,0.180680131638382,0.105
37,0.238755888236433,0.115
51,0.329095954055623,0.125
64,0.412983158030586,0.135
74,0.477511776472865,0.145
76,0.490417500161322,0.155
108,0.696909079176616,0.165
120,0.774343421307349,0.175
111,0.716267664709298,0.185
138,0.890494934503452,0.195
109,0.703361941020842,0.205
137,0.884042072659224,0.215
123,0.793702006840037,0.225
141,0.909853520036135,0.235
150,0.967929276634186,0.245
125,0.806607730528489,0.255
142,0.916306381880363,0.265
160,1.03245789507647,0.275
130,0.838872039749633,0.285
171,1.10343937536297,0.295
156,1.00664644769955,0.305
145,0.935664967413047,0.315
128,0.825966316061172,0.325
155,1.00019358585533,0.335
133,0.858230625282312,0.345
142,0.916306381880363,0.355
137,0.884042072659228,0.365
152,0.980835000322642,0.375
145,0.935664967413047,0.385
166,1.07117506614183,0.395
147,0.948570691101503,0.405
175,1.12925082273988,0.415
145,0.935664967413047,0.425
165,1.06472220429761,0.435
166,1.07117506614183,0.445
146,0.942117829257275,0.455
129,0.8324191779054,0.465
160,1.03245789507647,0.475
155,1.00019358585533,0.485
169,1.09053365167452,0.495
130,0.838872039749628,0.505
133,0.858230625282312,0.515
134,0.86468348712654,0.525
139,0.896947796347679,0.535
142,0.916306381880363,0.545
153,0.987287862166881,0.555
140,0.903400658191907,0.565
143,0.922759243724591,0.575
157,1.01309930954378,0.585
154,0.993740724011098,0.595
147,0.948570691101503,0.605
146,0.942117829257275,0.615
153,0.98728786216687,0.625
133,0.858230625282312,0.635
133,0.858230625282312,0.645
154,0.993740724011109,0.655
149,0.961476414789958,0.665
146,0.942117829257275,0.675
162,1.04536361876492,0.685
134,0.86468348712654,0.695
137,0.884042072659224,0.705
172,1.1098922372072,0.715
149,0.961476414789958,0.725
156,1.00664644769955,0.735
184,1.18732657933794,0.745
136,0.877589210814996,0.755
138,0.890494934503452,0.765
144,0.929212105568819,0.775
135,0.871136348970778,0.785
141,0.909853520036135,0.795
145,0.935664967413047,0.805
145,0.935664967413047,0.815
137,0.884042072659224,0.825
138,0.890494934503452,0.835
141,0.909853520036135,0.845
139,0.896947796347679,0.855
137,0.884042072659224,0.865
124,0.800154868684261,0.875
127,0.819513454216944,0.885
152,0.980835000322642,0.895
140,0.903400658191907,0.905
133,0.858230625282322,0.915
138,0.890494934503452,0.925
128,0.825966316061172,0.935
135,0.871136348970768,0.945
108,0.696909079176614,0.955
102,0.658191908111247,0.965
119,0.767890559463121,0.975
110,0.70981480286507,0.985
90,0.580757565980512,0.995
94,0.606569013357423,1.005
97,0.625927598890107,1.015
92,0.593663289668968,1.025
93,0.600116151513196,1.035
110,0.70981480286507,1.045
88,0.567851842292056,1.055
82,0.529134671226689,1.065
81,0.522681809382461,1.075
90,0.580757565980512,1.085
86,0.5549461186036,1.095
65,0.419436019874814,1.105
72,0.46460605278441,1.115
59,0.380718848809447,1.125
62,0.40007743434213,1.135
47,0.303284506678712,1.145
65,0.419436019874814,1.155
51,0.329095954055623,1.165
63,0.406530296186358,1.175
64,0.412983158030586,1.185
50,0.322643092211395,1.195
47,0.303284506678712,1.205
37,0.238755888236433,1.215
45,0.290378782990256,1.225
