"counts","density","mids"
0,0,0.085
13,0.0747943156320119,0.095
19,0.109314769000633,0.105
42,0.241643173580346,0.115
79,0.454519302686842,0.125
75,0.431505667107761,0.135
79,0.454519302686842,0.145
111,0.638628387319488,0.155
106,0.609861342845637,0.165
115,0.661642022898567,0.175
122,0.701915885161958,0.185
128,0.736436338530579,0.195
114,0.655888614003797,0.205
128,0.736436338530579,0.215
131,0.753696565214893,0.225
144,0.828490880846901,0.235
141,0.811230654162591,0.245
141,0.811230654162591,0.255
157,0.903285196478913,0.265
151,0.868764743110292,0.275
145,0.834244289741676,0.285
149,0.857257925320752,0.295
167,0.960819285426614,0.305
168,0.966572694321385,0.315
169,0.972326103216155,0.325
168,0.966572694321385,0.335
173,0.995339738795235,0.345
141,0.811230654162591,0.355
153,0.880271560899837,0.365
159,0.914792014268453,0.375
168,0.966572694321385,0.385
175,1.00684655658478,0.395
150,0.863011334215522,0.405
160,0.920545423163223,0.415
160,0.920545423163223,0.425
163,0.937805649847539,0.435
160,0.920545423163223,0.445
144,0.828490880846901,0.455
157,0.903285196478913,0.465
169,0.972326103216155,0.475
161,0.926298832057994,0.485
140,0.805477245267825,0.495
164,0.943559058742304,0.505
177,1.01835337437432,0.515
158,0.909038605373683,0.525
180,1.03561360105863,0.535
134,0.7709567918992,0.545
168,0.966572694321395,0.555
146,0.839997698636441,0.565
159,0.914792014268453,0.575
154,0.886024969794603,0.585
180,1.03561360105863,0.595
182,1.04712041884817,0.605
151,0.868764743110292,0.615
162,0.932052240952764,0.625
176,1.01259996547955,0.635
177,1.01835337437432,0.645
165,0.949312467637085,0.655
192,1.10465450779587,0.665
156,0.897531787584143,0.675
177,1.01835337437432,0.685
154,0.886024969794603,0.695
177,1.01835337437432,0.705
161,0.926298832057994,0.715
162,0.932052240952764,0.725
161,0.926298832057994,0.735
176,1.01259996547955,0.745
149,0.857257925320752,0.755
171,0.983832921005695,0.765
164,0.943559058742304,0.775
164,0.943559058742314,0.785
153,0.880271560899832,0.795
156,0.897531787584143,0.805
159,0.914792014268453,0.815
148,0.851504516425982,0.825
146,0.839997698636441,0.835
164,0.943559058742304,0.845
165,0.949312467637074,0.855
141,0.811230654162591,0.865
140,0.80547724526782,0.875
136,0.78246360968874,0.885
134,0.7709567918992,0.895
143,0.822737471952131,0.905
144,0.82849088084691,0.915
132,0.759449974109659,0.925
122,0.701915885161958,0.935
122,0.701915885161958,0.945
144,0.828490880846901,0.955
139,0.79972383637305,0.965
153,0.880271560899832,0.975
119,0.684655658477647,0.985
108,0.621368160635176,0.995
116,0.667395431793337,1.005
104,0.598354525056095,1.015
106,0.609861342845636,1.025
104,0.598354525056095,1.035
98,0.563834071687474,1.045
105,0.604107933950865,1.055
97,0.558080662792704,1.065
116,0.667395431793337,1.075
97,0.558080662792704,1.085
91,0.523560209424083,1.095
94,0.540820436108394,1.105
69,0.39698521373914,1.115
82,0.471779529371152,1.125
85,0.489039756055462,1.135
90,0.517806800529313,1.145
69,0.39698521373914,1.155
82,0.471779529371152,1.165
61,0.350957942580979,1.175
65,0.37397157816006,1.185
76,0.437259076002531,1.195
70,0.40273862263391,1.205
59,0.339451124791439,1.215
66,0.37972498705483,1.225
57,0.327944307001906,1.235
52,0.299177262528048,1.245
45,0.258903400264657,1.255
64,0.368218169265289,1.265
61,0.350957942580979,1.275
40,0.230136355790806,1.285
47,0.270410218054197,1.295
43,0.247396582475116,1.305
47,0.270410218054197,1.315
37,0.212876129106495,1.325
34,0.195615902422185,1.335
35,0.201369311316955,1.345
44,0.253149991369886,1.355
42,0.241643173580346,1.365
42,0.241643173580346,1.375
36,0.207122720211725,1.385
32,0.184109084632645,1.395
36,0.207122720211725,1.405
36,0.207122720211725,1.415
29,0.166848857948334,1.425
27,0.155342040158794,1.435
29,0.166848857948334,1.445
27,0.155342040158794,1.455
29,0.166848857948334,1.465
30,0.172602266843104,1.475
29,0.166848857948338,1.485
31,0.178355675737875,1.495
27,0.155342040158794,1.505
26,0.149588631264024,1.515
