"counts","density","mids"
0,0,0.085
10,0.0532226302623875,0.095
34,0.180956942892118,0.105
59,0.314013518548087,0.115
78,0.415136516046623,0.125
93,0.494970461440204,0.135
110,0.585448932886263,0.145
126,0.670605141306085,0.155
132,0.702538719463517,0.165
163,0.867528873276917,0.175
150,0.798339453935813,0.185
155,0.824950769067007,0.195
139,0.739794560647187,0.205
152,0.80898397998829,0.215
173,0.920751503539309,0.225
184,0.97929639682793,0.235
193,1.02719676406408,0.245
167,0.888817925381872,0.255
193,1.02719676406408,0.265
196,1.0431635531428,0.275
192,1.02187450103785,0.285
172,0.915429240513065,0.295
200,1.06445260524775,0.305
183,0.973974133801692,0.315
184,0.97929639682793,0.325
177,0.942040555644259,0.335
182,0.968651870775453,0.345
193,1.02719676406408,0.355
160,0.851562084198205,0.365
195,1.03784129011656,0.375
191,1.0165522380116,0.385
181,0.963329607749214,0.395
199,1.05913034222151,0.405
179,0.952685081696737,0.415
191,1.0165522380116,0.425
180,0.958007344722981,0.435
169,0.899462451434349,0.445
183,0.973974133801692,0.455
170,0.904784714460588,0.465
176,0.93671829261802,0.475
173,0.920751503539304,0.485
175,0.931396029591787,0.495
190,1.01122997498536,0.505
190,1.01122997498536,0.515
193,1.02719676406408,0.525
188,1.00058544893289,0.535
194,1.03251902709032,0.545
163,0.867528873276926,0.555
170,0.904784714460588,0.565
199,1.05913034222151,0.575
175,0.931396029591782,0.585
183,0.973974133801692,0.595
193,1.02719676406408,0.605
178,0.947362818670498,0.615
172,0.915429240513065,0.625
174,0.926073766565543,0.635
161,0.856884347224439,0.645
197,1.04848581616905,0.655
192,1.02187450103784,0.665
183,0.973974133801692,0.675
202,1.07509713130023,0.685
176,0.93671829261802,0.695
187,0.995263185906647,0.705
188,1.00058544893289,0.715
200,1.06445260524775,0.725
202,1.07509713130023,0.735
176,0.93671829261802,0.745
166,0.883495662355633,0.755
209,1.1123529724839,0.765
188,1.00058544893289,0.775
176,0.936718292618031,0.785
200,1.06445260524775,0.795
160,0.8515620841982,0.805
180,0.958007344722975,0.815
149,0.793017190909574,0.825
169,0.899462451434349,0.835
180,0.958007344722975,0.845
180,0.958007344722975,0.855
160,0.8515620841982,0.865
156,0.830273032093245,0.875
185,0.984618659854169,0.885
164,0.872851136303155,0.895
144,0.76640587577838,0.905
179,0.952685081696747,0.915
138,0.734472297620948,0.925
141,0.750439086699664,0.935
150,0.798339453935813,0.945
144,0.76640587577838,0.955
144,0.76640587577838,0.965
127,0.675927404332322,0.975
132,0.702538719463515,0.985
145,0.771728138804619,0.995
105,0.558837617755069,1.005
124,0.659960615253605,1.015
121,0.643993826174889,1.025
109,0.580126669860024,1.035
91,0.484325935387726,1.045
100,0.532226302623875,1.055
91,0.484325935387726,1.065
84,0.447070094204055,1.075
70,0.372558411836713,1.085
89,0.473681409335249,1.095
69,0.367236148810474,1.105
65,0.345947096705519,1.115
50,0.266113151311938,1.125
71,0.377880674862951,1.135
78,0.415136516046623,1.145
66,0.351269359731758,1.155
70,0.372558411836713,1.165
55,0.292724466443131,1.175
50,0.266113151311938,1.185
57,0.303368992495609,1.195
46,0.244824099206983,1.205
52,0.276757677364415,1.215
47,0.250146362233221,1.225
40,0.212890521049555,1.235
52,0.276757677364415,1.245
46,0.244824099206983,1.255
36,0.191601468944595,1.265
41,0.218212784075789,1.275
44,0.234179573154505,1.285
36,0.191601468944595,1.295
48,0.25546862525946,1.305
41,0.218212784075789,1.315
38,0.202245994997073,1.325
33,0.175634679865879,1.335
33,0.175634679865879,1.345
37,0.196923731970834,1.355
25,0.133056575655969,1.365
45,0.239501836180744,1.375
38,0.202245994997073,1.385
29,0.154345627760924,1.395
43,0.228857310128266,1.405
29,0.154345627760924,1.415
25,0.133056575655969,1.425
28,0.149023364734685,1.435
26,0.138378838682208,1.445
21,0.111767523551014,1.455
19,0.101122997498536,1.465
24,0.12773431262973,1.475
22,0.117089786577255,1.485
26,0.138378838682208,1.495
25,0.133056575655969,1.505
25,0.133056575655969,1.515
26,0.138378838682208,1.525
35,0.186279205918356,1.535
11,0.0585448932886263,1.545
27,0.143701101708446,1.555
18,0.0958007344722975,1.565
22,0.117089786577253,1.575
15,0.0798339453935813,1.585
20,0.106445260524775,1.595
23,0.122412049603491,1.605
17,0.0904784714460588,1.615
19,0.101122997498536,1.625
21,0.111767523551014,1.635
14,0.0745116823673425,1.645
13,0.0691894193411038,1.655
17,0.0904784714460588,1.665
18,0.0958007344722975,1.675
18,0.0958007344722975,1.685
15,0.0798339453935813,1.695
13,0.0691894193411038,1.705
15,0.0798339453935813,1.715
13,0.0691894193411038,1.725
20,0.106445260524775,1.735
14,0.0745116823673442,1.745
21,0.111767523551014,1.755
15,0.0798339453935813,1.765
13,0.0691894193411038,1.775
20,0.106445260524775,1.785
14,0.0745116823673425,1.795
15,0.0798339453935813,1.805
8,0.04257810420991,1.815
14,0.0745116823673425,1.825
12,0.063867156314865,1.835
8,0.04257810420991,1.845
17,0.0904784714460588,1.855
12,0.063867156314865,1.865
19,0.101122997498536,1.875
16,0.08515620841982,1.885
15,0.0798339453935813,1.895
10,0.0532226302623875,1.905
12,0.063867156314865,1.915
10,0.0532226302623875,1.925
9,0.0479003672361488,1.935
7,0.0372558411836713,1.945
11,0.0585448932886263,1.955
12,0.063867156314865,1.965
14,0.0745116823673425,1.975
7,0.0372558411836713,1.985
9,0.0479003672361498,1.995
9,0.0479003672361498,2.005
11,0.058544893288625,2.015
13,0.0691894193411053,2.025
8,0.0425781042099091,2.035
9,0.0479003672361498,2.045
7,0.0372558411836704,2.055
14,0.0745116823673442,2.065
4,0.0212890521049545,2.075
7,0.0372558411836704,2.085
4,0.0212890521049555,2.095
5,0.0266113151311932,2.105
3,0.0159667890787166,2.115
0,0,2.125
2,0.0106445260524773,2.135
3,0.0159667890787166,2.145
2,0.0106445260524773,2.155
1,0.00532226302623887,2.165
0,0,2.175
1,0.00532226302623887,2.185
0,0,2.195
0,0,2.205
1,0.00532226302623863,2.215
2,0.0106445260524777,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
