"counts","density","mids"
0,0,0.085
1,0.014436263894904,0.095
11,0.158798902843944,0.105
12,0.173235166738848,0.115
30,0.43308791684712,0.125
32,0.461960444636928,0.135
34,0.490832972426735,0.145
49,0.707376930850297,0.155
51,0.736249458640105,0.165
43,0.620759347480871,0.175
58,0.837303305904431,0.185
48,0.692940666955391,0.195
63,0.909484625378951,0.205
71,1.02497473653818,0.215
59,0.85173956979934,0.225
54,0.779558250324815,0.235
56,0.808430778114623,0.245
65,0.938357153168759,0.255
69,0.996102208748375,0.265
75,1.0827197921178,0.275
53,0.765121986429915,0.285
64,0.923920889273855,0.295
59,0.851739569799335,0.305
64,0.923920889273855,0.315
63,0.909484625378951,0.325
64,0.923920889273855,0.335
67,0.967229680958567,0.345
61,0.880612097589143,0.355
55,0.793994514219724,0.365
55,0.793994514219719,0.375
66,0.952793417063663,0.385
64,0.923920889273855,0.395
56,0.808430778114623,0.405
46,0.664068139165583,0.415
48,0.692940666955391,0.425
56,0.808430778114628,0.435
59,0.851739569799335,0.445
62,0.895048361484047,0.455
55,0.793994514219719,0.465
52,0.750685722535007,0.475
55,0.793994514219719,0.485
55,0.793994514219724,0.495
42,0.606323083585967,0.505
57,0.822867042009527,0.515
48,0.692940666955391,0.525
53,0.765121986429911,0.535
64,0.923920889273855,0.545
47,0.678504403060495,0.555
51,0.736249458640103,0.565
72,1.03941100043309,0.575
52,0.750685722535007,0.585
69,0.996102208748375,0.595
52,0.750685722535007,0.605
69,0.996102208748375,0.615
60,0.866175833694239,0.625
42,0.606323083585967,0.635
66,0.952793417063663,0.645
58,0.837303305904441,0.655
54,0.779558250324815,0.665
62,0.895048361484047,0.675
64,0.923920889273855,0.685
63,0.909484625378951,0.695
70,1.01053847264328,0.705
54,0.779558250324815,0.715
80,1.15490111159232,0.725
54,0.779558250324815,0.735
59,0.851739569799335,0.745
54,0.779558250324815,0.755
48,0.692940666955391,0.765
51,0.736249458640103,0.775
60,0.866175833694249,0.785
48,0.692940666955391,0.795
64,0.923920889273855,0.805
63,0.909484625378951,0.815
73,1.05384726432799,0.825
59,0.851739569799335,0.835
61,0.880612097589143,0.845
48,0.692940666955391,0.855
68,0.981665944853471,0.865
53,0.765121986429911,0.875
47,0.678504403060487,0.885
51,0.736249458640103,0.895
54,0.779558250324815,0.905
42,0.606323083585974,0.915
62,0.895048361484047,0.925
48,0.692940666955391,0.935
46,0.664068139165583,0.945
50,0.721813194745199,0.955
50,0.721813194745199,0.965
51,0.736249458640103,0.975
53,0.765121986429911,0.985
49,0.707376930850295,0.995
49,0.707376930850295,1.005
40,0.57745055579616,1.015
45,0.649631875270679,1.025
56,0.808430778114623,1.035
45,0.649631875270679,1.045
24,0.346470333477696,1.055
46,0.664068139165583,1.065
38,0.548578028006351,1.075
41,0.591886819691063,1.085
40,0.57745055579616,1.095
37,0.534141764111447,1.105
51,0.736249458640103,1.115
32,0.461960444636928,1.125
36,0.519705500216543,1.135
36,0.519705500216543,1.145
33,0.476396708531832,1.155
24,0.346470333477696,1.165
34,0.490832972426735,1.175
27,0.389779125162408,1.185
27,0.389779125162408,1.195
32,0.461960444636928,1.205
29,0.418651652952216,1.215
34,0.490832972426735,1.225
32,0.461960444636938,1.235
26,0.375342861267504,1.245
18,0.259852750108272,1.255
25,0.3609065973726,1.265
26,0.375342861267504,1.275
24,0.346470333477696,1.285
33,0.476396708531832,1.295
18,0.259852750108272,1.305
22,0.317597805687888,1.315
24,0.346470333477696,1.325
20,0.28872527789808,1.335
17,0.245416486213368,1.345
22,0.317597805687888,1.355
29,0.418651652952216,1.365
15,0.21654395842356,1.375
19,0.274289014003176,1.385
24,0.346470333477696,1.395
16,0.230980222318464,1.405
11,0.158798902843944,1.415
14,0.202107694528656,1.425
25,0.3609065973726,1.435
17,0.245416486213368,1.445
12,0.173235166738848,1.455
10,0.14436263894904,1.465
19,0.274289014003176,1.475
21,0.30316154179299,1.485
13,0.187671430633752,1.495
15,0.21654395842356,1.505
10,0.14436263894904,1.515
11,0.158798902843944,1.525
9,0.129926375054136,1.535
12,0.173235166738848,1.545
16,0.230980222318464,1.555
13,0.187671430633752,1.565
18,0.259852750108272,1.575
15,0.21654395842356,1.585
11,0.158798902843944,1.595
11,0.158798902843944,1.605
10,0.14436263894904,1.615
15,0.21654395842356,1.625
16,0.230980222318464,1.635
9,0.129926375054136,1.645
7,0.101053847264328,1.655
12,0.173235166738848,1.665
13,0.187671430633752,1.675
9,0.129926375054136,1.685
10,0.14436263894904,1.695
5,0.0721813194745199,1.705
12,0.173235166738848,1.715
5,0.0721813194745199,1.725
14,0.202107694528656,1.735
6,0.0866175833694258,1.745
9,0.129926375054136,1.755
9,0.129926375054136,1.765
8,0.115490111159232,1.775
5,0.0721813194745199,1.785
5,0.0721813194745199,1.795
7,0.101053847264328,1.805
13,0.187671430633752,1.815
10,0.14436263894904,1.825
13,0.187671430633752,1.835
6,0.0866175833694239,1.845
10,0.14436263894904,1.855
9,0.129926375054136,1.865
2,0.028872527789808,1.875
9,0.129926375054136,1.885
9,0.129926375054136,1.895
5,0.0721813194745199,1.905
10,0.14436263894904,1.915
10,0.14436263894904,1.925
5,0.0721813194745199,1.935
8,0.115490111159232,1.945
6,0.0866175833694239,1.955
1,0.014436263894904,1.965
6,0.0866175833694239,1.975
13,0.187671430633752,1.985
10,0.144362638949043,1.995
9,0.129926375054139,2.005
13,0.187671430633748,2.015
6,0.0866175833694258,2.025
3,0.043308791684711,2.035
5,0.0721813194745215,2.045
4,0.0577450555796147,2.055
5,0.0721813194745215,2.065
3,0.043308791684711,2.075
2,0.0288725277898073,2.085
2,0.0288725277898086,2.095
3,0.043308791684711,2.105
3,0.0433087916847129,2.115
1,0.0144362638949043,2.125
2,0.0288725277898073,2.135
0,0,2.145
1,0.0144362638949037,2.155
0,0,2.165
0,0,2.175
0,0,2.185
0,0,2.195
0,0,2.205
0,0,2.215
0,0,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
0,0,2.275
0,0,2.285
0,0,2.295
0,0,2.305
0,0,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
