"counts","density","mids"
0,0,0.085
1,0.0141402714932127,0.095
16,0.226244343891403,0.105
14,0.197963800904977,0.115
32,0.452488687782805,0.125
31,0.438348416289592,0.135
45,0.63631221719457,0.145
29,0.410067873303168,0.155
42,0.593891402714933,0.165
38,0.537330316742081,0.175
36,0.509049773755656,0.185
40,0.565610859728506,0.195
43,0.608031674208144,0.205
48,0.678733031674208,0.215
43,0.608031674208148,0.225
43,0.608031674208144,0.235
55,0.777714932126696,0.245
61,0.862556561085972,0.255
55,0.777714932126696,0.265
56,0.791855203619909,0.275
54,0.763574660633488,0.285
60,0.84841628959276,0.295
50,0.707013574660633,0.305
51,0.721153846153846,0.315
52,0.735294117647058,0.325
58,0.820135746606334,0.335
57,0.805995475113122,0.345
58,0.820135746606334,0.355
56,0.791855203619913,0.365
47,0.664592760180995,0.375
56,0.791855203619909,0.385
56,0.791855203619909,0.395
53,0.749434389140271,0.405
56,0.791855203619909,0.415
48,0.678733031674208,0.425
66,0.93325791855204,0.435
60,0.84841628959276,0.445
57,0.805995475113122,0.455
60,0.84841628959276,0.465
50,0.707013574660633,0.475
58,0.820135746606334,0.485
61,0.862556561085977,0.495
63,0.890837104072397,0.505
63,0.890837104072397,0.515
51,0.721153846153846,0.525
61,0.862556561085972,0.535
56,0.791855203619909,0.545
46,0.65045248868779,0.555
60,0.84841628959276,0.565
56,0.791855203619909,0.575
53,0.749434389140271,0.585
66,0.933257918552035,0.595
62,0.876696832579185,0.605
56,0.791855203619909,0.615
56,0.791855203619909,0.625
69,0.975678733031673,0.635
63,0.890837104072397,0.645
59,0.834276018099556,0.655
58,0.820135746606334,0.665
63,0.890837104072397,0.675
62,0.876696832579185,0.685
58,0.820135746606334,0.695
51,0.721153846153846,0.705
55,0.777714932126696,0.715
67,0.947398190045248,0.725
68,0.961538461538461,0.735
71,1.0039592760181,0.745
65,0.919117647058823,0.755
72,1.01809954751131,0.765
62,0.876696832579185,0.775
71,1.00395927601811,0.785
71,1.0039592760181,0.795
70,0.989819004524886,0.805
59,0.834276018099547,0.815
59,0.834276018099547,0.825
68,0.961538461538461,0.835
75,1.06052036199095,0.845
56,0.791855203619909,0.855
65,0.919117647058823,0.865
66,0.933257918552035,0.875
65,0.919117647058823,0.885
48,0.678733031674208,0.895
51,0.721153846153846,0.905
62,0.876696832579195,0.915
59,0.834276018099547,0.925
51,0.721153846153846,0.935
49,0.69287330316742,0.945
59,0.834276018099547,0.955
63,0.890837104072397,0.965
47,0.664592760180995,0.975
54,0.763574660633484,0.985
58,0.820135746606334,0.995
65,0.919117647058823,1.005
49,0.69287330316742,1.015
57,0.805995475113122,1.025
50,0.707013574660633,1.035
39,0.551470588235294,1.045
54,0.763574660633484,1.055
34,0.48076923076923,1.065
44,0.622171945701357,1.075
42,0.593891402714932,1.085
44,0.622171945701357,1.095
37,0.523190045248868,1.105
52,0.735294117647058,1.115
40,0.565610859728506,1.125
33,0.466628959276018,1.135
31,0.438348416289592,1.145
36,0.509049773755656,1.155
28,0.395927601809954,1.165
44,0.622171945701357,1.175
41,0.579751131221719,1.185
37,0.523190045248868,1.195
30,0.42420814479638,1.205
22,0.311085972850678,1.215
32,0.452488687782805,1.225
27,0.38178733031675,1.235
26,0.367647058823529,1.245
29,0.410067873303167,1.255
29,0.410067873303167,1.265
15,0.21210407239819,1.275
30,0.42420814479638,1.285
30,0.42420814479638,1.295
24,0.339366515837104,1.305
25,0.353506787330316,1.315
30,0.42420814479638,1.325
22,0.311085972850678,1.335
13,0.183823529411765,1.345
22,0.311085972850678,1.355
15,0.21210407239819,1.365
18,0.254524886877828,1.375
13,0.183823529411765,1.385
19,0.26866515837104,1.395
22,0.311085972850678,1.405
22,0.311085972850678,1.415
16,0.226244343891403,1.425
17,0.240384615384615,1.435
24,0.339366515837104,1.445
16,0.226244343891403,1.455
11,0.155542986425339,1.465
26,0.367647058823529,1.475
23,0.325226244343898,1.485
14,0.197963800904977,1.495
17,0.240384615384615,1.505
14,0.197963800904977,1.515
14,0.197963800904977,1.525
7,0.0989819004524886,1.535
17,0.240384615384615,1.545
25,0.353506787330316,1.555
10,0.141402714932127,1.565
14,0.197963800904977,1.575
23,0.325226244343891,1.585
11,0.155542986425339,1.595
14,0.197963800904977,1.605
12,0.169683257918552,1.615
15,0.21210407239819,1.625
8,0.113122171945701,1.635
11,0.155542986425339,1.645
11,0.155542986425339,1.655
14,0.197963800904977,1.665
9,0.127262443438914,1.675
11,0.155542986425339,1.685
11,0.155542986425339,1.695
15,0.21210407239819,1.705
10,0.141402714932127,1.715
9,0.127262443438914,1.725
8,0.113122171945701,1.735
