"counts","density","mids"
1,0.00572147843002632,0.085
1,0.00572147843002631,0.095
23,0.131594003890605,0.105
48,0.274630964641263,0.115
53,0.303238356791395,0.125
65,0.37189609795171,0.135
87,0.497768623412289,0.145
83,0.474882709692185,0.155
101,0.577869321432659,0.165
108,0.617919670442842,0.175
108,0.617919670442842,0.185
118,0.675134454743105,0.195
112,0.640805584162947,0.205
139,0.795285501773658,0.215
126,0.72090628218332,0.225
145,0.829614372353816,0.235
129,0.738070717473394,0.245
148,0.846778807643894,0.255
142,0.812449937063737,0.265
131,0.749513674333447,0.275
159,0.909715070374189,0.285
142,0.812449937063737,0.295
128,0.732349239043368,0.305
149,0.852500286073921,0.315
151,0.863943242933973,0.325
138,0.789564023343631,0.335
165,0.944043940954342,0.345
168,0.961208376244421,0.355
169,0.966929854674452,0.365
162,0.926879505664263,0.375
165,0.944043940954342,0.385
162,0.926879505664263,0.395
172,0.984094289964526,0.405
156,0.892550635084105,0.415
158,0.903993591944158,0.425
146,0.835335850783847,0.435
166,0.949765419384368,0.445
159,0.909715070374184,0.455
142,0.812449937063737,0.465
170,0.972651333104473,0.475
177,1.01270168211466,0.485
182,1.0413090742648,0.495
185,1.05847350955487,0.505
170,0.972651333104473,0.515
139,0.795285501773658,0.525
163,0.932600984094289,0.535
159,0.909715070374184,0.545
159,0.909715070374194,0.555
156,0.892550635084105,0.565
156,0.892550635084105,0.575
182,1.04130907426479,0.585
154,0.881107678224052,0.595
161,0.921158027234237,0.605
188,1.07563794484495,0.615
160,0.91543654880421,0.625
149,0.852500286073921,0.635
166,0.949765419384368,0.645
187,1.06991646641493,0.655
185,1.05847350955487,0.665
169,0.966929854674447,0.675
193,1.10424533699508,0.685
185,1.05847350955487,0.695
186,1.06419498798489,0.705
153,0.875386199794026,0.715
185,1.05847350955487,0.725
165,0.944043940954342,0.735
175,1.0012587252546,0.745
155,0.886829156654079,0.755
157,0.898272113514131,0.765
174,0.995537246824579,0.775
164,0.938322462524326,0.785
134,0.766678109623526,0.795
173,0.989815768394552,0.805
173,0.989815768394552,0.815
160,0.91543654880421,0.825
152,0.869664721364,0.835
145,0.829614372353816,0.845
152,0.869664721364,0.855
158,0.903993591944158,0.865
138,0.789564023343631,0.875
137,0.783842544913605,0.885
163,0.932600984094289,0.895
153,0.875386199794026,0.905
138,0.78956402334364,0.915
145,0.829614372353816,0.925
125,0.715184803753289,0.935
139,0.795285501773658,0.945
126,0.720906282183316,0.955
148,0.846778807643894,0.965
128,0.732349239043368,0.975
116,0.663691497883052,0.985
129,0.738070717473394,0.995
135,0.772399588053552,1.005
116,0.663691497883052,1.015
98,0.560704886142579,1.025
104,0.595033756722737,1.035
89,0.509211580272342,1.045
86,0.492047144982263,1.055
91,0.520654537132395,1.065
101,0.577869321432658,1.075
117,0.669412976313079,1.085
75,0.429110882251974,1.095
92,0.526376015562421,1.105
88,0.503490101842316,1.115
81,0.463439752832131,1.125
76,0.434832360682,1.135
77,0.440553839112026,1.145
73,0.417667925391921,1.155
65,0.37189609795171,1.165
80,0.457718274402105,1.175
55,0.314681313651447,1.185
68,0.389060533241789,1.195
63,0.360453141091658,1.205
49,0.280352443071289,1.215
52,0.297516878361368,1.225
60,0.343288705801586,1.235
54,0.308959835221421,1.245
58,0.331845748941526,1.255
48,0.274630964641263,1.265
71,0.406224968531868,1.275
47,0.268909486211237,1.285
66,0.377617576381737,1.295
43,0.246023572491132,1.305
49,0.280352443071289,1.315
43,0.246023572491132,1.325
53,0.303238356791395,1.335
36,0.205973223480947,1.345
48,0.274630964641263,1.355
31,0.177365831330816,1.365
36,0.205973223480947,1.375
39,0.223137658771026,1.385
38,0.217416180341,1.395
47,0.268909486211237,1.405
38,0.217416180341,1.415
48,0.274630964641263,1.425
30,0.171644352900789,1.435
32,0.183087309760842,1.445
34,0.194530266620895,1.455
32,0.183087309760842,1.465
27,0.15447991761071,1.475
28,0.16020139604074,1.485
34,0.194530266620895,1.495
32,0.183087309760842,1.505
26,0.148758439180684,1.515
35,0.200251745050921,1.525
30,0.171644352900789,1.535
26,0.148758439180684,1.545
29,0.165922874470763,1.555
26,0.148758439180684,1.565
21,0.120151047030553,1.575
30,0.171644352900789,1.585
23,0.131594003890605,1.595
29,0.165922874470763,1.605
26,0.148758439180684,1.615
20,0.114429568600526,1.625
31,0.177365831330816,1.635
23,0.131594003890605,1.645
23,0.131594003890605,1.655
28,0.160201396040737,1.665
16,0.091543654880421,1.675
23,0.131594003890605,1.685
27,0.15447991761071,1.695
13,0.0743792195903421,1.705
14,0.0801006980203684,1.715
23,0.131594003890605,1.725
14,0.0801006980203684,1.735
17,0.0972651333104495,1.745
22,0.125872525460579,1.755
16,0.091543654880421,1.765
17,0.0972651333104473,1.775
17,0.0972651333104473,1.785
17,0.0972651333104473,1.795
19,0.1087080901705,1.805
17,0.0972651333104473,1.815
11,0.0629362627302895,1.825
17,0.0972651333104473,1.835
18,0.102986611740474,1.845
18,0.102986611740474,1.855
15,0.0858221764503947,1.865
14,0.0801006980203684,1.875
9,0.0514933058702368,1.885
20,0.114429568600526,1.895
14,0.0801006980203684,1.905
13,0.0743792195903421,1.915
24,0.137315482320632,1.925
15,0.0858221764503947,1.935
9,0.0514933058702368,1.945
11,0.0629362627302895,1.955
10,0.0572147843002631,1.965
25,0.143036960750658,1.975
8,0.0457718274402105,1.985
11,0.0629362627302908,1.995
