"counts","density","mids"
0,0,0.085
0,0,0.095
0,0,0.105
0,0,0.115
0,0,0.125
0,0,0.135
0,0,0.145
0,0,0.155
2,0.0150784077201448,0.165
9,0.0678528347406513,0.175
22,0.165862484921592,0.185
29,0.218636911942099,0.195
39,0.294028950542822,0.205
37,0.278950542822678,0.215
57,0.429734620024127,0.225
62,0.467430639324487,0.235
77,0.580518697225572,0.245
58,0.437273823884197,0.255
81,0.610675512665862,0.265
92,0.693606755126658,0.275
102,0.768998793727386,0.285
107,0.806694813027743,0.295
90,0.678528347406513,0.305
115,0.867008443908322,0.315
112,0.844390832328105,0.325
116,0.874547647768395,0.335
107,0.806694813027743,0.345
121,0.912243667068757,0.355
114,0.859469240048255,0.365
123,0.927322074788901,0.375
134,1.0102533172497,0.385
126,0.949939686369119,0.395
115,0.867008443908322,0.405
139,1.04794933655006,0.415
130,0.980096501809408,0.425
144,1.08564535585043,0.435
122,0.919782870928829,0.445
146,1.10072376357057,0.455
142,1.07056694813028,0.465
111,0.836851628468033,0.475
137,1.03287092882991,0.485
112,0.84439083232811,0.495
138,1.04041013268999,0.505
121,0.912243667068757,0.515
143,1.07810615199035,0.525
145,1.09318455971049,0.535
135,1.01779252110977,0.545
119,0.897165259348622,0.555
144,1.08564535585042,0.565
140,1.05548854041013,0.575
134,1.0102533172497,0.585
132,0.995174909529553,0.595
138,1.04041013268999,0.605
124,0.934861278648974,0.615
128,0.965018094089263,0.625
142,1.07056694813028,0.635
143,1.07810615199035,0.645
134,1.01025331724971,0.655
162,1.22135102533172,0.665
127,0.957478890229191,0.675
142,1.07056694813028,0.685
145,1.09318455971049,0.695
148,1.11580217129071,0.705
139,1.04794933655006,0.715
138,1.04041013268999,0.725
134,1.0102533172497,0.735
156,1.17611580217129,0.745
134,1.0102533172497,0.755
139,1.04794933655006,0.765
139,1.04794933655006,0.775
159,1.19873341375152,0.785
145,1.09318455971049,0.795
133,1.00271411338963,0.805
156,1.17611580217129,0.815
141,1.0630277442702,0.825
157,1.18365500603136,0.835
135,1.01779252110977,0.845
128,0.965018094089263,0.855
143,1.07810615199035,0.865
131,0.98763570566948,0.875
117,0.882086851628467,0.885
126,0.949939686369119,0.895
120,0.904704463208684,0.905
144,1.08564535585043,0.915
137,1.03287092882991,0.925
123,0.927322074788901,0.935
118,0.88962605548854,0.945
117,0.882086851628467,0.955
101,0.761459589867309,0.965
122,0.919782870928829,0.975
109,0.821773220747888,0.985
114,0.85946924004825,0.995
117,0.882086851628467,1.005
96,0.723763570566947,1.015
97,0.73130277442702,1.025
84,0.633293124246079,1.035
85,0.640832328106151,1.045
112,0.844390832328105,1.055
92,0.693606755126658,1.065
87,0.655910735826296,1.075
73,0.550361881785283,1.085
77,0.580518697225572,1.095
74,0.557901085645355,1.105
79,0.595597104945717,1.115
63,0.474969843184559,1.125
66,0.497587454764776,1.135
71,0.535283474065138,1.145
59,0.44481302774427,1.155
54,0.407117008443908,1.165
64,0.482509047044632,1.175
67,0.505126658624849,1.185
64,0.482509047044632,1.195
61,0.459891435464415,1.205
54,0.407117008443908,1.215
58,0.437273823884197,1.225
45,0.339264173703264,1.235
43,0.324185765983112,1.245
52,0.392038600723763,1.255
44,0.331724969843184,1.265
43,0.324185765983112,1.275
37,0.278950542822678,1.285
34,0.256332931242461,1.295
30,0.226176115802171,1.305
35,0.263872135102533,1.315
32,0.241254523522316,1.325
39,0.294028950542822,1.335
33,0.248793727382388,1.345
44,0.331724969843184,1.355
33,0.248793727382388,1.365
35,0.263872135102533,1.375
32,0.241254523522316,1.385
26,0.196019300361882,1.395
24,0.180940892641737,1.405
27,0.203558504221954,1.415
29,0.218636911942099,1.425
28,0.211097708082026,1.435
26,0.196019300361882,1.445
22,0.165862484921592,1.455
27,0.203558504221954,1.465
23,0.173401688781664,1.475
29,0.218636911942104,1.485
25,0.188480096501809,1.495
25,0.188480096501809,1.505
16,0.120627261761158,1.515
26,0.196019300361882,1.525
26,0.196019300361882,1.535
16,0.120627261761158,1.545
26,0.196019300361882,1.555
16,0.120627261761158,1.565
23,0.173401688781664,1.575
22,0.165862484921592,1.585
12,0.0904704463208684,1.595
12,0.0904704463208684,1.605
19,0.143244873341375,1.615
14,0.105548854041013,1.625
14,0.105548854041013,1.635
17,0.12816646562123,1.645
11,0.0829312424607961,1.655
10,0.0753920386007237,1.665
10,0.0753920386007237,1.675
13,0.0980096501809408,1.685
9,0.0678528347406513,1.695
12,0.0904704463208684,1.705
9,0.0678528347406513,1.715
6,0.0452352231604342,1.725
13,0.0980096501809408,1.735
11,0.0829312424607979,1.745
9,0.0678528347406513,1.755
12,0.0904704463208684,1.765
9,0.0678528347406513,1.775
10,0.0753920386007237,1.785
7,0.0527744270205066,1.795
4,0.0301568154402895,1.805
10,0.0753920386007237,1.815
6,0.0452352231604342,1.825
3,0.0226176115802171,1.835
7,0.0527744270205066,1.845
11,0.0829312424607961,1.855
7,0.0527744270205066,1.865
8,0.060313630880579,1.875
8,0.060313630880579,1.885
7,0.0527744270205066,1.895
6,0.0452352231604342,1.905
3,0.0226176115802171,1.915
2,0.0150784077201447,1.925
8,0.060313630880579,1.935
1,0.00753920386007237,1.945
3,0.0226176115802171,1.955
4,0.0301568154402895,1.965
4,0.0301568154402895,1.975
6,0.0452352231604342,1.985
9,0.0678528347406528,1.995
3,0.0226176115802176,2.005
3,0.0226176115802166,2.015
7,0.0527744270205078,2.025
4,0.0301568154402888,2.035
2,0.0150784077201451,2.045
4,0.0301568154402888,2.055
6,0.0452352231604352,2.065
1,0.0075392038600722,2.075
4,0.0301568154402888,2.085
3,0.0226176115802176,2.095
5,0.037696019300361,2.105
3,0.0226176115802176,2.115
6,0.0452352231604352,2.125
5,0.037696019300361,2.135
0,0,2.145
3,0.0226176115802166,2.155
2,0.0150784077201451,2.165
4,0.0301568154402888,2.175
6,0.0452352231604352,2.185
3,0.0226176115802166,2.195
2,0.0150784077201451,2.205
1,0.0075392038600722,2.215
5,0.0376960193003627,2.225
1,0.0075392038600722,2.235
1,0.00753920386007254,2.245
1,0.0075392038600722,2.255
1,0.00753920386007254,2.265
1,0.0075392038600722,2.275
1,0.00753920386007254,2.285
1,0.0075392038600722,2.295
0,0,2.305
1,0.0075392038600722,2.315
0,0,2.325
0,0,2.335
1,0.00753920386007254,2.345
0,0,2.355
1,0.00753920386007254,2.365
