"FITC-A","mCherry-A"
-2.07173,14986.4
0.415186,9334.07
1.48717,3838.49
-1.21371,22361.8
0.461317,16127
-0.0274947,5075.02
10.0801,1366.3
0.904561,20066.8
0.844042,7300.86
22.2106,38643.1
4.81798,2199.96
0.62946,3856.41
57.2784,42243.6
63.5417,26198.2
0.945931,27728.2
9.03123,3593.11
42.2576,11969.7
1.34181,1326.49
39.2041,13028.9
1.55235,44911.5
1.25708,11745.5
0.671598,4383.46
1.49444,1400.73
0.254416,10205.3
10.7723,25853.7
-0.123905,8663.37
-1.04209,45965.8
0.332292,3459.05
67.1994,28449.9
22.0405,41854.9
-3.14013,6647.35
1.46715,4383.49
1.11438,2575.69
0.975423,8961
-5.52055,38671.5
0.491782,33515.8
-1.24018,8818.66
-1.62301,16866
-3.41068,12222.2
1.13384,14292.8
-0.908043,13992.6
44.3132,6691.76
10.5208,45600.3
53.1446,29082
197.758,3985.15
-4.66018,3626.8
-0.134043,39711.1
24.878,4430.46
-2.91905,11468.1
0.336644,2462.75
-0.0879114,4360.37
1.22794,33863.2
33.8892,25237.9
41.7184,13059
0.868311,7694.95
1.38452,1493.68
32.9014,46374.8
0.855511,3352.27
0.617275,2011.93
0.661205,22299.8
1.16405,2029.31
-3.13711,36305.3
1.57355,14732.8
0.778557,9426.33
-0.359223,22010.2
-1.1343,49777.7
1.76217,11148.7
1.33214,13823.3
0.850391,36533
-0.237878,13292.9
0.70022,49766.6
1.24453,6958.36
27.635,4490.96
5.38185,10136.9
1.26752,1104.56
80.4329,8080.92
1.05755,3185.1
58.0613,6854.3
0.38677,13330.1
-0.732476,33406.4
1.6994,2095.46
1.13594,14258.8
1.29988,3675.32
0.818186,1136.74
-1.05125,31175.1
16.2921,2027.55
-5.21632,23445.1
2.52276,1225.91
1.0449,7348.56
1.11029,5091.87
0.574778,16372.2
-3.93451,22477.8
0.217705,12104.9
0.569965,12809
-0.195484,47749.1
0.911678,14083.6
-2.45062,49728.6
0.60473,2447.95
115.714,6651.62
0.284419,13233.7
-0.415288,21442.2
0.784803,5174.89
-0.879678,11754.7
52.9121,4190.62
0.817264,4535.12
0.883211,7499.6
-5.49198,7324.21
1.10015,1652.74
37.5828,1473.31
1.34806,2698.62
1.16655,34602.8
0.496083,14886.7
291.951,9430.2
23.0087,3347.46
1.4733,2460.85
0.848957,7243.85
1.20193,23278.2
1.13911,6214.43
23.5657,48770
-0.828579,33491.6
1.18611,8974.87
-1.41242,10032.8
0.0940044,10510.9
0.213608,1838.87
2.7549,16037.3
-0.565255,1218.33
0.210025,18443.3
0.966565,33420.7
0.241462,9368.06
-0.973682,33691.8
0.930315,6621.67
1.40617,1631.54
0.459116,21950.4
13.8415,5307.19
1.60985,1404.57
26.9758,7511.14
0.907889,6568.14
-0.865137,12137.3
68.3543,22891.8
1.71548,2683.62
0.520147,19695.8
0.718754,3097.06
-1.25119,3008.77
0.821053,8417.84
1.60381,2769.95
24.0788,1486.26
36.8547,24547.7
41.925,5770.62
54.2438,3616.67
0.63156,4718.36
1.81373,1948.16
1.3091,24512.6
1.1385,4629.63
-0.836465,40696
0.427884,16011.9
-1.20506,8011.03
-3.33541,8709.76
19.1155,15323.6
-2.77041,2475.72
22.7124,4242.28
1.39332,29158.2
13.3495,15220.5
124.304,44178.4
1.29077,2735.46
1.79898,2792.83
0.570528,2211.61
0.966975,1192.12
1.17306,11034.6
3.68419,7449.42
30.549,39629
-0.20726,21998.2
-0.604423,9169.69
1.243,23043.3
-1.08868,17779.7
40.469,25446.5
-9.896,2708.86
-0.208591,1467.01
19.6453,6442.73
1.15324,2770.61
61.4035,2890.06
1.82663,2355.1
0.868106,1991.78
42.8838,7254.17
-4.48251,27252.3
2.33434,6085.17
-4.92596,2871.73
32.0278,7222.09
30.9722,27648.1
0.102401,7729.56
0.204598,7263.41
-0.104347,1696.79
0.0807945,3363.48
107.559,12583.8
-1.55783,1302.94
1.38247,8652.75
54.666,2849.41
0.920997,17848.4
-3.42404,49866.8
52.9659,8113.66
0.625723,16594.8
0.126619,12174.7
