"FITC-A","mCherry-A"
48.9144,2130.64
85.8286,1757.29
11473.5,7502.75
262.727,23582
78.6817,18754.2
1380.72,21559.2
152.73,6838.53
1.39614,2127.21
84.5744,32883.7
1.25595,1188.22
9823.3,37814.2
0.299831,2192.61
7204.51,36246.2
9.31196,1063.96
21422.1,11199.1
1.55937,1294.98
-0.0134144,1594.85
0.383134,9597.44
40.0611,5892.71
30.4321,16278.2
52.3545,1903.16
914.948,3207.01
157.529,28639.7
53.0379,33091.8
223.369,1820.42
30.7624,42981.7
540.451,38304.1
14.1508,3772.9
122.115,36707.2
453.294,6928.18
39.2055,29882.7
2.35436,1042.07
312.008,15345.1
122.765,1095.88
287.747,46879.6
81.4625,7219.17
1.19354,10204.7
101.225,3741.7
334.657,19512.5
8.64456,12661.6
-0.0462853,2299.88
91.3135,16828.5
2.15442,1182.44
616.812,8961.46
16.4756,27633.3
7.44493,6986.52
197.909,43183.7
14.6339,22266.7
114.223,36768.6
46.6683,35533.9
24.6335,9159.96
21.3231,6337.38
121.458,19869.8
158.224,8793.42
394.468,30226.2
52.1461,22892.1
133.494,4408.73
4895.54,37927.8
22739.8,24576.1
34.0893,49215
209.362,5730.25
73.7963,4595.92
51.3623,1560.91
53.0665,3397.25
3.62075,5744.95
40292,9069.39
296.515,12647.9
4529.3,1982
39.991,31358.8
5.59566,5469.06
0.801187,9654.73
-0.28191,3435.11
6.1663,1859.35
616.424,22588.5
344.051,11582.6
92.0282,4553.83
56.9984,8604.7
1.61523,22238.2
53.5287,37957.7
0.164405,2006.68
1.21484,6139.67
104.212,33695.4
2256.7,4382.46
67.4353,47116.7
14.8438,41899.4
378.584,28942.2
110.749,4615.45
8077.82,28781.3
96.0579,2384.28
153.727,4615.99
109.325,34071
0.267933,5804.9
164.37,2177.61
2859.83,5766.09
1.38073,1490.71
122.221,49192.2
27.3936,32986
2.47401,6193.13
-0.487481,1522.41
58.16,3852.75
147.806,43156.5
1.10783,15441.4
116.324,3322.65
31.2127,1405.52
19.2815,19631.8
21.6364,4355.97
1.17316,1936.79
124.878,36368.3
994.096,25678.6
179.957,1392.79
125.19,1249.56
-3.87435,1148.67
2.34663,1787.78
2673.12,22556.3
6.57682,2590.64
17.7087,22720.9
9.82545,7887.74
426.796,14021.4
7054.51,34960
0.531923,27691.9
1.72065,1207.81
292.641,14373.8
27.4097,2100.79
1.16318,2388.12
709.318,6403.28
65.9885,4356.17
40.4421,5016.32
2.17326,2489.27
65.0573,26842.6
296.012,43630.9
1.12539,12104.1
64.3699,2533.27
-0.802314,1343.87
43.3246,12324.4
0.973221,3089.66
115387,25384.1
1969.75,45639.4
20800,15178.1
335.888,32969.2
2156.91,6011.08
597.542,6153.78
93.3614,15709.3
31.3228,45040.6
0.148584,4181.96
237.161,30162.9
1622.04,26494.3
4065.45,26149.9
6.65931,20126.9
316.809,9797.04
18.473,1801.14
6.94127,13561.7
27.1251,11960
45.8789,33509
370.11,15126.3
3.33618,25294
542.275,10933.7
37.9929,6300.29
151.992,9631.08
17.0558,26112.3
33.8131,34767.9
119.915,20544.3
114.979,7152.84
17.562,19521.4
8.22661,2749.47
1346.69,45226.9
1792.57,1829.4
1555.34,2536.22
128.621,1339.7
7.6163,1153
0.558855,3201.23
1.06666,8173.08
153.654,1499.75
409.76,15330.8
157.934,35362.4
90.8044,43009.1
58.3175,43373.2
1445.39,7665.61
226.075,3450.5
230.398,17843
109.243,1441.18
3181.69,8204.49
225.408,11568.1
28.8982,18134.8
2988.95,34155.3
59.5714,8085.71
1.28063,4036.15
46.1917,11823
1.46168,1703.53
56.3303,1250.02
32.9175,35319.6
4.93118,1265.95
333.598,33884.7
1.22426,1472
82.4233,3790.05
9.04157,5989.12
0.49726,1280.54
1217.71,20683.7
30.8541,46255.5
8.41968,41130.3
1.37689,1172.74
677.23,16730.4
70.2701,1044.07
1.49746,9624.83
219.269,13832.1
2412.24,20603.4
36.0683,24497.1
392.694,2409.68
2.61712,26606.9
36.3826,3858.07
67.858,25074.5
1.83795,2026.98
67.1796,48396.1
50.822,7729.15
1.17219,6198.89
1.32722,4295.55
0.315498,3004.21
112.575,26580.1
126.777,4897.59
224.717,2698.34
762.833,18276.6
47.7038,15144.9
1512.75,24378.9
50.2036,34738.7
45.2146,19406.8
5.95443,12882.7
84226.7,20222.5
123.379,2569.06
1285.68,42431.7
7.74614,1086.82
-2.54119,1218.2
0.149455,1493.22
643.411,36348.7
24.3806,3172.3
628.082,30349.4
334.898,1520.67
1.17992,7368.32
-1.98899,5958.68
-1.47248,1843.51
48.4793,1640.29
7.91075,30359.8
65.3876,26489.5
293.636,30425.5
26.0022,19337.7
50.8711,11727.7
0.446162,1555.84
166.428,35904.4
513.711,3575.68
9.09948,16363.1
1423.17,17502.1
26.7764,3705.11
1939.85,15989.6
1.70713,1382.43
535.178,16906.1
-0.165481,30830.5
23.0912,48575.2
238.155,14333.6
1542.82,16837.9
0.718959,2341.91
47.3916,1056.69
429.07,43812.5
129.637,4285.93
1.3072,14706.7
37.6248,2478.23
40310.1,9969.02
-0.527571,4203.55
61.1968,38676.6
3807.06,23928.5
32226.5,18137
105.546,40169.4
9.77794,41539.9
319.933,1145.98
194.13,10401.9
59.9247,10668.2
10.7257,24208.6
5392.85,12634.1
0.220879,2088.7
5722.64,36309.5
94.4589,4614.48
2529.77,24367.2
0.207772,2855.22
1.75055,2637.88
53.9409,16448.3
2.90169,39993.3
67.835,25140.4
3.69863,13674.6
47.7618,1362.18
-1.77185,1393.66
47.6472,21537.7
190.571,36471.2
143.372,32865.4
49.1215,4584.55
1.02022,1326.05
251.435,24688.4
1005.38,4407.07
325.612,11189.4
22.0364,5278.28
8751.4,46756.3
150.241,4198.63
0.915774,7926.5
1.0086,16432.1
6.76969,7382.6
386.522,4992.41
4.93958,1067.19
295.325,3142.17
6.5354,3613.44
217.701,4352.08
-8.05764,3222.5
23.1867,2750.8
82.6065,5439.44
49.7233,43125.6
1.32308,14880.3
21.479,31173.7
0.232092,1436.44
2223.44,34148.3
0.639649,1170.48
802.702,25287.9
13.4269,3133.24
881.679,8156.95
21.6107,46593.5
140.327,4580.17
102.375,47078.7
36.2464,11176.3
290.327,17043.1
170.155,30593.8
245.285,14885.2
0.997388,11012.4
0.337617,1396.07
0.0565255,1641.88
-0.0961547,7201.79
20.5458,15449.9
333.882,2426.47
1.12114,3859.23
4506.75,1553.23
1.41549,15340.5
0.848138,1615.39
6.66166,2401.36
0.0187393,1620.3
5.57764,28859.1
63.1168,1332.81
187.057,3291.9
5.21335,32614.6
3.77512,9301.2
15.2858,3332.58
123.695,41336.4
6.71005,1807.44
35.6289,2903.09
113.116,1460.1
-0.0971788,1460.92
1.4692,7457.46
1.09943,1443.33
217.509,41978
34.6682,12853
90.1802,11394.6
0.186626,3253.66
