"FITC-A","mCherry-A"
1.09339,13677.5
0.592391,4060.47
0.84906,1662.26
-0.0369157,9187.2
1.70232,5724.11
1.42691,3223.42
0.110696,7447.07
0.941579,7303.68
0.653678,18782.4
0.928933,1708.16
1.15176,27446.7
0.648149,16214.8
0.88659,7206.17
1.2474,6891.26
33.675,6030.62
32.9026,1462.32
-1.06661,8564.94
-3.05806,3592.37
35.6854,1722.96
182.591,13656.8
1.12718,3912.01
-0.202396,1482.65
104.313,3029.73
12.482,31023.7
0.91004,9324.11
0.499513,1790.18
0.631816,2467.97
-0.710972,41390.1
-0.0651271,8487.01
68.2313,2981.3
1.05898,5727.64
-5.55081,2769.31
-1.05489,21325.4
0.752393,1931.7
-0.447442,4008.6
-0.665762,1080.12
1.81475,18146
51.0865,2775.42
0.0337925,22682.5
-2.49542,17342.9
2.0727,3968.61
0.671701,27166.3
2.45067,4049.1
1.01003,7252.15
1.3176,4004.68
0.57186,3830.81
1.24709,7580.85
114.792,1847.96
6.71081,1159.4
17.2145,2786.51
97.6739,1288.78
55.3965,22512.4
0.737033,6750.05
1.12288,7937.74
1.34366,4286.44
-0.509037,3552.05
-0.361729,5570.3
-4.88029,17891.1
1.39921,32636.7
0.154472,1125.35
-1.10235,1383.04
0.217756,1200.03
1.46628,7089.48
79.4514,1981.11
45.15,1331.07
32.4828,1487.54
1.63909,1379.61
1.24679,1879.19
0.459935,3681.66
8.44104,2018.3
22.128,1795.33
-0.408735,8351.13
1.42553,26982.5
-0.333879,46024.7
0.986329,5114.96
0.577748,13709
0.268137,42290.8
-0.150939,29954.3
2.76355,33793.2
0.485331,14971
1.81726,3240.09
103.454,48060.6
1.28805,31946
31.3929,40339.6
16.3883,8214.76
23.7084,10932
0.41836,14973.1
0.999436,10203.1
3.79796,41497
0.499359,2290.07
0.255901,8729.32
92.6772,24132.3
-4.01556,33698
1.32569,28270.6
10.2677,30152.1
1.2154,20815.5
6.99022,3113.7
1.1321,22630.9
-0.768982,47596.2
0.443653,7833.98
1.04772,24138.2
53.8883,7448.65
0.776713,18160.4
0.828631,23474.1
-4.75715,3252.89
1.33751,22736
-2.46572,17191.8
1.59751,7398.86
1.16758,3725.77
0.534586,21543.4
0.265322,6164.1
0.636577,17864.3
0.585889,18853.9
0.382213,23475.5
1.33285,3765.56
0.45333,15871.8
1.21079,7787.75
1.46976,40895.9
110.467,12648.1
0.726639,11238.9
1.1557,5012.58
-3.1428,36521.7
34.7682,7230.72
0.472582,4961.71
0.0462343,42467.9
165.181,21732
16.8487,35116.6
1.50576,10647.1
-1.45215,1158.71
4.22385,25287
-0.14669,14214
2.36977,35308.4
1.03005,16532
0.827863,21353.5
0.646869,13872.3
1.32364,12614.5
2.96738,3227.11
379.872,8080.87
-1.68491,5044.4
0.95868,38455.3
1.09851,24285.1
0.0789511,9784.27
-5.04393,11525.3
-0.91004,19357.6
0.895499,27342.2
-1.31263,41248.8
1.58947,21728.3
5.83088,28617.9
1.62076,49853.9
0.432543,47782.7
-0.945164,26757.1
-0.198454,16232.4
-0.143003,9191.19
1.51103,7474.35
1.46424,34773.7
0.986277,7048.81
17.2234,2428.39
0.607291,27034.3
0.767036,8822.04
1.01961,2446.82
0.850647,45217.9
2.84465,11728.6
-0.0552454,9431.24
88.2923,50646
0.626491,3097.65
-0.515436,41939.7
0.5608,5157.22
1.00507,30826.3
0.876554,14408
0.145871,21941.5
67.1407,5453
-0.155599,36146.8
-0.0526855,26170.8
1.11868,7008.2
4.24448,9566.82
1.42118,5358.26
-1.21376,5559.07
11.9868,9980.39
-1.36178,20916.5
0.513901,21945.4
1.1386,6547.25
1.50535,49281.8
0.170703,2559.41
1.30398,39668.9
1.05279,38674.6
1.58655,23788.7
-0.711484,22407.6
0.242691,13203.7
0.504633,9479.5
84.5221,24869.2
1.12836,11667.3
28.2534,5064.22
0.717628,6427.26
77.8554,3006.69
2.55686,21660
1.06994,2644.15
2.32712,5447.91
0.546413,45460.9
5.74584,36225.7
-0.888023,6520.45
71.3816,1707.37
