"FITC-A","mCherry-A"
14.1934,39731.4
3.29184,2163.99
1.45937,2058.29
1.67738,32692
-11.3661,14179.6
1.27776,10941.6
1.37638,16827.6
1.39819,35088
0.951,2118.37
1.19113,2134.32
1.41657,7536.31
1.13496,18105.7
0.803901,10981.8
2.75516,3336.63
0.912549,41716.1
39.1432,9961.06
15.4617,31041.7
1.13266,27371.1
1.41723,22450.6
1.03215,15620.7
1.95474,24712.6
1.20439,19106.8
1.147,21310.4
-2.2112,18278.3
5.97475,3833.01
1.59756,18866.9
0.879831,37742.3
110.131,5533.39
0.982028,4961.56
2.0426,6742.25
1.02591,4225
3.1961,9735.09
4.39998,17612.2
1.15181,9331.84
1.13461,5504.95
0.537658,23158.3
1.3817,40970.2
-0.134555,29192.3
1.27991,6899.17
1.36747,1858.74
69.6092,22418
0.439967,3457.87
3.10865,46499.7
1.6077,24689.3
1.89842,2597.96
-2.47017,3362.15
1.33193,2028.08
1.41892,17505.5
1.19768,33661.4
1.01684,6393.29
0.813271,31342
0.947775,4838.22
1.42281,28606.4
0.953048,36946.5
1.19297,31523
7.74046,4801.25
1.07142,8086.6
-5.64932,32372.7
1.71353,33782.6
-5.23828,38933.4
40.6591,19399.2
12.5814,39126.1
86.351,33044.3
1.12058,21269.7
49.1704,16963.4
1.71778,18550.8
0.937586,2116.2
0.868516,9816.14
14.7536,9997
1.90087,8225.92
0.0671241,22966.6
1.81481,3938.3
141.771,29125.5
1.47273,3595.26
1.05238,45779.8
1.31555,9625.98
1.17152,9034.93
6.28728,4213.09
1.6333,14564.8
0.781321,19074.7
1.20373,4379.98
1.12887,15062.5
-0.415084,11799.9
5.02483,3173.5
3.41083,3893.02
1.63304,4623.49
0.0325124,46284
4.51123,35608.2
0.974757,23443.9
0.994521,4358.2
0.984178,13458.2
7.65552,15386.2
0.597972,10737.6
-16.2002,36053.4
1.44012,28349.3
1.38493,26034.8
0.531514,4457.19
4.0258,14764.3
1.88782,45003.4
1.49624,21044
0.582561,27936.1
0.825764,7392.74
-15.5495,30313.2
99.6098,14571.6
2.25774,19196.9
1.2795,31928.7
0.952178,8032.2
0.626286,28820.4
1.56449,17454.7
0.654395,24298.2
-0.0742921,12466.1
1.61477,4925.49
1.42194,4632.86
1.24924,14434.5
0.640725,37131.8
1.40602,15732.8
1.87379,39833.2
1.52716,8178.61
1.15509,5573.45
22.9678,38444.7
1.7291,12405.2
0.492345,16589
1.3968,11212.9
0.845373,4267.06
14.7683,5038.39
2.88736,29468.1
1.43444,7895.42
1.40198,3735.14
2.93902,21657.4
16.9318,39239.1
69.4721,7482.09
-0.179304,9019.29
1.17336,2902.48
0.636117,37580
1.35077,9096.83
1.61635,32224.4
1.51651,25260.6
3.17321,16511.1
7.63437,41920.1
68.3049,26995.7
1.14423,2793.27
0.859454,16752.6
0.603143,2410.88
0.974604,30291.7
0.834416,5892.53
2.12723,2824.6
1.60755,17553.5
0.944344,14199.1
7.36858,2145.46
23.2766,9172.71
1.32359,3829.66
1.32348,4406.07
0.95653,11636.8
1.25237,49505.8
0.908299,11438.6
3.48384,3206.35
1.12027,26825.4
1.09375,21436.8
0.847575,17542.3
2.59986,1731.35
6.25579,11232.6
2.65547,10833.6
4.68378,11563
1.83836,5993.45
2.37811,4337
0.226153,21936.7
1.90994,23131.2
1.40535,23912.1
1.59674,28296.9
1.49895,26684
1.48559,3870.54
1.19487,18956.4
0.55097,35818.6
3.68593,25439.1
1.29927,3966.26
1.04946,7069.54
2.48599,14568.7
2.91997,15346.4
3.96231,15027
2.66888,26744
4.40049,34758.5
-30.2414,9356.36
2.52296,10131.9
0.992473,5043.48
1.16952,34849.8
-0.872202,26048.1
-0.124469,8880.61
0.795248,9471.26
1.12406,6086.68
2.31964,2240.38
1.23977,49623
1.5055,41504.2
2.06994,15666.1
-1.37238,19585.7
1.34228,7789.85
1.55343,4561.97
1.21258,1771.85
0.387742,18091.5
1.17459,29274.8
0.691464,10695.9
1.43382,36589.2
1.00573,11724.8
1.22682,16818.8
0.982284,4778.11
0.600583,44269.9
1.04521,4814
0.635707,32299.9
0.937893,9484.88
138.035,15154.5
-15.9106,35147.8
6.5608,48337.8
29.9612,43907.4
0.975832,35781.6
1.23711,13316.6
1.07695,17960.8
1.87399,6383.18
1.49562,4689.33
1.5631,29188.5
5.28503,20189.2
1.39952,2982.6
2.68798,19087.4
0.794275,50009.8
6.99513,8983.78
6.00491,18218.3
1.04065,1743.77
0.87594,4970.8
1.89125,30013.3
2.48845,24301.7
132.387,48341
1.17664,8007.88
0.0136194,46585.2
1.9402,6095.44
1.21238,25395.9
1.04096,10736.6
1.55225,4488.37
0.502841,35874.5
1.32251,5993.55
1.37018,1794.87
1.56182,28486.6
1.75229,4771.81
3.63965,33927.8
53.6174,18971.8
1.50417,5607.04
1.52552,5951.82
1.16691,19258.6
1.38964,6837.04
1.38667,6666.98
1.10486,13948
2.02601,9911.27
1.25564,16213.5
0.994623,7450.27
0.920536,5199.44
1.90052,33965.9
1.19272,7757.44
1.05504,9628.88
1.40254,4654.23
1.31043,17855.8
1.37914,5482.44
1.41641,50113.3
1.99401,8797.88
4.37258,13529.7
11.8648,4197.27
0.875275,6781.57
0.171676,11361.4
1.29154,19404.1
0.791357,10799.5
0.763094,6475.14
1.88802,3099.98
1.30357,37042.3
-2.2729,4431.67
203.329,41263.2
1.11945,20613.7
1.62516,12020.5
1.09052,9208.04
1.22369,6642.79
1.53725,34977.1
1.08878,14809.1
1.41114,16747.6
1.84414,8410.27
0.546055,27518
16.4108,3235.97
0.69469,8674.58
1.4818,14411
1.46941,8595.17
1.09288,1845.2
2.40059,47938.4
1.58968,49533
1.31611,6992.72
2.24699,7545.32
1.27853,2461.67
2.00066,11241.3
1.65946,18079.1
0.854743,37185.4
3.00937,14071.9
1.5651,29358.3
0.629153,8846.75
1.3049,7630.87
1.5993,23868.5
1.03666,6999.35
0.849418,4223.51
1.22303,18302.3
1.71558,32533.3
0.758435,31800.8
-5.9597,7592.04
7.96431,18773
3.41467,4846.23
2.29548,4582.86
1.68194,10374.8
0.981106,27190.2
0.360606,28010
0.597306,19637.3
0.601658,24080.3
0.798576,15214.7
20.2412,17268.7
2.63279,2685.88
1.55353,12317.2
1.26512,8742.4
0.231785,35931.7
1.1409,14386.9
0.120782,19736.4
3.14408,49894.7
1.53044,36732.6
1.56787,7629.75
0.921458,25421.9
2.25144,37861.2
1.03594,42325.9
-7.83037,13127.3
1.22953,10282.4
1.21929,3609.5
5.43745,47058.6
1.17464,47883
0.928216,11680.7
1.17761,8753.84
0.0882186,3614.49
5.77036,8379.83
1.1535,29567.2
1.37678,16364
0.92453,9580.24
2.43136,6927.44
2.35932,5607.48
1.80185,3126.86
2.45026,37947.1
1.15375,11887.8
0.846192,12861.1
137.931,38477.3
0.300189,42658.1
2.44268,18338.3
1.25754,32551.1
2.52255,44807.9
1.56049,12122.3
1.25365,23681.7
0.922123,14698.2
3.11156,9467.98
1.12631,11439.8
0.878091,10565.3
1.37294,2461.93
2.50765,24443.4
1.16968,4221.26
2.403,8629.66
1.39071,31860.1
0.889201,12105.3
20.8673,33990.9
0.176335,16827.6
1.4479,2256.13
1.6356,1478.48
1.39414,6389.99
1.36583,24266.6
1.77057,3915.88
0.720956,17377.6
1.12483,11072.7
1.26496,4894.03
1.12298,5869.59
1.94245,11147.8
1.26855,44015.2
1.13496,12281.1
1.26281,12219.9
1.23844,2931.17
1.06595,2805.04
0.93308,11226.7
1.49342,16745.2
1.28555,2226.97
1.37975,3135.64
0.979007,7532.72
2.21315,20367.3
46.6703,47374.9
1.09692,5591.32
1.75633,10429.7
3.61118,2637
0.723465,23896.1
5.0533,8017.74
77.1395,9175.47
1.29666,7979.88
0.554093,6172.06
1.37382,8895.72
1.81808,2887.78
0.998873,26805.3
2.02457,9404.39
2.32599,11173.4
1.63269,23565.8
3.24658,6238.82
-0.0630791,8936.4
1.05847,7567.59
1.35037,18142.4
1.28575,5702.53
2.45277,5007.16
54.3251,33016.9
1.727,24854.6
1.57969,13535.4
-18.2797,2205.62
0.0231938,11819.1
3.3092,35955
1.67559,23265
0.809226,16503.2
-0.0137728,6749.54
0.742051,12048.9
1.43797,6402.56
1.38882,21922.2
1.11228,2499.69
0.292048,39869.5
33.0637,15654.9
0.118017,23854.1
0.327069,2898.38
1.34658,7534.23
0.708617,50306.5
2.06763,1788.16
1.60647,2188.72
1.62685,6284.21
0.983461,26602.9
