"FITC-A","mCherry-A"
217.626,1590.89
1355.04,10052.7
2345.96,16090.4
325.641,2751.49
188.645,1239.3
162.097,1096.65
298.711,1838.39
3881.39,14354.2
248.835,2827.93
1012.58,6473.68
7493.7,42943.6
203.311,1603.81
8964.98,31663.1
418.321,3821.54
10306.2,36967.5
207.815,1375.23
113.671,4791.37
3779.5,14068.8
259.892,1486.77
220.271,1636.94
1004.67,3699.2
1017.87,5643.06
4443.45,17377.9
121.99,1154.07
84.6786,1096.65
142.595,1387.08
3974.02,34027.3
1805.06,10180.7
5842.95,25580.2
2359.65,11940.1
1307.24,6673.64
1574.92,3620.43
100.822,1268.45
277.466,1543.76
2707.96,2114.25
323.169,2038.12
82.8392,1076.43
771.823,2506.44
222.705,1608.91
9832.83,41794.8
176.391,1084.93
691.687,3620.99
5669.31,23508.8
145.024,1123.1
223.346,1674.98
344.554,2135.91
5244.7,29129.7
5443.38,38755.5
190.183,2091.11
152.268,1109.07
251.174,1884.54
812.087,5105.25
1998.86,10536.7
2728.14,10954.2
566.083,3755.83
991.158,4839.12
134.233,1181.75
13123.8,32020.6
252.826,1393.72
5840.97,22040.1
1050.72,5614.98
565.27,3353.7
156.269,1390.75
137.65,3479.35
101.396,1179.29
1169.77,5479.04
250.708,1860.04
155.515,1180.93
607.903,2171.37
5064.9,17276.9
492.816,1807.46
1484.96,6423.32
3946.8,17556.2
338.136,1971.56
359.122,2381.72
1832.17,7541.58
206.641,1411.17
332.47,2848.18
212.557,14353.3
5360.38,23826.2
156.104,1360.92
258.365,1278.34
242.074,1723.26
2774.69,11752.5
3213.81,15296
197.233,1712.36
223.182,2383.67
205.624,1423.13
219.338,1236.56
445.406,2658.53
187.213,1178.09
7055.7,28116.2
3602.5,27969.8
3723.47,29379
162.338,1128.55
892.757,5139.1
247.516,1556.15
1461.05,10203.6
216.706,1439.9
263.045,2196.97
2845.16,8475.01
116.287,1087.72
3907.64,34726.6
354.199,8923.29
6774.85,22659.5
1836.5,8672.72
5561.79,33941.2
3457.59,11396
877.947,4141.88
731.592,4160.61
7604.03,31998.2
5223.34,25490.6
184.668,1637.99
8500.87,36330.1
6686.78,27696.2
7393.15,29814.5
331.775,4503.22
1618.68,8101.61
196.101,1558.45
5732.9,26355.8
305.739,2701.44
110.365,1181.36
101.516,1561.63
184.262,1446.45
223.276,1712
2623.26,25241.3
1719.74,8312.06
1143.34,7597.64
448.915,2592.41
240.125,1550.03
203.767,1084.44
109.167,1568.13
150.283,1759.44
9159.37,41444.7
2308.07,11446
347.05,2186.85
5450.23,37440.1
185.64,1406.82
309.239,13801.2
294.841,2075.47
252.25,1553.48
435.838,1378.71
144.711,1355.83
266.325,1905.69
5550.05,19785.4
6901.6,40325.7
4678.2,49963
5536.06,22958
147.19,1370.04
155.396,1634.2
2919.21,13364
1462.92,8718.13
166.943,1298.87
415.621,2910.28
7669.6,30432.4
1747,8465.48
379.776,2691.53
160.716,1416.27
194.31,1418.44
12238.8,39417.9
366.534,2621.18
394.125,2724.81
1268.73,11371.1
187.845,1202.74
12438.5,50214.9
2245.63,9296.18
11588.5,48121.3
186.199,1225.16
1334.24,5643.24
411.695,2042.47
13610,42871.6
151.3,1286.73
92.1253,1332.84
1428.53,7892.2
1084.7,5035.93
191.114,1803.24
107.193,8505.39
1193,3905.13
173.161,1400.06
460.108,2330.47
793.799,5107.15
5851.58,41118.8
112.801,1216.51
3577.77,22765
828.795,3944.4
217.348,1559.5
515.988,2501.5
159.072,1148.39
255.107,1722.09
3994.51,16690
142.027,1181.93
223.859,1769.73
9128.02,32957.9
3922.37,11229.2
7156.18,28310.1
894.411,1892.25
254.647,1616.49
804.202,5042.48
2393.08,7936.9
749.726,4123.7
446.921,2280.58
145.227,1224.35
6832.68,24779.7
1764.63,17739.9
557.831,2627.76
164.122,1108.99
958.921,9053.8
7709.86,24067.8
956.1,3474.07
3895.24,35082.5
480.793,2264.5
2640.88,19755.7
2492.42,11308.1
13311.9,49720.9
279.336,1790.87
109.624,1149.8
4102.83,14394.9
1403.92,13619.1
212.582,1313.69
157.586,1583
2273.75,9757.67
334.143,1973.22
2692.52,5896.42
176.975,1220.12
273.455,2305.28
194.066,1498.65
170.234,1079.45
401.956,2531.79
424.939,2017.89
9690.4,33329.7
216.252,1446.66
310.155,1327.44
1432.7,5654.4
7762.53,46800.9
224.097,2994.64
2860.73,18151.9
827.203,4159.13
754.919,4022.58
896.066,2936.88
1652.07,5195.26
176.194,1403.96
1196.15,4924.95
1988.64,7633.13
2504.84,8011.93
287.062,1663.87
218.407,1612.6
767.171,4610.97
185.944,1301.81
8698.1,37587.3
2148.47,8248.83
283.209,1689.86
2311.28,14771.3
150.359,1345.79
2096.72,10483.8
212.448,1678.52
497.31,2655.03
1873.77,7439.26
292.604,2436.81
834.132,5544.7
