"counts","density","mids"
2764,0.288538828515653,-0.05
74200,7.74586869604251,0.05
8866,0.925537356591817,0.15
3320,0.346580647855271,0.25
1520,0.158675477331329,0.35
820,0.0856012443497958,0.45
440,0.0459323750169637,0.55
309,0.0322570542732768,0.65
205,0.021400311087449,0.75
183,0.0191036923366008,0.85
162,0.0169114653471548,0.95
151,0.0157631559717307,1.05
128,0.0133621454594804,1.15
124,0.0129445784138716,1.25
123,0.0128401866524694,1.35
100,0.010439176140219,1.45
101,0.0105435679016212,1.55
89,0.00929086676479494,1.65
75,0.00782938210516425,1.75
88,0.00918647500339275,1.85
96,0.0100216090946102,1.95
70,0.0073074232981533,2.05
60,0.0062635056841314,2.15
73,0.00762059858235987,2.25
64,0.00668107272974019,2.35
61,0.00636789744553359,2.45
71,0.00741181505955549,2.55
68,0.00709863977534892,2.65
45,0.00469762926309855,2.75
63,0.006576680968338,2.85
59,0.00615911392272921,2.95
62,0.00647228920693578,3.05
49,0.00511519630870731,3.15
62,0.00647228920693578,3.25
70,0.00730742329815333,3.35
58,0.00605472216132702,3.45
70,0.0073074232981533,3.55
58,0.00605472216132702,3.65
42,0.00438445397889198,3.75
53,0.0055327633543161,3.85
61,0.00636789744553354,3.95
58,0.00605472216132705,4.05
59,0.00615911392272924,4.15
53,0.00553276335431605,4.25
57,0.00595033039992486,4.35
52,0.00542837159291386,4.45
37,0.00386249517188105,4.55
32,0.00334053636487007,4.65
36,0.00375810341047886,4.75
38,0.00396688693328324,4.85
25,0.00260979403505474,4.95
32,0.0033405363648701,5.05
20,0.00208783522804379,5.15
23,0.00240101051225038,5.25
20,0.00208783522804381,5.35
12,0.00125270113682628,5.45
13,0.00135709289822848,5.55
12,0.00125270113682628,5.65
9,0.000939525852619714,5.75
7,0.000730742329815334,5.85
6,0.000626350568413138,5.95
11,0.0011483093754241,6.05
10,0.0010439176140219,6.15
9,0.000939525852619714,6.25
4,0.000417567045608762,6.35
8,0.000835134091217517,6.45
1,0.00010439176140219,6.55
7,0.000730742329815327,6.65
3,0.000313175284206572,6.75
2,0.000208783522804381,6.85
6,0.000626350568413138,6.95
1,0.00010439176140219,7.05
3,0.000313175284206569,7.15
1,0.00010439176140219,7.25
5,0.000521958807010953,7.35
3,0.000313175284206569,7.45
5,0.000521958807010953,7.55
3,0.000313175284206569,7.65
1,0.00010439176140219,7.75
1,0.00010439176140219,7.85
2,0.000208783522804381,7.95
0,0,8.05
3,0.000313175284206572,8.15
1,0.00010439176140219,8.25
3,0.000313175284206572,8.35
0,0,8.45
2,0.000208783522804377,8.55
2,0.000208783522804381,8.65
1,0.00010439176140219,8.75
0,0,8.85
0,0,8.95
4,0.000417567045608755,9.05
1,0.00010439176140219,9.15
0,0,9.25
0,0,9.35
1,0.000104391761402189,9.45
0,0,9.55
0,0,9.65
1,0.00010439176140219,9.75
0,0,9.85
0,0,9.95
0,0,10.05
1,0.00010439176140219,10.15
1,0.00010439176140219,10.25
0,0,10.35
0,0,10.45
0,0,10.55
1,0.00010439176140219,10.65
0,0,10.75
0,0,10.85
0,0,10.95
0,0,11.05
0,0,11.15
0,0,11.25
0,0,11.35
0,0,11.45
0,0,11.55
0,0,11.65
0,0,11.75
0,0,11.85
0,0,11.95
0,0,12.05
0,0,12.15
0,0,12.25
0,0,12.35
0,0,12.45
0,0,12.55
0,0,12.65
0,0,12.75
0,0,12.85
0,0,12.95
0,0,13.05
0,0,13.15
0,0,13.25
0,0,13.35
0,0,13.45
0,0,13.55
0,0,13.65
0,0,13.75
0,0,13.85
0,0,13.95
0,0,14.05
0,0,14.15
0,0,14.25
0,0,14.35
0,0,14.45
0,0,14.55
0,0,14.65
0,0,14.75
0,0,14.85
0,0,14.95
0,0,15.05
0,0,15.15
0,0,15.25
0,0,15.35
0,0,15.45
0,0,15.55
0,0,15.65
0,0,15.75
0,0,15.85
0,0,15.95
0,0,16.05
0,0,16.15
0,0,16.25
0,0,16.35
0,0,16.45
0,0,16.55
0,0,16.65
0,0,16.75
0,0,16.85
0,0,16.95
0,0,17.05
0,0,17.15
0,0,17.25
0,0,17.35
0,0,17.45
0,0,17.55
0,0,17.65
0,0,17.75
0,0,17.85
0,0,17.95
0,0,18.05
0,0,18.15
0,0,18.25
0,0,18.35
0,0,18.45
1,0.000104391761402192,18.55
0,0,18.65
0,0,18.75
0,0,18.85
0,0,18.95
0,0,19.05
0,0,19.15
0,0,19.25
0,0,19.35
0,0,19.45
0,0,19.55
0,0,19.65
0,0,19.75
0,0,19.85
0,0,19.95
0,0,20.05
0,0,20.15
0,0,20.25
0,0,20.35
0,0,20.45
0,0,20.55
0,0,20.65
0,0,20.75
0,0,20.85
0,0,20.95
0,0,21.05
0,0,21.15
0,0,21.25
0,0,21.35
0,0,21.45
0,0,21.55
0,0,21.65
0,0,21.75
0,0,21.85
0,0,21.95
0,0,22.05
0,0,22.15
0,0,22.25
0,0,22.35
0,0,22.45
