"FITC-A","mCherry-A"
364.686,5140.35
5564.69,25619
200.71,6343.65
181.878,15185.2
384.971,25870.3
219.63,23880.2
411.045,9641.45
356.789,6555.42
327.478,9557.04
606.04,39639.4
235.327,17786.5
29994.4,17123.2
741.557,8251.32
292.769,14595.7
384.337,23646.5
2651.04,37334.7
370.054,23908.7
18590.8,44419.4
11908.9,10326.3
1321.38,30617.5
321.505,3223.53
925.781,1712.49
4281.41,7344.44
1730.61,41121.8
359.852,24385
2340.79,685.491
222.274,3385.09
179.928,2619.49
178.924,14835
630.139,39181.9
438.227,591.13
633.136,2867.2
256.933,19892.2
69200.4,45123.6
270.92,6584.55
172.851,18812
527.87,28140.4
303.839,10682.1
985.718,31471.5
1530.08,30781.1
1343.45,651.648
258.379,8730.19
58331.6,19319.9
53082.9,23883.1
155.529,43818.7
389.357,25995.6
2454.64,24048.7
192.221,1165.85
149.997,1479.71
89558.8,24891.6
238.58,32881.3
375.062,37422.1
544.567,3981.16
154.54,18756.3
762.312,35067.5
169.005,41814.1
632.231,41406.1
192.363,10656
188.814,2383.95
652.993,5361.92
331.747,4515.81
850.014,17451.7
424.245,42117.7
177.666,3308.57
167.09,2416.38
29873.4,17205.1
571.387,19368.4
88852.9,46672.8
317.027,14234.8
20428.3,23002.1
242.175,33505.8
264.052,4966.83
16987,10984.8
2127.07,2442.16
3768.89,13474.5
186.896,33429.8
10444.1,1582.05
3147.86,1419.14
5397.05,2053.02
155.792,3426.28
7941.35,4141.88
181.187,42680.9
2211.03,38603.4
196.972,31402.5
164.865,2618.42
199.362,16813.8
168.295,32972.9
5154.61,1579.29
227.75,16861.3
357.995,10812
212.231,2566.37
446.667,29038.5
4260.37,20307.7
445.099,6097.08
3049.93,46307.8
134375,44162.6
1313.25,33683.3
1448.11,31812.2
35996.1,13060.8
3687.85,36737.3
590.789,4224.36
727.34,849.869
858.364,8472.45
134589,30804.8
449.557,35821.7
327.647,847.923
20422,3478.12
6886.62,3972.63
156.013,23093.5
16341.8,21759.1
143.196,2073.27
157.012,37120.7
783.042,21727.9
2131.22,25215
8444.27,1058.56
382.156,43403.9
243.247,4147.64
3699.04,45256.3
63515.7,36380.4
1899.24,528.051
737.238,14911.3
376.882,25153.1
745.658,4192.84
1524.5,624.23
982.177,18730.1
252.156,1161.45
41227.1,15797.8
1002.87,11276.6
917.07,4525.9
1130.88,7630.21
280.526,4127.77
670.63,30284.2
4014.89,28340.4
2236.74,3787.52
368.458,35259.2
282.369,14445
578.924,12105
454.482,3537.05
196.424,3635.4
1123.01,20691.7
156.008,846.208
339.725,18216.4
792.411,38474.6
358.109,661.888
337.299,7035.93
2003.65,2830.67
84591.4,26184.2
332.075,1391.49
261.084,9483.34
290.611,18810.2
1011.39,2099.4
575.595,40773.4
247.73,33263.6
178.581,8614.35
30997.3,26492.2
176.007,883.507
171.436,19213.8
232.374,6894.69
5316.48,12023.3
148.63,870.451
183.455,11368.8
2262.66,18627
183.107,1051.19
3244.08,20077.1
466.445,42368.3
430.917,6211.71
224.599,14425.9
160.651,3690.68
27939.7,10337.4
889.977,1382.86
274.419,13599.8
8061.41,3700.51
5940.74,5593.73
8803.88,11627.9
270.686,31182.5
368.777,1643.96
11173,13506.8
1291.32,10387.2
176.198,4302.13
898.717,10407.1
767.302,38453.7
602.325,5435.49
1241.79,8715.65
3587.55,11113.3
6912.42,46610.3
261.723,25762.3
731.169,18409.3
6259.42,37194.2
75404.7,28406.2
3519.47,8129.95
420.732,39310.6
1832.56,2567.78
334.471,38655.8
237.08,3590.66
671.625,27307.1
17885.5,22513.6
1473.33,13910.2
4631.95,38966.9
359.38,19708.3
241.584,4012.03
577.713,4486.89
26253.2,28901.4
192.752,4222.28
4207.72,15885.4
253.944,4410.01
310.82,31606
194.522,2035.64
236.009,10460.6
151.903,2378.88
203.932,4698.93
3575.9,4524.83
22596,24594.1
1263.24,12430
160.28,756.173
166.29,6275.97
709.736,1268.02
1529.2,766.746
586.051,6215.71
215.733,36782.3
365.327,3867.01
1133.7,16983.6
185.617,1558.25
342.173,40013.7
314.688,31867.7
2548.96,14746.8
637.492,1778.97
309.138,35495.4
351.22,25560.8
1250.56,21549
674.119,8654.54
632.381,3465.4
234.718,35751.5
354.338,33221.5
953.605,43944.7
320.625,38756.1
319.041,7481.27
157.442,12038.1
442.423,838.656
3369.75,19077.7
686.855,20201.9
216.549,10845.1
607.035,3406.59
566.216,8561.82
189.14,6970.29
330.097,41541.5
11256.4,37056.4
11380.1,6233.14
221.975,720.154
1677.53,877.517
1170.32,35215.1
171.616,967.091
13655.1,7694.05
192.216,36490.3
30405.7,6640.79
261.264,13230.8
248.807,3184.84
2032.31,5314.61
212.094,3816.45
59155.7,18235.8
