"FITC-A","mCherry-A"
596.581,2759.91
385.951,2937.01
322.851,2006.86
1132.09,12732.5
3968.92,44359.4
7359.94,11083
2739.11,18213.2
152.683,1704.17
186.167,2132.15
3000.97,18291.4
6225.86,32836.7
1720.07,8644.35
2517.47,16128.1
9914.86,45965.9
133.596,1297.1
305.77,1961.24
5056.59,45860.4
1262.97,6089.11
172.507,1840.64
5416.24,24499.2
159.392,1343.64
147.278,1225.09
720.605,3398.3
3991.54,18835.4
7388.34,37683.6
1411.3,5264.59
5354.91,20395.8
1789.71,9034.55
612.773,4670.57
2588.21,12565.7
261.8,2096.87
8194.6,41375.2
8480.75,36380.1
2141.94,9964.11
2468.06,8454.35
4109.73,22699.6
1670.58,5689.73
356.425,2369.31
1527.04,4904.68
468.153,3329.77
266.313,2308.12
2085.62,12417.8
4070.61,14001.1
1017.93,3660.9
3083.01,14488
31341.8,45332.7
5193.43,32904.8
795.518,3816.01
6261.04,26520.9
889.602,22201.1
4734.32,18980.2
5145.3,23078.9
3132.82,14723.6
5695.55,9207.14
4859.41,43680.5
2789.82,11014.1
6333.25,22099.8
1255.55,10114.8
2937.28,15040.3
2797.24,18366.6
5437.1,21566.7
508.517,5502.26
7787.31,31037.4
5837.68,44040.4
4596.42,25285.7
572.454,2428.98
1273.42,4274.59
1034.61,11765
137.857,1248.92
424.063,1648.2
1429.18,7080.55
3487.66,16989.2
193.117,2227.79
4461.31,43818.3
3861.38,42745.6
280.453,1358.34
215.457,1715.56
2517.59,10901.5
455.161,2609.48
792.699,5183.56
682.169,5197.36
3535.64,30975.5
266.604,2411.29
180.657,3314.84
478.87,1624.27
4863.6,20207.5
390.033,2264.4
772.199,7587.3
176.743,1236.28
2347.67,18469.2
642.286,4357.66
3351.74,26055.1
415.852,4221.88
140.19,1095.48
1391.97,6830.77
3560.16,22735.5
5264.84,38581.7
151.949,1225.98
2854.27,29047.2
585.241,2913.25
1825.66,7837.23
1378.26,10650.4
142.971,1153.95
1517.06,9822.54
144.678,1289.73
149.021,1543.48
134.096,1174.43
3112.78,9144.01
272.224,5743.56
3974.66,18970.6
238.342,7246.59
260.314,2340.68
4361.29,13534.2
173.52,1810.12
3618.14,23549.7
5932.38,26568.8
272.362,2057.32
630.151,3003.42
194.442,1529.8
284.854,1702.78
4558.16,17648.3
203.98,1678.59
3033.74,13980.6
184.307,658.918
234.463,1965.85
1082.43,3750.45
2212.53,11364.6
747.382,7627.29
9611.19,43558.9
2197.08,10024.9
2348.21,20363.6
168.231,808.371
5206.8,14992.3
2176.91,3082.29
11628.3,43652.9
160.483,2446.85
193.836,1446.45
865.535,28742
839.171,5079.71
171.995,1111.01
4725.54,23780.2
4287.41,20447.1
4945.69,17582.4
159.907,1074.48
143.009,2772.71
327.837,2144.38
349.325,2257.38
4376.16,39748.9
4473.6,36008.1
817.425,4823.17
3801.93,10924.7
959.154,5123.97
894.947,5152.69
3024.76,9375
159.79,1100.42
3565.04,28005.2
473.671,1888.97
2332.83,24465.5
284.886,11709.4
191.003,2533.3
8072.8,34760.6
609.426,3316.81
5268.83,38753.9
822.922,5022.69
5211.52,18071.1
4698.13,21477.2
252.404,16693.5
152.39,4809.09
