"FITC-A","mCherry-A"
577.642,808.474
258.009,4950.37
4200.94,32991.1
202.95,1671.09
335.3,18503.2
628.471,40899.3
879.158,9738.01
167.014,21830
913.866,3132.49
230.243,20920.5
352.123,10155.7
159.066,43241.6
1151.53,6791.53
503.964,14756
3416.63,20086.6
2675.28,8410.78
227.732,1156.22
527.954,10423.4
712.134,37485.1
872.535,15618.8
309.305,13822.5
157.534,43613.2
1022.85,35815.3
273.638,11395.6
205.557,4049.97
167.685,12936.8
200.766,875.878
239.581,6279.19
1268.66,2637.98
476.203,43002.8
336.552,5594.96
193.18,43902.7
171.373,1926.48
183.15,43642.6
206.182,40394
426.937,42269.9
2985.44,39365
856.181,28130.3
1300.73,36765.2
501.984,34796.6
2969.64,25645.5
261.395,40819
285.476,16215.3
1607.66,33882.8
566.96,2165.04
4059.18,43028.8
714.553,10865.2
1815.86,20719.4
131700,39076.5
173.11,15553.7
2212.95,15248.3
3294.56,28071.5
181.018,28483.3
334.638,20951.6
3873.35,36582.2
277.614,43952.7
540.223,13842.8
206.237,8787.79
314.046,40114.6
290.993,1157.45
256.728,26880
482.615,25757.8
179.947,40385.7
286.147,5897.01
261.896,34198.5
199.003,42502.2
1962.25,20402.6
262.049,16959.4
3458.08,45167.4
198.09,20022.1
417.977,2499.92
325.545,16948.1
327.889,38545.2
209.745,3574.07
515.334,29037.2
3752.89,41133.6
2681.88,20332.9
1057.93,4976.72
310.407,24510.7
338.846,21522.7
366.118,38328.3
188.757,30441.5
4881.37,12560.5
239.67,9961.6
175.26,15210.9
645.554,29171.9
3985.68,42004.8
379.048,19427.8
170.339,10008.7
696.9,2927.28
241.544,41979.7
352.116,8212.61
7053.66,38862.4
400.11,4484.17
396.742,25297.5
380.148,3547.72
182.329,1338.78
4022.26,42866.4
818.833,15864.2
2384.98,9455.72
510.034,1818.52
361.703,43077.1
766.996,20232.7
729.329,26881.5
230.143,25962.1
3081.49,38975.6
743.052,24543.6
553.443,3512.5
247.165,15499.9
437.981,917.939
335.74,34015.1
598.602,20371.8
300.896,20158.8
172.343,16088.5
2514.16,43373
319.92,6974.21
217.775,3940.97
354.309,20915.1
813.722,4695.78
160.87,608.819
242.622,39572.3
3360.6,2798.03
343.617,3537.56
225.933,29751.2
151.42,1821.29
2365.57,17144.4
165.834,4362.57
418.1,1006.92
195.516,37009.9
3587.49,15451.9
991.429,29952.3
247.461,16927.1
858.761,5367.4
679.274,42532.2
165.297,16472.8
176.475,11805.4
155.422,1890.02
1114.88,19514.5
534.891,19971.6
260.214,21609.4
1704.41,14699.2
371.965,32211
154.611,8481.89
790.849,15991.1
381,639.462
383.008,33024.7
2088.71,15081
3479.14,9130.73
268.531,40929
1140.04,20803.1
214.057,35422.3
184.159,11088.6
214.824,14311.2
176.938,18521.2
1538.88,38319.7
233.536,43078.8
312.449,5436.11
1484.53,31940.2
1785.21,8111.92
278.5,15508.7
343.288,560.563
5299.77,28067.4
710.841,43499.4
333.123,15528.7
579.248,2070.17
56643.6,27041.8
726.326,7432.86
629.914,36455.4
126.388,818.637
471.094,5354.83
512.027,35074.8
310.459,10983.1
318.59,21745.3
1130.91,44331.4
212.06,6880.79
770.246,9178.24
2548.04,46241.4
228.419,35006.3
111432,35560.6
4298.19,32807.7
405.365,32089.9
1617.94,12566.2
48652.8,4492.7
3488.96,38262.7
158.303,11665.9
165.883,42701.9
308.554,34189.4
844.578,5825.87
905.102,30723.6
3321.44,22385.8
1477.36,4776.86
166.736,797.235
1327.78,38482
663.952,39198.5
2835.74,26650.7
2227.51,30569.7
3305.04,15665.1
6099.72,33904.2
247.353,29653.3
1547.01,45974.7
148.691,5123.33
264.483,3127.09
282.309,11081.8
142.999,2688.03
374.548,815.565
9914.74,18637.4
3343.34,30288.2
225.535,2400.51
203.477,7166.41
980.216,832.717
568.347,19112.6
176.944,43477.1
186.531,34433.8
1274.66,29195.7
1741.07,33011.6
212.754,7163.72
194.08,32959.1
732.079,21902.4
367.082,3528.55
3553.55,6632.14
234.687,2178.71
230.118,2543.92
28709.7,19651.3
183.648,9846.68
339.571,40105.8
290.441,44190
205.74,1863.68
2415.6,23135.8
913.423,8377.52
2522.6,30264.8
300.591,32545.1
181.762,8611.94
440.41,33298.5
678.007,16208.8
351.733,5503.54
556.155,41044.1
240.823,3675.47
465.16,22961.7
169.46,42023.5
1642.67,29581.2
1106.77,18710.4
2267.63,10186.1
302.752,21876.1
480.952,19574
264.944,15891.1
509.412,31509
630.912,1053.26
1220.41,29561.6
352.433,28712.8
151.876,20487.5
371.971,16598.1
197.392,21826.7
160.241,13052
330.99,25841.6
148.759,8138.91
609.465,44732.8
379.395,22943
474.995,41781.8
438.853,41795.7
470.149,7551.69
387.203,24000.8
199.815,16307
2792.56,38219.1
238.284,42237.9
325.52,38090.3
4869.73,45634.7
2893.52,19842.1
676.164,720.717
689.298,16998.2
3166.99,23108.1
247.267,4694.94
1714.66,9675.65
308.441,12937.3
1805.48,33138.2
2547.1,4752.2
2571.69,41811.5
234.677,2575.36
541.335,14741.8
2536.74,34415.2
477.711,41152.9
537.48,8465.18
6620.76,43631.7
162.313,12077.4
433.664,3421.08
233.225,5263.05
140.815,3869.24
180.322,14286.1
220.713,7742.46
207.763,10375.3
203.576,25141.1
381.354,18007.1
4134.45,16136.7
1560.71,13716
3582.86,36160.5
1003.43,35813.1
499.43,10301.9
598.865,33063.2
364.913,22573.6
749.595,43502.6
241.952,17646.7
1024.12,3266.53
292.139,14944.3
226.466,37737.1
389.119,39644
321.612,31723.9
209.491,591.821
822.872,43940.5
322.275,33792.9
310.528,33977.6
1048.16,29472.5
268.63,19067.9
7434.3,34075.3
1880.32,17339.2
1087.09,44407.7
187.789,10059.5
243.606,44020.3
817.733,2161.31
369.97,14732.1
163.163,37662.8
939.002,19235.2
263.761,2724.97
240.791,5919.13
158.539,36813.4
661.013,15279.2
181.102,21465.4
836.715,7095.73
526.291,6059.96
320.381,33368.6
201.194,1733.73
450.469,974.848
206.029,39948
267.514,28679.2
133.938,948.07
274.207,20032.4
1581.61,44714.1
229.007,42133.3
2170.68,6232.91
235.544,20558.5
1335.87,27985.2
645.297,9747.89
368.433,34111.3
1466.13,42381
344.862,42619.2
835.923,34800.8
267.967,19141.5
572.713,11272.6
1679.01,30230.8
1107.05,38015.3
621.149,10976.8
518.821,4666.34
235.145,8759.96
231.474,1085.26
2521.06,19200.7
296.6,14062.6
150.034,3974.68
196.115,25216.6
325.008,24812.6
295.184,5682.48
3546.52,16546.9
352.951,3158.71
274.651,10353.9
278.106,32964.2
138.013,3049.83
234.972,34802.4
692.695,29630
787.743,11623.4
209.748,6749.03
386.103,39205.6
347.827,12880.6
321.375,17301.2
366.741,20652.9
420.581,20043.6
151.872,8153.96
307.768,31174.5
3760.15,35417.5
419.265,8005.07
1303.93,10879.8
1109.16,36595.5
720.907,38220.7
457.744,41102.1
295.796,16022.9
245.888,42073.2
329.301,6205.9
741.849,11762.3
283.642,638.157
5120.77,38796.3
249.994,38912.3
256.012,1503.28
149.769,972.339
1120.98,18930
113225,34015.4
229.065,22426.6
470.877,13207.3
2015.88,33305.3
1156.23,30710.3
6345.6,3289.65
223.813,25852.2
842.249,16688.2
2345.05,22079.1
17650.9,3525.32
170.77,1788.06
762.569,14392.3
710.12,9987.71
256.232,949.35
3371.08,36821.2
1038.53,4160
448.975,12151.2
306.301,31704.6
308.351,18695
986.78,1300.3
210.903,38071.3
279.365,38716.1
194.767,43896.5
30679.8,3908.38
186.772,16286.3
1823.57,46763.2
856.396,36351.2
627.837,22077.5
987.194,27935.8
1992.09,27422.6
1453.7,1873.28
229.852,26413.9
331.483,30926.6
612.84,41688.7
324.65,30859.1
1780.26,6247.73
221.341,7260.19
169.387,2855.04
203.376,26402.3
1027.82,7812.07
442.45,21785.3
176.129,31149.1
567.108,17901.8
412.832,10347.8
487.373,9975.94
163.274,34370.9
1320.77,10072.3
135.618,962.56
858.308,40213
394.988,23629.5
591.561,2196.25
647.035,10183.3
892.084,38872.6
264.858,42570.3
1342.55,28989
164.803,1514.75
524.93,16033
2315.88,12850.8
1231.52,10954.2
201.641,16164.6
649.516,23468.9
1968.27,13446.3
570.512,31252.2
160.189,14471.1
1097.84,38588.3
256.825,22895
36886.9,29918.7
302.421,7364.38
777.086,3258.5
174.282,1233.82
211.867,7045.91
424.436,20267
783.637,44814.7
159.825,28644.2
567.464,2779.34
392.155,35163.9
324.866,25227.9
462.036,17878.9
2333.49,15235.1
131101,31643.2
188.971,19105.1
2430.68,9292.77
206.23,10487
1149.6,40582.8
959.56,6706.61
206.402,6449.05
171.06,39840.8
1480.1,16325.2
3351.91,1760.92
1577.47,9898.37
268.571,589.773
306.681,1617.18
229.427,8128.23
5874.23,31775.7
707.396,2386.76
1110.46,24403.7
204.012,30806.1
272.783,22299.1
416.373,6574.92
143.387,8838.45
436.76,28138.1
279.721,12013
385.803,32148.5
591.739,31769.8
162.005,41546.1
458.572,2940.72
5055.31,33769.5
569.91,19888.6
752.811,14780.1
190.993,37923.7
2477.02,19570.5
1865.69,1344.74
172.331,30936
466.044,1167.69
152.938,654.643
1106.8,4617.09
3051.4,33076.8
213.599,1461.07
164.569,31904.3
3301.93,43885.1
570.527,39982.5
1060.32,7351.5
200.264,5310.31
1009.33,9987.99
173.866,44818.3
222.496,30213.5
298.269,19327.4
2585.54,25270.9
9023.58,4516.1
402.314,24811.6
177.919,37245
2496.46,9158.25
277.963,4373.22
167.385,11742.5
258.523,3384.19
5716.31,8802.41
43088,6971.98
210.78,26132.4
6099.52,11623.1
243.909,16758.1
2539.19,1076.51
1478.43,9269.91
167.097,19532.9
2869.45,24377.8
4500.27,38070.8
3728.44,40427.8
139.105,3624.96
161.249,42578.1
181.193,36516.9
2637.43,28245.4
169.872,26777.4
271.213,5886.28
495.096,20171.1
1103.8,8580.33
403.362,4689.64
1123.48,3229.21
330.242,1218.07
151.85,8090.93
349.038,31556.2
983.509,10648.8
195.864,26664.4
398.213,30585.4
175.296,31438.9
149.171,11479.5
247.765,41421.7
279.232,43241.5
292.606,31243.3
1064.69,16045
3819.94,31676.2
181.305,16674.5
948.718,1725.8
229.116,31135.9
3075.4,32517.3
5076.07,17937.5
1536.49,32875
281.056,19456.8
469.448,43209.1
325.335,759.168
202.214,5621.04
1005.14,19997.4
451.563,28419
323.432,2624.23
561.543,9082.98
1281.22,23166.7
266.29,3990.09
516.015,6039.04
207.072,11303.8
1194.1,2380.67
384.018,1675.06
228.159,16961.1
3276.43,10151.9
186.794,20687.1
2632.98,8584.99
672.505,13626.4
301.081,32422.2
274.003,33560.9
3381.57,9490.12
292.434,43518.8
157.803,15978.8
190.458,44414.5
6385.35,943.155
548.611,16611.5
6066.73,24028.1
612.395,8696.24
4894.3,5644.24
461.548,15557.6
338.878,41213.2
2845.69,9914.04
137.502,3029.38
140.84,4508.8
268.552,16025.5
259.66,18326.1
261.439,18130.5
649.297,24627.8
401.37,14952.4
367.438,30306.7
2384.98,15730.9
2853.97,31711.8
162.847,33284.2
323.241,7193.37
