"counts","density","mids"
26701,5.4968605249614,0.05
9006,1.85404014410705,0.15
3929,0.808852290272774,0.25
1935,0.398353062274833,0.35
1087,0.223777663407102,0.45
610,0.125579001544004,0.55
420,0.0864642305712815,0.65
295,0.060730828615543,0.75
252,0.0518785383427689,0.85
223,0.0459083890890376,0.95
203,0.0417910447761194,1.05
164,0.0337622233659289,1.15
161,0.0331446217189913,1.25
155,0.0319094184251158,1.35
131,0.026968605249614,1.45
132,0.0271744724652599,1.55
120,0.024704065877509,1.65
103,0.0212043232115286,1.75
119,0.0244981986618631,1.85
125,0.0257334019557386,1.95
93,0.0191456510550695,2.05
79,0.0162635100360267,2.15
93,0.0191456510550695,2.25
80,0.0164693772516727,2.35
80,0.0164693772516727,2.45
93,0.0191456510550695,2.55
90,0.0185280494081317,2.65
63,0.0129696345856922,2.75
83,0.0170869788986104,2.85
78,0.0160576428203809,2.95
81,0.0166752444673186,3.05
71,0.0146165723108595,3.15
83,0.0170869788986104,3.25
95,0.0195573854863613,3.35
80,0.0164693772516727,3.45
102,0.0209984559958826,3.55
87,0.017910447761194,3.65
71,0.0146165723108595,3.75
85,0.0174987133299022,3.85
79,0.0162635100360268,3.95
90,0.0185280494081317,4.05
79,0.0162635100360268,4.15
78,0.0160576428203809,4.25
80,0.0164693772516726,4.35
70,0.0144107050952136,4.45
57,0.0117344312918167,4.55
53,0.0109109624292332,4.65
57,0.0117344312918167,4.75
51,0.0104992279979414,4.85
42,0.00864642305712818,4.95
41,0.0084405558414822,5.05
33,0.006793618116315,5.15
30,0.00617601646937722,5.25
28,0.00576428203808546,5.35
19,0.00391147709727227,5.45
21,0.00432321152856405,5.55
15,0.00308800823468864,5.65
14,0.0028821410190427,5.75
10,0.00205867215645909,5.85
12,0.00247040658775091,5.95
15,0.00308800823468861,6.05
17,0.00349974266598045,6.15
13,0.0026762738033968,6.25
5,0.00102933607822955,6.35
13,0.00267627380339682,6.45
2,0.000411734431291815,6.55
7,0.00144107050952136,6.65
5,0.00102933607822954,6.75
3,0.000617601646937727,6.85
8,0.00164693772516727,6.95
1,0.000205867215645907,7.05
4,0.000823468862583637,7.15
2,0.000411734431291815,7.25
5,0.00102933607822955,7.35
4,0.000823468862583637,7.45
7,0.00144107050952135,7.55
3,0.000617601646937727,7.65
3,0.000617601646937722,7.75
1,0.000205867215645909,7.85
5,0.00102933607822955,7.95
1,0.000205867215645909,8.05
3,0.000617601646937716,8.15
3,0.000617601646937727,8.25
3,0.000617601646937727,8.35
0,0,8.45
2,0.000411734431291818,8.55
3,0.000617601646937716,8.65
1,0.000205867215645909,8.75
0,0,8.85
2,0.000411734431291818,8.95
4,0.000823468862583637,9.05
1,0.000205867215645905,9.15
0,0,9.25
0,0,9.35
2,0.000411734431291818,9.45
0,0,9.55
0,0,9.65
1,0.000205867215645909,9.75
1,0.000205867215645909,9.85
0,0,9.95
1,0.000205867215645905,10.05
1,0.000205867215645909,10.15
1,0.000205867215645909,10.25
0,0,10.35
1,0.000205867215645909,10.45
0,0,10.55
2,0.000411734431291818,10.65
0,0,10.75
0,0,10.85
0,0,10.95
0,0,11.05
0,0,11.15
0,0,11.25
0,0,11.35
0,0,11.45
0,0,11.55
0,0,11.65
0,0,11.75
0,0,11.85
0,0,11.95
0,0,12.05
0,0,12.15
0,0,12.25
0,0,12.35
0,0,12.45
0,0,12.55
0,0,12.65
0,0,12.75
0,0,12.85
0,0,12.95
0,0,13.05
0,0,13.15
0,0,13.25
0,0,13.35
1,0.000205867215645909,13.45
0,0,13.55
0,0,13.65
0,0,13.75
0,0,13.85
0,0,13.95
0,0,14.05
0,0,14.15
0,0,14.25
0,0,14.35
0,0,14.45
0,0,14.55
0,0,14.65
0,0,14.75
0,0,14.85
0,0,14.95
0,0,15.05
0,0,15.15
0,0,15.25
0,0,15.35
0,0,15.45
0,0,15.55
0,0,15.65
0,0,15.75
0,0,15.85
0,0,15.95
0,0,16.05
0,0,16.15
0,0,16.25
0,0,16.35
0,0,16.45
0,0,16.55
0,0,16.65
0,0,16.75
0,0,16.85
0,0,16.95
0,0,17.05
0,0,17.15
0,0,17.25
0,0,17.35
0,0,17.45
0,0,17.55
0,0,17.65
0,0,17.75
0,0,17.85
0,0,17.95
0,0,18.05
0,0,18.15
0,0,18.25
0,0,18.35
0,0,18.45
1,0.000205867215645905,18.55
0,0,18.65
0,0,18.75
0,0,18.85
0,0,18.95
0,0,19.05
0,0,19.15
0,0,19.25
0,0,19.35
0,0,19.45
0,0,19.55
0,0,19.65
0,0,19.75
0,0,19.85
0,0,19.95
0,0,20.05
0,0,20.15
0,0,20.25
0,0,20.35
0,0,20.45
0,0,20.55
0,0,20.65
0,0,20.75
0,0,20.85
0,0,20.95
0,0,21.05
0,0,21.15
0,0,21.25
0,0,21.35
0,0,21.45
0,0,21.55
0,0,21.65
0,0,21.75
0,0,21.85
0,0,21.95
0,0,22.05
0,0,22.15
0,0,22.25
0,0,22.35
0,0,22.45
