"counts","density","mids"
41044,5.70507207094505,0.05
10000,1.38998929708241,0.15
4644,0.645511029565072,0.25
2208,0.306909636795797,0.35
1364,0.189594540122041,0.45
887,0.12329205065121,0.55
773,0.107446172664471,0.65
618,0.0859013385596931,0.75
516,0.0717234477294525,0.85
456,0.063383511946958,0.95
438,0.0608815312122096,1.05
363,0.0504566114840915,1.15
352,0.048927623257301,1.25
362,0.0503176125543833,1.35
350,0.0486496253978845,1.45
327,0.0454526500145948,1.55
300,0.0416996789124723,1.65
286,0.039753693896557,1.75
305,0.0423946735610135,1.85
270,0.0375297110212252,1.95
268,0.0372517131618086,2.05
258,0.0358617238647262,2.15
266,0.0369737153023921,2.25
249,0.034610733497352,2.35
274,0.0380857067400582,2.45
283,0.0393366971074322,2.55
277,0.0385027035291828,2.65
258,0.0358617238647262,2.75
254,0.0353057281458932,2.85
245,0.0340547377785192,2.95
248,0.0344717345676438,3.05
236,0.0328037474111449,3.15
230,0.0319697538328955,3.25
199,0.02766078701194,3.35
184,0.0255758030663165,3.45
161,0.0223788276830268,3.55
150,0.0208498394562362,3.65
152,0.0211278373156526,3.75
148,0.0205718415968197,3.85
120,0.016679871564989,3.95
105,0.0145948876193653,4.05
101,0.0140388919005324,4.15
95,0.013204898322283,4.25
94,0.0130658993925746,4.35
86,0.0119539079549088,4.45
69,0.0095909261498686,4.55
60,0.0083399357824945,4.65
56,0.00778394006366147,4.75
59,0.00820093685278626,4.85
63,0.00875693257161923,4.95
34,0.00472596361008018,5.05
44,0.00611595290716264,5.15
34,0.00472596361008018,5.25
43,0.0059769539774544,5.35
27,0.00375297110212253,5.45
35,0.00486496253978842,5.55
31,0.00430896682095549,5.65
32,0.0044479657506637,5.75
23,0.00319697538328956,5.85
34,0.00472596361008022,5.95
28,0.00389197003183073,6.05
22,0.00305797645358132,6.15
19,0.00264097966445657,6.25
25,0.00347497324270604,6.35
15,0.00208498394562363,6.45
15,0.00208498394562361,6.55
24,0.0033359743129978,6.65
18,0.00250198073474833,6.75
15,0.00208498394562363,6.85
22,0.00305797645358132,6.95
7,0.000972992507957684,7.05
21,0.00291897752387308,7.15
12,0.00166798715649889,7.25
20,0.00277997859416483,7.35
16,0.00222398287533187,7.45
9,0.00125099036737416,7.55
12,0.0016679871564989,7.65
12,0.00166798715649889,7.75
9,0.00125099036737418,7.85
14,0.00194598501591538,7.95
13,0.00180698608620714,8.05
5,0.000694994648541196,8.15
5,0.000694994648541209,8.25
8,0.00111199143766593,8.35
6,0.00083399357824945,8.45
10,0.00138998929708242,8.55
9,0.00125099036737415,8.65
7,0.000972992507957692,8.75
2,0.000277997859416483,8.85
5,0.000694994648541209,8.95
6,0.00083399357824945,9.05
5,0.000694994648541196,9.15
3,0.000416996789124725,9.25
3,0.000416996789124725,9.35
3,0.000416996789124725,9.45
5,0.000694994648541196,9.55
2,0.000277997859416483,9.65
2,0.000277997859416483,9.75
3,0.000416996789124725,9.85
0,0,9.95
2,0.000277997859416479,10.05
3,0.000416996789124725,10.15
3,0.000416996789124725,10.25
3,0.000416996789124725,10.35
2,0.000277997859416483,10.45
0,0,10.55
3,0.000416996789124725,10.65
0,0,10.75
1,0.000138998929708242,10.85
0,0,10.95
0,0,11.05
2,0.000277997859416483,11.15
0,0,11.25
1,0.000138998929708242,11.35
0,0,11.45
0,0,11.55
1,0.000138998929708242,11.65
2,0.000277997859416483,11.75
0,0,11.85
0,0,11.95
2,0.000277997859416479,12.05
1,0.000138998929708242,12.15
0,0,12.25
1,0.000138998929708242,12.35
2,0.000277997859416483,12.45
0,0,12.55
1,0.000138998929708242,12.65
1,0.000138998929708242,12.75
3,0.000416996789124725,12.85
1,0.000138998929708242,12.95
0,0,13.05
0,0,13.15
0,0,13.25
0,0,13.35
2,0.000277997859416483,13.45
2,0.000277997859416479,13.55
0,0,13.65
0,0,13.75
1,0.000138998929708242,13.85
1,0.000138998929708242,13.95
0,0,14.05
1,0.000138998929708242,14.15
1,0.000138998929708242,14.25
1,0.000138998929708242,14.35
1,0.000138998929708242,14.45
0,0,14.55
0,0,14.65
0,0,14.75
0,0,14.85
0,0,14.95
0,0,15.05
1,0.000138998929708242,15.15
0,0,15.25
0,0,15.35
1,0.000138998929708242,15.45
0,0,15.55
0,0,15.65
0,0,15.75
1,0.000138998929708242,15.85
0,0,15.95
1,0.000138998929708239,16.05
0,0,16.15
0,0,16.25
0,0,16.35
0,0,16.45
0,0,16.55
1,0.000138998929708244,16.65
0,0,16.75
1,0.000138998929708239,16.85
0,0,16.95
0,0,17.05
0,0,17.15
0,0,17.25
0,0,17.35
0,0,17.45
0,0,17.55
1,0.000138998929708244,17.65
0,0,17.75
0,0,17.85
0,0,17.95
0,0,18.05
0,0,18.15
0,0,18.25
0,0,18.35
0,0,18.45
0,0,18.55
0,0,18.65
1,0.000138998929708239,18.75
0,0,18.85
0,0,18.95
0,0,19.05
0,0,19.15
0,0,19.25
0,0,19.35
0,0,19.45
0,0,19.55
0,0,19.65
0,0,19.75
0,0,19.85
1,0.000138998929708244,19.95
1,0.000138998929708239,20.05
0,0,20.15
0,0,20.25
0,0,20.35
0,0,20.45
0,0,20.55
0,0,20.65
0,0,20.75
0,0,20.85
0,0,20.95
1,0.000138998929708239,21.05
1,0.000138998929708239,21.15
0,0,21.25
0,0,21.35
0,0,21.45
0,0,21.55
0,0,21.65
0,0,21.75
0,0,21.85
0,0,21.95
0,0,22.05
0,0,22.15
0,0,22.25
0,0,22.35
1,0.000138998929708244,22.45
