"counts","density","mids"
40154,1.97523698022992,0.05
118221,5.81547270607565,0.15
35533,1.74792288734646,0.25
6117,0.300904632367048,0.35
1611,0.0792475662487026,0.45
644,0.0316793498846458,0.55
295,0.014511503440948,0.65
183,0.00900205128709657,0.75
116,0.00570621830220329,0.85
88,0.00432885526374043,0.95
84,0.00413208911538858,1.05
42,0.00206604455769429,1.15
46,0.00226281070604613,1.25
19,0.000934639204671227,1.35
21,0.00103302227884715,1.45
18,0.000885447667583268,1.55
16,0.00078706459340735,1.65
11,0.000541106907967554,1.75
8,0.000393532296703675,1.85
7,0.000344340759615716,1.95
7,0.000344340759615715,2.05
5,0.000245957685439797,2.15
6,0.000295149222527756,2.25
1,4.91915370879593e-05,2.35
2,9.83830741759191e-05,2.45
1,4.91915370879593e-05,2.55
3,0.000147574611263878,2.65
5,0.000245957685439797,2.75
3,0.000147574611263878,2.85
2,9.83830741759191e-05,2.95
1,4.91915370879593e-05,3.05
2,9.83830741759187e-05,3.15
3,0.000147574611263878,3.25
2,9.83830741759187e-05,3.35
2,9.83830741759191e-05,3.45
1,4.91915370879593e-05,3.55
0,0,3.65
0,0,3.75
0,0,3.85
0,0,3.95
0,0,4.05
0,0,4.15
1,4.91915370879596e-05,4.25
0,0,4.35
1,4.91915370879596e-05,4.45
0,0,4.55
0,0,4.65
0,0,4.75
0,0,4.85
1,4.91915370879596e-05,4.95
0,0,5.05
0,0,5.15
0,0,5.25
0,0,5.35
1,4.91915370879596e-05,5.45
1,4.91915370879591e-05,5.55
0,0,5.65
0,0,5.75
0,0,5.85
0,0,5.95
0,0,6.05
1,4.91915370879596e-05,6.15
0,0,6.25
0,0,6.35
0,0,6.45
0,0,6.55
0,0,6.65
0,0,6.75
0,0,6.85
0,0,6.95
0,0,7.05
0,0,7.15
0,0,7.25
0,0,7.35
0,0,7.45
0,0,7.55
0,0,7.65
0,0,7.75
0,0,7.85
0,0,7.95
0,0,8.05
0,0,8.15
0,0,8.25
0,0,8.35
0,0,8.45
0,0,8.55
0,0,8.65
0,0,8.75
0,0,8.85
0,0,8.95
0,0,9.05
0,0,9.15
0,0,9.25
0,0,9.35
0,0,9.45
0,0,9.55
0,0,9.65
0,0,9.75
0,0,9.85
0,0,9.95
0,0,10.05
0,0,10.15
0,0,10.25
0,0,10.35
0,0,10.45
0,0,10.55
0,0,10.65
1,4.91915370879596e-05,10.75
0,0,10.85
0,0,10.95
0,0,11.05
0,0,11.15
0,0,11.25
0,0,11.35
0,0,11.45
0,0,11.55
0,0,11.65
0,0,11.75
0,0,11.85
0,0,11.95
0,0,12.05
0,0,12.15
0,0,12.25
0,0,12.35
0,0,12.45
0,0,12.55
0,0,12.65
0,0,12.75
0,0,12.85
0,0,12.95
0,0,13.05
0,0,13.15
0,0,13.25
0,0,13.35
0,0,13.45
0,0,13.55
0,0,13.65
0,0,13.75
0,0,13.85
0,0,13.95
0,0,14.05
0,0,14.15
0,0,14.25
0,0,14.35
0,0,14.45
0,0,14.55
0,0,14.65
0,0,14.75
0,0,14.85
0,0,14.95
0,0,15.05
0,0,15.15
0,0,15.25
0,0,15.35
0,0,15.45
0,0,15.55
0,0,15.65
0,0,15.75
0,0,15.85
0,0,15.95
0,0,16.05
0,0,16.15
0,0,16.25
0,0,16.35
0,0,16.45
0,0,16.55
0,0,16.65
0,0,16.75
0,0,16.85
0,0,16.95
0,0,17.05
0,0,17.15
0,0,17.25
0,0,17.35
0,0,17.45
0,0,17.55
0,0,17.65
0,0,17.75
0,0,17.85
0,0,17.95
0,0,18.05
0,0,18.15
0,0,18.25
0,0,18.35
0,0,18.45
0,0,18.55
0,0,18.65
0,0,18.75
0,0,18.85
0,0,18.95
0,0,19.05
0,0,19.15
0,0,19.25
0,0,19.35
0,0,19.45
0,0,19.55
0,0,19.65
0,0,19.75
0,0,19.85
0,0,19.95
0,0,20.05
0,0,20.15
0,0,20.25
0,0,20.35
0,0,20.45
0,0,20.55
0,0,20.65
0,0,20.75
0,0,20.85
0,0,20.95
0,0,21.05
0,0,21.15
0,0,21.25
0,0,21.35
0,0,21.45
0,0,21.55
0,0,21.65
0,0,21.75
0,0,21.85
0,0,21.95
0,0,22.05
0,0,22.15
0,0,22.25
0,0,22.35
0,0,22.45
