"counts","density","mids"
9998,7.11956134729046,0.05
1771,1.26112653991312,0.15
897,0.638752403332621,0.25
395,0.281278929003774,0.35
180,0.128177739799188,0.45
103,0.0733461511073132,0.55
64,0.0455743074841558,0.65
52,0.0370291248308766,0.75
43,0.0306202378409172,0.85
24,0.0170903653065584,0.95
28,0.0199387595243181,1.05
27,0.0192266609698782,1.15
33,0.0234992522965179,1.25
27,0.0192266609698782,1.35
18,0.0128177739799188,1.45
16,0.0113935768710389,1.55
16,0.0113935768710389,1.65
11,0.00783308409883929,1.75
20,0.0142419710887987,1.85
18,0.0128177739799188,1.95
13,0.00925728120771914,2.05
15,0.010681478316599,2.15
7,0.00498468988107954,2.25
10,0.00712098554439934,2.35
13,0.00925728120771918,2.45
12,0.0085451826532792,2.55
7,0.00498468988107954,2.65
8,0.00569678843551947,2.75
11,0.00783308409883927,2.85
9,0.00640888698995943,2.95
10,0.00712098554439934,3.05
7,0.00498468988107954,3.15
12,0.0085451826532792,3.25
14,0.00996937976215907,3.35
7,0.00498468988107956,3.45
8,0.00569678843551947,3.55
2,0.00142419710887987,3.65
5,0.00356049277219967,3.75
11,0.00783308409883927,3.85
5,0.00356049277219969,3.95
7,0.00498468988107951,4.05
8,0.0056967884355195,4.15
7,0.00498468988107956,4.25
5,0.00356049277219965,4.35
8,0.0056967884355195,4.45
0,0,4.55
2,0.00142419710887987,4.65
8,0.00569678843551945,4.75
4,0.00284839421775975,4.85
4,0.00284839421775975,4.95
4,0.00284839421775972,5.05
6,0.00427259132663962,5.15
2,0.00142419710887986,5.25
1,0.000712098554439937,5.35
1,0.000712098554439937,5.45
3,0.00213629566331979,5.55
3,0.00213629566331981,5.65
1,0.000712098554439931,5.75
2,0.00142419710887987,5.85
2,0.00142419710887987,5.95
3,0.00213629566331979,6.05
2,0.00142419710887987,6.15
2,0.00142419710887986,6.25
2,0.00142419710887987,6.35
4,0.00284839421775975,6.45
1,0.000712098554439931,6.55
2,0.00142419710887987,6.65
4,0.00284839421775972,6.75
1,0.000712098554439937,6.85
0,0,6.95
0,0,7.05
1,0.000712098554439937,7.15
0,0,7.25
0,0,7.35
1,0.000712098554439937,7.45
2,0.00142419710887986,7.55
1,0.000712098554439937,7.65
0,0,7.75
2,0.00142419710887987,7.85
1,0.000712098554439937,7.95
0,0,8.05
0,0,8.15
0,0,8.25
0,0,8.35
0,0,8.45
0,0,8.55
0,0,8.65
0,0,8.75
0,0,8.85
1,0.000712098554439937,8.95
0,0,9.05
0,0,9.15
0,0,9.25
2,0.00142419710887987,9.35
0,0,9.45
0,0,9.55
1,0.000712098554439937,9.65
0,0,9.75
1,0.000712098554439937,9.85
0,0,9.95
1,0.000712098554439924,10.05
0,0,10.15
1,0.000712098554439937,10.25
0,0,10.35
0,0,10.45
0,0,10.55
0,0,10.65
0,0,10.75
1,0.000712098554439937,10.85
0,0,10.95
0,0,11.05
0,0,11.15
0,0,11.25
1,0.000712098554439937,11.35
0,0,11.45
0,0,11.55
0,0,11.65
0,0,11.75
0,0,11.85
0,0,11.95
0,0,12.05
0,0,12.15
0,0,12.25
0,0,12.35
0,0,12.45
0,0,12.55
0,0,12.65
0,0,12.75
0,0,12.85
0,0,12.95
0,0,13.05
0,0,13.15
0,0,13.25
0,0,13.35
0,0,13.45
0,0,13.55
0,0,13.65
0,0,13.75
0,0,13.85
0,0,13.95
0,0,14.05
0,0,14.15
0,0,14.25
0,0,14.35
0,0,14.45
0,0,14.55
0,0,14.65
0,0,14.75
0,0,14.85
0,0,14.95
0,0,15.05
0,0,15.15
0,0,15.25
0,0,15.35
0,0,15.45
0,0,15.55
0,0,15.65
0,0,15.75
0,0,15.85
0,0,15.95
0,0,16.05
0,0,16.15
0,0,16.25
0,0,16.35
0,0,16.45
0,0,16.55
0,0,16.65
0,0,16.75
0,0,16.85
0,0,16.95
0,0,17.05
0,0,17.15
0,0,17.25
0,0,17.35
0,0,17.45
0,0,17.55
0,0,17.65
0,0,17.75
0,0,17.85
0,0,17.95
0,0,18.05
0,0,18.15
0,0,18.25
0,0,18.35
0,0,18.45
0,0,18.55
0,0,18.65
0,0,18.75
0,0,18.85
0,0,18.95
0,0,19.05
0,0,19.15
0,0,19.25
0,0,19.35
0,0,19.45
0,0,19.55
0,0,19.65
0,0,19.75
0,0,19.85
0,0,19.95
0,0,20.05
0,0,20.15
0,0,20.25
0,0,20.35
0,0,20.45
0,0,20.55
0,0,20.65
0,0,20.75
0,0,20.85
0,0,20.95
0,0,21.05
0,0,21.15
0,0,21.25
0,0,21.35
0,0,21.45
0,0,21.55
0,0,21.65
0,0,21.75
0,0,21.85
0,0,21.95
0,0,22.05
0,0,22.15
0,0,22.25
0,0,22.35
0,0,22.45
