"counts","density","mids"
31,0.0304987529945348,0.0025
413,0.406322096346545,0.0075
628,0.61784570582477,0.0125
906,0.891350652033824,0.0175
962,0.946445173572338,0.0225
1014,0.997604372143817,0.0275
1104,1.08614913890214,0.0325
1157,1.13829216821538,0.0375
1250,1.22978842719899,0.0425
1228,1.20814415088028,0.0475
1385,1.36260557733648,0.0525
1529,1.5042772041498,0.0575
1704,1.67644758395765,0.0625
1835,1.80532941112811,0.0675
2322,2.28445498236484,0.0725
2755,2.71045369354656,0.0775
3412,3.35683049088235,0.0825
4355,4.28458288036127,0.0875
5445,5.35695838887877,0.0925
6719,6.61035875387998,0.0975
7876,7.74865092209538,0.1025
8769,8.62721177448631,0.1075
9490,9.33655373929468,0.1125
10008,9.84617806352597,0.1175
9465,9.3119579707507,0.1225
9238,9.08862839237137,0.1275
8372,8.23663097000791,0.1325
7633,7.50958005184787,0.1375
6655,6.54739358640742,0.1425
5772,5.67867104143403,0.1475
5022,4.94079798511464,0.1525
4375,4.30425949519644,0.1575
4044,3.97861151967415,0.1625
3698,3.63820608302547,0.1675
3365,3.31059044601966,0.1725
3124,3.07348723725572,0.1775
3045,2.99576460865672,0.1825
2862,2.81572358291479,0.1875
2746,2.70159921687073,0.1925
2662,2.61895743456296,0.1975
2708,2.66421364868388,0.2025
2787,2.74193627728287,0.2075
2781,2.7360332928323,0.2125
2917,2.86983427371155,0.2175
2786,2.74095244654109,0.2225
2747,2.70258304761249,0.2275
2504,2.463512177365,0.2325
2295,2.25789155233735,0.2375
2049,2.01586918986457,0.2425
1822,1.79253961148524,0.2475
1598,1.57216152533118,0.2525
1409,1.38621751513869,0.2575
1248,1.22782076571547,0.2625
1107,1.08910063112742,0.2675
946,0.930703881704191,0.2725
880,0.865771052748085,0.2775
855,0.841175284204105,0.2825
740,0.728034748901806,0.2875
687,0.675891719588561,0.2925
667,0.656215104753378,0.2975
593,0.583411629863198,0.3025
497,0.488963878654316,0.3075
480,0.47223875604441,0.3125
457,0.449610648983948,0.3175
468,0.4604327871433,0.3225
349,0.343356928873956,0.3275
333,0.327615637005809,0.3325
322,0.316793498846458,0.3375
316,0.310890514395903,0.3425
306,0.301052206978311,0.3475
242,0.238087039505726,0.3525
251,0.246941516181556,0.3575
232,0.228248732088131,0.3625
217,0.213491270961744,0.3675
217,0.213491270961744,0.3725
211,0.207588286511188,0.3775
174,0.171186549066099,0.3825
145,0.142655457555082,0.3875
159,0.156429087939711,0.3925
148,0.14560694978036,0.3975
147,0.1446231190386,0.4025
120,0.118059689011102,0.4075
109,0.107237550851751,0.4125
104,0.102318397142957,0.4175
116,0.114124366044066,0.4225
98,0.0964154126924003,0.4275
84,0.0826417823077717,0.4325
89,0.0875609360165676,0.4375
65,0.0639489982143471,0.4425
90,0.0885447667583268,0.4475
71,0.0698519826649023,0.4525
60,0.0590298445055512,0.4575
69,0.0678843211813839,0.4625
58,0.0570621830220328,0.4675
55,0.0541106907967553,0.4725
53,0.0521430293132375,0.4775
65,0.0639489982143471,0.4825
57,0.0560783522802737,0.4875
71,0.0698519826649023,0.4925
30,0.0295149222527756,0.4975
41,0.0403370604121267,0.5025
49,0.0482077063462002,0.5075
44,0.0432885526374042,0.5125
42,0.0413208911538859,0.5175
36,0.0354179067033307,0.5225
45,0.0442723833791634,0.5275
35,0.0344340759615715,0.5325
39,0.0383693989286083,0.5375
44,0.0432885526374042,0.5425
28,0.0275472607692572,0.5475
29,0.0285310915110164,0.5525
33,0.0324664144780532,0.5575
27,0.026563430027498,0.5625
33,0.0324664144780532,0.5675
24,0.0236119378022205,0.5725
22,0.0216442763187026,0.5775
23,0.0226281070604613,0.5825
15,0.0147574611263878,0.5875
17,0.0167251226099062,0.5925
18,0.0177089533516654,0.5975
21,0.0206604455769429,0.6025
25,0.0245957685439797,0.6075
21,0.0206604455769429,0.6125
16,0.015741291868147,0.6175
20,0.0196766148351837,0.6225
10,0.00983830741759187,0.6275
24,0.0236119378022205,0.6325
16,0.015741291868147,0.6375
12,0.0118059689011102,0.6425
14,0.0137736303846286,0.6475
15,0.0147574611263878,0.6525
8,0.0078706459340735,0.6575
11,0.0108221381593511,0.6625
12,0.0118059689011102,0.6675
20,0.0196766148351837,0.6725
11,0.0108221381593511,0.6775
11,0.0108221381593511,0.6825
9,0.00885447667583268,0.6875
11,0.0108221381593511,0.6925
8,0.0078706459340735,0.6975
16,0.0157412918681473,0.7025
14,0.0137736303846286,0.7075
7,0.00688681519231431,0.7125
4,0.00393532296703675,0.7175
12,0.0118059689011102,0.7225
9,0.00885447667583268,0.7275
8,0.0078706459340735,0.7325
11,0.0108221381593511,0.7375
9,0.00885447667583268,0.7425
11,0.0108221381593511,0.7475
8,0.0078706459340735,0.7525
9,0.00885447667583268,0.7575
10,0.00983830741759187,0.7625
8,0.0078706459340735,0.7675
12,0.0118059689011102,0.7725
10,0.00983830741759187,0.7775
9,0.00885447667583268,0.7825
8,0.0078706459340735,0.7875
1,0.000983830741759187,0.7925
7,0.00688681519231431,0.7975
6,0.00590298445055512,0.8025
9,0.00885447667583268,0.8075
5,0.00491915370879594,0.8125
5,0.00491915370879594,0.8175
2,0.00196766148351837,0.8225
10,0.00983830741759187,0.8275
6,0.00590298445055525,0.8325
5,0.00491915370879594,0.8375
4,0.00393532296703675,0.8425
6,0.00590298445055512,0.8475
6,0.00590298445055512,0.8525
7,0.00688681519231431,0.8575
5,0.00491915370879594,0.8625
6,0.00590298445055512,0.8675
6,0.00590298445055512,0.8725
7,0.00688681519231431,0.8775
5,0.00491915370879594,0.8825
8,0.0078706459340735,0.8875
4,0.00393532296703675,0.8925
4,0.00393532296703675,0.8975
7,0.00688681519231431,0.9025
10,0.00983830741759187,0.9075
4,0.00393532296703675,0.9125
4,0.00393532296703675,0.9175
6,0.00590298445055512,0.9225
2,0.00196766148351837,0.9275
4,0.00393532296703675,0.9325
7,0.00688681519231431,0.9375
3,0.00295149222527756,0.9425
7,0.00688681519231431,0.9475
5,0.00491915370879594,0.9525
4,0.00393532296703683,0.9575
5,0.00491915370879594,0.9625
4,0.00393532296703675,0.9675
1,0.000983830741759187,0.9725
5,0.00491915370879594,0.9775
2,0.00196766148351837,0.9825
4,0.00393532296703675,0.9875
1,0.000983830741759187,0.9925
3,0.00295149222527756,0.9975
3,0.0029514922252775,1.0025
7,0.00688681519231446,1.0075
2,0.00196766148351833,1.0125
5,0.00491915370879604,1.0175
3,0.00295149222527763,1.0225
5,0.00491915370879582,1.0275
5,0.00491915370879604,1.0325
2,0.00196766148351833,1.0375
11,0.0108221381593513,1.0425
4,0.00393532296703666,1.0475
7,0.00688681519231446,1.0525
1,0.000983830741759165,1.0575
6,0.00590298445055525,1.0625
4,0.00393532296703666,1.0675
7,0.00688681519231446,1.0725
1,0.000983830741759165,1.0775
3,0.00295149222527763,1.0825
1,0.000983830741759165,1.0875
4,0.00393532296703683,1.0925
3,0.0029514922252775,1.0975
4,0.00393532296703683,1.1025
3,0.0029514922252775,1.1075
3,0.00295149222527763,1.1125
1,0.000983830741759165,1.1175
4,0.00393532296703683,1.1225
2,0.00196766148351833,1.1275
2,0.00196766148351842,1.1325
2,0.00196766148351833,1.1375
1,0.000983830741759209,1.1425
3,0.0029514922252775,1.1475
0,0,1.1525
2,0.00196766148351842,1.1575
2,0.00196766148351833,1.1625
3,0.00295149222527763,1.1675
3,0.0029514922252775,1.1725
1,0.000983830741759209,1.1775
2,0.00196766148351833,1.1825
1,0.000983830741759209,1.1875
1,0.000983830741759165,1.1925
2,0.00196766148351842,1.1975
199,0.000102276188396448,5.98562803032846
