"counts","density","mids"
552,7.86156804101688,0.0025
2082,29.6517838068789,0.0075
1514,21.5623442284412,0.0125
1068,15.210425122837,0.0175
804,11.4505447553941,0.0225
598,8.51669871110162,0.0275
509,7.24916328419853,0.0325
405,5.76799829096347,0.0375
313,4.45773695079399,0.0425
282,4.01623584704123,0.0475
277,3.94502599159724,0.0525
240,3.41807306131169,0.0575
208,2.96232998647013,0.0625
199,2.83415224667094,0.0675
179,2.54931282489497,0.0725
185,2.63476465142776,0.0775
148,2.1078117211422,0.0825
144,2.05084383678702,0.0875
149,2.122053692231,0.0925
142,2.02235989460941,0.0975
130,1.85145624154383,0.1025
131,1.86569821263263,0.1075
123,1.75176244392224,0.1125
116,1.65206864630065,0.1175
92,1.31026134016948,0.1225
104,1.48116499323506,0.1275
108,1.53813287759026,0.1325
92,1.31026134016948,0.1375
94,1.33874528234708,0.1425
99,1.40995513779107,0.1475
81,1.15359965819269,0.1525
81,1.15359965819269,0.1575
75,1.0681478316599,0.1625
74,1.0539058605711,0.1675
80,1.13935768710389,0.1725
61,0.868760236416724,0.1775
55,0.783308409883927,0.1825
65,0.925728120771914,0.1875
53,0.75482446770633,0.1925
57,0.811792352061525,0.1975
61,0.868760236416719,0.2025
63,0.897244178594322,0.2075
66,0.939970091860713,0.2125
54,0.769066438795129,0.2175
39,0.555436872463148,0.2225
53,0.75482446770633,0.2275
55,0.783308409883927,0.2325
58,0.826034323150328,0.2375
45,0.64088869899594,0.2425
48,0.683614612262337,0.2475
43,0.612404756818343,0.2525
37,0.526952930285551,0.2575
50,0.712098554439934,0.2625
39,0.555436872463148,0.2675
35,0.498468988107954,0.2725
49,0.697856583351135,0.2775
24,0.341807306131168,0.2825
26,0.37029124830877,0.2875
22,0.313323363953571,0.2925
30,0.42725913266396,0.2975
23,0.32756533504237,0.3025
17,0.242113508509578,0.3075
27,0.384533219397564,0.3125
26,0.370291248308766,0.3175
28,0.398775190486363,0.3225
16,0.227871537420779,0.3275
26,0.370291248308766,0.3325
19,0.270597450687175,0.3375
23,0.32756533504237,0.3425
23,0.32756533504237,0.3475
21,0.299081392864776,0.3525
16,0.227871537420779,0.3575
22,0.313323363953571,0.3625
13,0.185145624154383,0.3675
16,0.227871537420779,0.3725
17,0.242113508509578,0.3775
18,0.256355479598376,0.3825
16,0.227871537420779,0.3875
13,0.185145624154383,0.3925
15,0.21362956633198,0.3975
10,0.142419710887987,0.4025
13,0.185145624154383,0.4075
14,0.199387595243181,0.4125
10,0.142419710887988,0.4175
11,0.156661681976785,0.4225
10,0.142419710887987,0.4275
9,0.128177739799188,0.4325
14,0.199387595243181,0.4375
11,0.156661681976785,0.4425
8,0.113935768710389,0.4475
8,0.113935768710389,0.4525
7,0.0996937976215907,0.4575
10,0.142419710887987,0.4625
5,0.0712098554439934,0.4675
9,0.128177739799188,0.4725
6,0.085451826532793,0.4775
8,0.113935768710389,0.4825
4,0.0569678843551947,0.4875
6,0.0854518265327921,0.4925
7,0.0996937976215907,0.4975
7,0.0996937976215907,0.5025
4,0.0569678843551947,0.5075
6,0.0854518265327921,0.5125
4,0.0569678843551947,0.5175
6,0.0854518265327921,0.5225
2,0.0284839421775974,0.5275
6,0.0854518265327921,0.5325
7,0.0996937976215907,0.5375
1,0.0142419710887987,0.5425
8,0.113935768710389,0.5475
6,0.0854518265327921,0.5525
6,0.0854518265327921,0.5575
9,0.128177739799188,0.5625
6,0.0854518265327921,0.5675
6,0.0854518265327921,0.5725
3,0.042725913266397,0.5775
4,0.0569678843551947,0.5825
6,0.0854518265327921,0.5875
1,0.0142419710887987,0.5925
5,0.0712098554439934,0.5975
5,0.0712098554439934,0.6025
5,0.0712098554439934,0.6075
4,0.0569678843551947,0.6125
2,0.0284839421775974,0.6175
3,0.042725913266396,0.6225
5,0.0712098554439934,0.6275
2,0.0284839421775974,0.6325
4,0.0569678843551947,0.6375
5,0.0712098554439934,0.6425
5,0.0712098554439934,0.6475
2,0.0284839421775974,0.6525
2,0.0284839421775974,0.6575
5,0.0712098554439934,0.6625
2,0.0284839421775974,0.6675
2,0.0284839421775974,0.6725
1,0.0142419710887987,0.6775
4,0.0569678843551947,0.6825
2,0.0284839421775974,0.6875
2,0.0284839421775974,0.6925
2,0.0284839421775974,0.6975
1,0.014241971088799,0.7025
2,0.0284839421775974,0.7075
5,0.0712098554439934,0.7125
0,0,0.7175
5,0.0712098554439934,0.7225
1,0.0142419710887987,0.7275
1,0.0142419710887987,0.7325
6,0.0854518265327921,0.7375
0,0,0.7425
4,0.0569678843551947,0.7475
3,0.042725913266396,0.7525
4,0.0569678843551947,0.7575
2,0.0284839421775974,0.7625
3,0.042725913266396,0.7675
1,0.0142419710887987,0.7725
2,0.0284839421775974,0.7775
2,0.0284839421775974,0.7825
4,0.0569678843551947,0.7875
3,0.042725913266396,0.7925
3,0.042725913266396,0.7975
2,0.0284839421775974,0.8025
2,0.0284839421775974,0.8075
3,0.042725913266396,0.8125
2,0.0284839421775974,0.8175
1,0.0142419710887987,0.8225
1,0.0142419710887987,0.8275
1,0.014241971088799,0.8325
1,0.0142419710887987,0.8375
3,0.042725913266396,0.8425
4,0.0569678843551947,0.8475
0,0,0.8525
4,0.0569678843551947,0.8575
5,0.0712098554439934,0.8625
2,0.0284839421775974,0.8675
2,0.0284839421775974,0.8725
0,0,0.8775
2,0.0284839421775974,0.8825
3,0.042725913266396,0.8875
1,0.0142419710887987,0.8925
4,0.0569678843551947,0.8975
0,0,0.9025
0,0,0.9075
1,0.0142419710887987,0.9125
0,0,0.9175
0,0,0.9225
3,0.042725913266396,0.9275
1,0.0142419710887987,0.9325
4,0.0569678843551947,0.9375
0,0,0.9425
2,0.0284839421775974,0.9475
3,0.042725913266396,0.9525
1,0.014241971088799,0.9575
2,0.0284839421775974,0.9625
1,0.0142419710887987,0.9675
2,0.0284839421775974,0.9725
0,0,0.9775
1,0.0142419710887987,0.9825
1,0.0142419710887987,0.9875
1,0.0142419710887987,0.9925
1,0.0142419710887987,0.9975
2,0.0284839421775967,1.0025
1,0.014241971088799,1.0075
1,0.0142419710887984,1.0125
3,0.042725913266397,1.0175
1,0.014241971088799,1.0225
1,0.0142419710887984,1.0275
2,0.028483942177598,1.0325
2,0.0284839421775967,1.0375
1,0.014241971088799,1.0425
1,0.0142419710887984,1.0475
3,0.042725913266397,1.0525
1,0.0142419710887984,1.0575
1,0.014241971088799,1.0625
0,0,1.0675
4,0.056967884355196,1.0725
0,0,1.0775
3,0.042725913266397,1.0825
