"counts","density","mids"
3,0.00331105727577244,0.0025
36,0.0397326873092693,0.0075
64,0.0706358885498121,0.0125
96,0.105953832824718,0.0175
110,0.12140543344499,0.0225
107,0.118094376169217,0.0275
136,0.150101263168351,0.0325
137,0.151204948926942,0.0375
122,0.134649662548079,0.0425
155,0.171071292581576,0.0475
162,0.178797092891712,0.0525
173,0.190937636236211,0.0575
232,0.256055095993069,0.0625
261,0.288061982992202,0.0675
338,0.373045786403696,0.0725
466,0.514317563503319,0.0775
673,0.742780515531617,0.0825
947,1.0451904133855,0.0875
1328,1.4656946874086,0.0925
1989,2.19523097383713,0.0975
2737,3.02078792126306,0.1025
3644,4.02183090430492,0.1075
4587,5.06260657465606,0.1125
5974,6.59341872182154,0.1175
7103,7.83947994327054,0.1225
8558,9.44534272202018,0.1275
9622,10.6196643691608,0.1325
10442,11.5246866912053,0.1375
10563,11.6582326679948,0.1425
10523,11.6140852376511,0.1475
9921,10.9496664109795,0.1525
9068,10.0082224589015,0.1575
7716,8.51603931328671,0.1625
6529,7.20596431783942,0.1675
5369,5.92568883787408,0.1725
4519,4.98755594307191,0.1775
3781,4.17303585323186,0.1825
3182,3.51192808383597,0.1875
2901,3.20179238567195,0.1925
2588,2.85633874323302,0.1975
2484,2.74155542433958,0.2025
2497,2.75590333920128,0.2075
2597,2.86627191506034,0.2125
2784,3.07266115191682,0.2175
2871,3.16868181291422,0.2225
3133,3.45784748166502,0.2275
3250,3.58697871542014,0.2325
3027,3.34085679125441,0.2375
2915,3.21724398629222,0.2425
2663,2.93911517512734,0.2475
2387,2.63449790575627,0.2525
2048,2.26034843359399,0.2575
1697,1.87295473232861,0.2625
1359,1.49990894592491,0.2675
1019,1.12465578800404,0.2725
905,0.998835611524686,0.2775
754,0.832179061977473,0.2825
594,0.65558934060295,0.2875
531,0.586057137811722,0.2925
438,0.483414362262776,0.2975
389,0.429333760091826,0.3025
366,0.403948987644238,0.3075
295,0.32558729878429,0.3125
279,0.307928326646837,0.3175
250,0.275921439647703,0.3225
193,0.213011351408027,0.3275
160,0.17658972137453,0.3325
159,0.175486035615939,0.3375
143,0.157827063478486,0.3425
157,0.173278664098758,0.3475
144,0.158930749237079,0.3525
109,0.120301747686399,0.3575
118,0.130234919513716,0.3625
86,0.0949169752388099,0.3675
105,0.115887004652035,0.3725
90,0.0993317182731732,0.3775
75,0.082776431894311,0.3825
59,0.065117459756858,0.3875
73,0.0805690603771294,0.3925
67,0.0739469458255845,0.3975
57,0.0629100882396763,0.4025
55,0.0607027167224947,0.4075
48,0.052976916412359,0.4125
39,0.0430437445850422,0.4175
45,0.0496658591365866,0.4225
41,0.0452511161022233,0.4275
47,0.0518732306537682,0.4325
35,0.0386290015506785,0.4375
34,0.0375253157920876,0.4425
20,0.0220737151718163,0.4475
20,0.0220737151718163,0.4525
17,0.0187626578960438,0.4575
20,0.0220737151718163,0.4625
24,0.0264884582061795,0.4675
21,0.0231774009304071,0.4725
24,0.0264884582061798,0.4775
15,0.0165552863788622,0.4825
15,0.0165552863788622,0.4875
25,0.0275921439647703,0.4925
14,0.0154516006202714,0.4975
19,0.0209700294132254,0.5025
12,0.0132442291030898,0.5075
11,0.0121405433444989,0.5125
10,0.0110368575859081,0.5175
14,0.0154516006202714,0.5225
10,0.0110368575859081,0.5275
14,0.0154516006202714,0.5325
6,0.00662211455154488,0.5375
9,0.00993317182731732,0.5425
11,0.0121405433444989,0.5475
11,0.0121405433444989,0.5525
9,0.00993317182731732,0.5575
15,0.0165552863788622,0.5625
7,0.00772580031013569,0.5675
10,0.0110368575859081,0.5725
5,0.00551842879295419,0.5775
8,0.0088294860687265,0.5825
11,0.0121405433444989,0.5875
10,0.0110368575859081,0.5925
6,0.00662211455154488,0.5975
11,0.0121405433444989,0.6025
6,0.00662211455154488,0.6075
9,0.00993317182731732,0.6125
8,0.0088294860687265,0.6175
7,0.00772580031013569,0.6225
4,0.00441474303436325,0.6275
5,0.00551842879295406,0.6325
2,0.00220737151718163,0.6375
6,0.00662211455154488,0.6425
