"GFP-A","mCherry-A"
994.099,1206.63
999.245,1237.53
10711,10667.2
1470.23,4172.85
1416.99,2001.79
675.942,857.626
1718.04,2091.32
1084.36,2923.78
1460.4,2348.42
1879.19,2887.76
1654.89,3958.37
4708.66,5007.1
644.122,1886.9
7358.98,8622.82
10616.7,15098.8
905.523,2677.5
889.779,1605.09
48493.4,46099.6
6074.29,6708.27
883.789,2012.98
2367.62,2272.92
677.53,857.19
673.434,2031.31
2731.8,8022.96
1350.12,3392.97
3875.38,4308.92
1157.56,1628.93
1035.16,1255.48
1428.51,3892.33
674.944,1877.63
7960.42,6952.68
1165.88,1343.26
2855.65,7014.04
1015.24,1065.11
929.613,1085.18
809.523,2778.78
1732.84,1791.95
829.722,2201.4
1038.54,3052.21
4028.06,6739.05
902.784,1144.24
982.349,883.917
924.237,1866.6
4069.94,3329.59
2606.05,3422.28
1252.53,3649.77
1393.25,3410.1
5449.75,5745.48
4576.33,5669.73
2259.94,5891.64
3297.72,4962.69
2334.52,2781.47
828.365,946.867
1021.52,1155.43
7087.46,6065.41
1084.88,2326.53
3121.92,3125.48
2000.36,6182.48
1736.99,1741.93
2551.76,2706.76
1006.36,2714.78
852.992,2039.42
725.786,1405.93
2384.61,2203.78
1636.81,1587.23
3932.62,4089.22
9859.71,10236.4
11226.4,10018.4
1452.29,1524.84
2599.12,2535.42
908.032,2086.78
7154.74,5203.46
1652.81,2191.23
2394.75,5488.56
2681.88,3997.13
2771.17,2529.2
1593.06,1892.51
5928.04,10577.2
4481.56,5405.16
10174.7,14995.7
1347.51,3757.41
712.499,2585.16
720.538,1950
2116.35,1856.64
3807.05,4704.33
1159.09,975.872
690.227,1825.51
916.326,1005.26
3276.06,9072.97
4175.62,4193.08
1093.66,1400.83
653.056,1545.06
923.597,854.605
742.886,2095.26
2718.31,2392.73
688.435,1515.49
1317.09,864.922
977.306,2144.05
915.789,1074.94
3048.01,3782.89
1055.97,1520.67
6280.93,6065.66
617.651,894.925
1720.01,3716.81
2401,2162.15
1034.91,3120.28
4292.33,4564.86
664.064,1611.42
