"GFP-A","mCherry-A"
723.43,45177.9
1146.98,7400.37
1384.19,4163.74
899.405,931.354
2000.33,12150.5
958.797,12069.9
3016.58,19826.6
46281.8,1685.25
870.758,2451.46
908.544,12599.6
863.974,6075.96
3468.72,11957.6
622.95,736.333
1005.9,23513.7
680.371,53644.2
5736.73,11797.3
620.262,3371.16
1850.04,26290.6
2737.87,25581.3
2282.75,13525.8
677.274,6417.48
813.286,728.755
1011.43,4599.42
3819.67,9991.63
4550.83,11816.4
792.013,631.782
647.859,4739.23
1094.02,15018.4
727.962,16338.1
955.11,1290.98
21405.5,77305.8
1942.09,768.768
770.662,52783.4
750.874,12420.2
1382.96,49695.9
5687.07,46285.8
1448.17,22775.3
5450.65,47874
1086.49,51490.1
6633.55,30833.8
2669.03,68359.1
1517.21,2972.34
3975.91,24517.3
1147.83,29269.2
1898.83,8978.94
2923.96,33384.5
637.389,3975.5
757.402,17460.6
616.525,3712.31
910.387,7537.92
7365.22,44376.5
640.205,21880.1
6366.98,60283.7
3090.18,43040.6
1343.9,5764.35
1384.63,65546.5
1408.97,20257.6
8517.84,43659
3188.04,55387.6
1299.1,60281
678.067,36878.1
2923.93,3404.11
816.486,8252.62
1171.38,67252.6
2678.14,12876.2
712.576,73888.1
4987.7,59305.2
2565.71,22173
2102.63,8355.76
844.954,9681.2
4432.46,23041.1
13935.9,18207.9
1248.9,45727.9
10254.7,74713.7
961.306,8347.24
9582.77,27344.9
886.298,3822.46
2156.34,26191.6
2012.88,6448.08
3980.13,49410.4
3017.09,11108.5
652.8,40205.8
680.141,1132.36
3061.68,38321.3
975.206,17573.1
796.262,39546.8
3374.92,18361.8
1370.5,41445.4
1094.14,69769.1
23425.9,1995.9
3001.98,2654.28
3428.12,68158.3
17608.6,76812.4
1694.18,13052.7
639.898,37860.5
721.536,1988.28
1338.6,27593.4
863.846,4220.67
1336.68,10048.2
1160.7,1291.67
7715.23,51588.6
2925.62,25378.9
1961.75,889.37
685.082,10849.9
1667.15,11693.4
723.891,13927.1
1041.89,8380.13
2988.36,81876.4
710.195,12798
1066.37,15744.4
9215.92,20681.2
8682.39,20236.5
1574.22,38063.5
1713.95,788.224
686.285,10589.4
936.013,1858.25
749.952,47395.7
1068.34,39752.4
1178.44,1024.79
1146.68,6193.1
26217.6,1524.3
6317.13,34818.1
1779.92,13368.4
1738.73,12974.2
844.928,82192.7
3511.55,9984.15
926.259,61096.4
1443.15,7263.13
1614.77,47127.1
1859.05,25417.2
1000.68,2676.38
1159.22,20680.2
1201.97,49540.1
805.734,1672.76
1006.03,14638.4
990.336,10214.9
1521.66,14959.5
734.106,66485.5
1116.01,24560
992.64,37534.6
1484.52,16400.3
705.715,3924.99
907.366,13242.6
829.363,1478.78
1438.34,66112.7
1680.18,20426.3
662.093,4453.81
1088.2,3558.76
1424.03,58127.6
2236.06,9541.86
709.581,6911.51
908.851,5712.49
727.757,3692.85
1501.72,42553.9
711.45,67297.5
640.845,2077.24
12979.7,19579.1
829.645,33985.3
5727.77,11730.7
3080.68,443.878
1429.02,4152.7
2194.79,37851.6
16198.6,27424.9
3986.28,42239.5
612.045,678.81
694.733,51423.5
934.144,2377.78
1519.97,36502.7
730.88,470.195
3555.02,60785
14800.3,67299.7
6948.27,22461.5
1527.71,36757.5
653.107,12161
1255.45,14780.1
959.898,22020
709.504,1605.4
683.264,4705.59
2767.16,16062.3
782.003,17793.9
3160.17,44875.7
1560.91,30796.4
1106.38,14580.4
1698.36,84037.9
1008.41,31596.1
2164.35,32295.7
936.243,748.57
1353.01,1400.09
2242.41,72991.5
620.314,4123.8
2748.24,19415.6
1846.3,10935.4
4298.37,6129.92
846.746,7498.83
785.792,2214.66
4147.12,28045.5
1391.62,12363.4
1389.7,10903.3
32300.3,62736.1
1905.54,704.461
1678.59,8163.69
6640.54,69713.1
5524.48,12162.3
875.136,14297.1
816.691,33542.3
9706.83,30803.1
1149,2229.99
5162.01,17620.7
3091.99,24043.4
2060.62,18954.4
6271.97,36768.6
7395.92,30106.3
18526.8,78823
