"counts","density","mids"
0,0,0.0075
0,0,0.0125
0,0,0.0175
0,0,0.0225
0,0,0.0275
0,0,0.0325
0,0,0.0375
0,0,0.0425
0,0,0.0475
0,0,0.0525
0,0,0.0575
0,0,0.0625
0,0,0.0675
0,0,0.0725
0,0,0.0775
0,0,0.0825
0,0,0.0875
0,0,0.0925
0,0,0.0975
0,0,0.1025
0,0,0.1075
0,0,0.1125
0,0,0.1175
0,0,0.1225
0,0,0.1275
0,0,0.1325
0,0,0.1375
0,0,0.1425
0,0,0.1475
0,0,0.1525
0,0,0.1575
0,0,0.1625
0,0,0.1675
0,0,0.1725
0,0,0.1775
0,0,0.1825
0,0,0.1875
0,0,0.1925
0,0,0.1975
0,0,0.2025
0,0,0.2075
0,0,0.2125
1,0.059612518628912,0.2175
0,0,0.2225
1,0.059612518628912,0.2275
0,0,0.2325
0,0,0.2375
1,0.0596125186289124,0.2425
0,0,0.2475
3,0.178837555886736,0.2525
2,0.119225037257824,0.2575
1,0.059612518628912,0.2625
2,0.119225037257824,0.2675
1,0.059612518628912,0.2725
5,0.29806259314456,0.2775
5,0.29806259314456,0.2825
9,0.536512667660208,0.2875
11,0.65573770491804,0.2925
13,0.774962742175856,0.2975
8,0.476900149031296,0.3025
8,0.476900149031296,0.3075
13,0.774962742175856,0.3125
14,0.834575260804768,0.3175
20,1.19225037257824,0.3225
20,1.19225037257824,0.3275
19,1.13263785394933,0.3325
26,1.54992548435171,0.3375
25,1.4903129657228,0.3425
28,1.66915052160954,0.3475
23,1.37108792846498,0.3525
22,1.31147540983608,0.3575
33,1.9672131147541,0.3625
33,1.9672131147541,0.3675
37,2.20566318926974,0.3725
23,1.37108792846498,0.3775
21,1.25186289120715,0.3825
33,1.9672131147541,0.3875
45,2.68256333830104,0.3925
28,1.66915052160954,0.3975
29,1.72876304023845,0.4025
29,1.72876304023845,0.4075
27,1.60953800298062,0.4125
33,1.9672131147541,0.4175
24,1.4307004470939,0.4225
19,1.13263785394933,0.4275
24,1.43070044709389,0.4325
24,1.43070044709389,0.4375
22,1.31147540983606,0.4425
25,1.4903129657228,0.4475
24,1.43070044709389,0.4525
13,0.774962742175856,0.4575
13,0.774962742175856,0.4625
17,1.0134128166915,0.4675
13,0.774962742175856,0.4725
12,0.715350223546944,0.4775
12,0.715350223546952,0.4825
9,0.536512667660208,0.4875
