"counts","density","mids"
0,0,0.1425
1,0.0173882802990784,0.1475
0,0,0.1525
0,0,0.1575
1,0.0173882802990784,0.1625
0,0,0.1675
0,0,0.1725
2,0.0347765605981568,0.1775
1,0.0173882802990785,0.1825
4,0.0695531211963136,0.1875
12,0.208659363588941,0.1925
16,0.278212484785255,0.1975
38,0.66075465136498,0.2025
57,0.991131977047469,0.2075
90,1.56494522691706,0.2125
131,2.27786471917927,0.2175
193,3.35593809772213,0.2225
231,4.01669274908713,0.2275
319,5.54686141540601,0.2325
373,6.48582855155625,0.2375
396,6.88575899843509,0.2425
421,7.32046600591201,0.2475
447,7.77256129368805,0.2525
450,7.82472613458528,0.2575
508,8.83324639193183,0.2625
479,8.32898626325856,0.2675
435,7.56390193009911,0.2725
430,7.47696052860371,0.2775
392,6.81620587723874,0.2825
395,6.86837071813597,0.2875
309,5.37297861241523,0.2925
330,5.73813249869587,0.2975
310,5.39036689271431,0.3025
265,4.60789427925578,0.3075
219,3.80803338549817,0.3125
242,4.20796383237702,0.3175
201,3.49504434011476,0.3225
172,2.99078421144149,0.3275
159,2.76473656755347,0.3325
160,2.78212484785255,0.3375
155,2.69518344635715,0.3425
148,2.57346548426363,0.3475
132,2.29525299947835,0.3525
121,2.10398191618849,0.3575
89,1.54755694661798,0.3625
115,1.99965223439402,0.3675
95,1.65188662841245,0.3725
105,1.82576943140323,0.3775
77,1.33889758302904,0.3825
83,1.44322726482351,0.3875
86,1.49539210572074,0.3925
95,1.65188662841245,0.3975
61,1.06068509824378,0.4025
68,1.18240306033733,0.4075
71,1.23456790123457,0.4125
71,1.23456790123457,0.4175
58,1.00852025734655,0.4225
44,0.765084333159458,0.4275
60,1.0432968179447,0.4325
57,0.991131977047469,0.4375
51,0.886802295252999,0.4425
41,0.712919492262215,0.4475
43,0.747696052860371,0.4525
58,1.00852025734655,0.4575
54,0.938967136150234,0.4625
48,0.834637454355764,0.4675
46,0.799860893757607,0.4725
39,0.678142931664058,0.4775
43,0.747696052860371,0.4825
38,0.66075465136498,0.4875
40,0.695531211963144,0.4925
30,0.521648408972352,0.4975
25,0.43470700747696,0.5025
39,0.678142931664058,0.5075
30,0.521648408972352,0.5125
19,0.33037732568249,0.5175
28,0.486871848374195,0.5225
26,0.452095287776039,0.5275
27,0.469483568075117,0.5325
24,0.417318727177882,0.5375
25,0.43470700747696,0.5425
35,0.608589810467744,0.5475
33,0.573813249869587,0.5525
21,0.365153886280647,0.5575
27,0.469483568075127,0.5625
19,0.330377325682482,0.5675
21,0.365153886280655,0.5725
15,0.26082420448617,0.5775
19,0.330377325682497,0.5825
22,0.382542166579716,0.5875
9,0.156494522691709,0.5925
17,0.295600765084326,0.5975
17,0.295600765084339,0.6025
22,0.382542166579716,0.6075
19,0.330377325682497,0.6125
17,0.295600765084333,0.6175
12,0.208659363588941,0.6225
