"counts","density","mids"
0,0,0.1425
0,0,0.1475
0,0,0.1525
0,0,0.1575
0,0,0.1625
0,0,0.1675
0,0,0.1725
0,0,0.1775
0,0,0.1825
0,0,0.1875
0,0,0.1925
0,0,0.1975
1,0.0243724104313916,0.2025
0,0,0.2075
0,0,0.2125
0,0,0.2175
0,0,0.2225
0,0,0.2275
1,0.0243724104313916,0.2325
0,0,0.2375
0,0,0.2425
0,0,0.2475
0,0,0.2525
0,0,0.2575
0,0,0.2625
0,0,0.2675
0,0,0.2725
0,0,0.2775
0,0,0.2825
0,0,0.2875
0,0,0.2925
0,0,0.2975
0,0,0.3025
2,0.0487448208627833,0.3075
0,0,0.3125
0,0,0.3175
0,0,0.3225
0,0,0.3275
1,0.0243724104313916,0.3325
1,0.0243724104313916,0.3375
1,0.0243724104313916,0.3425
0,0,0.3475
0,0,0.3525
0,0,0.3575
0,0,0.3625
1,0.0243724104313916,0.3675
1,0.0243724104313916,0.3725
1,0.0243724104313916,0.3775
1,0.0243724104313916,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
1,0.0243724104313916,0.4025
0,0,0.4075
0,0,0.4125
0,0,0.4175
1,0.0243724104313916,0.4225
1,0.0243724104313919,0.4275
0,0,0.4325
0,0,0.4375
0,0,0.4425
1,0.0243724104313916,0.4475
1,0.0243724104313916,0.4525
3,0.0731172312941749,0.4575
2,0.0487448208627833,0.4625
1,0.0243724104313916,0.4675
2,0.0487448208627833,0.4725
2,0.0487448208627833,0.4775
1,0.0243724104313916,0.4825
1,0.0243724104313916,0.4875
1,0.0243724104313919,0.4925
1,0.0243724104313916,0.4975
0,0,0.5025
2,0.0487448208627833,0.5075
3,0.0731172312941749,0.5125
0,0,0.5175
2,0.0487448208627833,0.5225
3,0.0731172312941749,0.5275
4,0.0974896417255666,0.5325
3,0.0731172312941749,0.5375
1,0.0243724104313916,0.5425
3,0.0731172312941749,0.5475
0,0,0.5525
5,0.121862052156958,0.5575
4,0.0974896417255687,0.5625
5,0.121862052156956,0.5675
6,0.146234462588353,0.5725
3,0.0731172312941733,0.5775
5,0.121862052156961,0.5825
7,0.170606873019738,0.5875
6,0.146234462588353,0.5925
13,0.316841335608084,0.5975
7,0.170606873019745,0.6025
15,0.365586156470867,0.6075
13,0.316841335608098,0.6125
12,0.2924689251767,0.6175
8,0.194979283451133,0.6225
14,0.341213746039483,0.6275
12,0.2924689251767,0.6325
19,0.463075798196441,0.6375
31,0.755544723373141,0.6425
23,0.560565439922008,0.6475
24,0.584937850353399,0.6525
18,0.43870338776505,0.6575
26,0.633682671216183,0.6625
37,0.901779185961491,0.6675
27,0.658055081647574,0.6725
33,0.804289544235924,0.6775
26,0.633682671216183,0.6825
41,0.999268827687057,0.6875
47,1.14550329027541,0.6925
37,0.901779185961491,0.6975
36,0.877406775530099,0.7025
44,1.07238605898123,0.7075
38,0.926151596392882,0.7125
36,0.877406775530119,0.7175
53,1.29173775286376,0.7225
38,0.926151596392882,0.7275
44,1.07238605898123,0.7325
53,1.29173775286376,0.7375
56,1.36485498415793,0.7425
46,1.12113087984402,0.7475
53,1.29173775286376,0.7525
62,1.51108944674628,0.7575
63,1.53546185717767,0.7625
66,1.60857908847185,0.7675
71,1.73044114062881,0.7725
71,1.73044114062881,0.7775
68,1.65732390933463,0.7825
70,1.70606873019741,0.7875
75,1.82793078235437,0.7925
84,2.0472824762369,0.7975
66,1.60857908847185,0.8025
68,1.65732390933463,0.8075
73,1.77918596149159,0.8125
100,2.43724104313916,0.8175
89,2.16914452839386,0.8225
71,1.73044114062881,0.8275
86,2.09602729709968,0.8325
107,2.60784791615891,0.8375
87,2.12039970753112,0.8425
102,2.48598586400195,0.8475
94,2.29100658055081,0.8525
85,2.07165488666829,0.8575
105,2.55910309529612,0.8625
105,2.55910309529612,0.8675
99,2.41286863270777,0.8725
96,2.3397514014136,0.8775
100,2.43724104313916,0.8825
103,2.51035827443334,0.8875
105,2.55910309529612,0.8925
105,2.55910309529612,0.8975
89,2.16914452839386,0.9025
94,2.29100658055081,0.9075
116,2.82719961004143,0.9125
110,2.68096514745308,0.9175
112,2.72970996831586,0.9225
110,2.68096514745308,0.9275
135,3.29027540823787,0.9325
111,2.70533755788447,0.9375
134,3.26590299780648,0.9425
142,3.46088228125761,0.9475
164,3.99707531074823,0.9525
175,4.26517182549354,0.9575
206,5.02071654886668,0.9625
215,5.2400682427492,0.9675
270,6.58055081647589,0.9725
266,6.48306117475018,0.9775
283,6.89739215208384,0.9825
296,7.21423348769193,0.9875
278,6.77553009992688,0.9925
286,6.97050938337801,0.9975
165,4.02144772117971,1.0025
144,3.50962710212032,1.0075
130,3.16841335608084,1.0125
96,2.33975140141365,1.0175
99,2.41286863270783,1.0225
79,1.9254204240799,1.0275
45,1.0967584694126,1.0325
52,1.26736534243239,1.0375
34,0.828661954667334,1.0425
32,0.779917133804515,1.0475
31,0.755544723373124,1.0525
19,0.463075798196452,1.0575
