"GFP-A","mCherry-A"
513,607
416,518
714,724
771,809
462,504
621,638
641,651
669,705
579,655
563,645
814,853
447,482
615,639
410,493
295,563
395,524
651,630
864,858
537,588
645,652
553,629
452,462
776,768
534,561
606,610
394,484
602,640
482,484
657,657
463,487
688,705
707,714
714,731
583,585
534,565
702,707
566,529
631,647
551,626
718,736
378,483
397,501
448,522
883,854
465,465
551,567
904,911
365,459
436,449
578,574
618,719
761,763
589,587
445,467
467,475
938,937
613,693
670,680
709,726
459,480
483,492
592,661
492,570
323,464
447,457
306,462
476,476
448,465
472,481
510,606
462,517
478,490
307,455
452,545
379,473
426,556
631,618
657,689
442,515
372,486
655,652
574,568
406,526
588,645
427,452
458,563
621,608
439,528
466,476
623,634
830,838
699,705
603,607
529,544
516,612
827,829
479,572
492,572
707,722
542,526
675,679
402,465
789,796
512,588
575,594
439,526
594,627
578,580
470,514
398,491
410,508
514,539
520,607
419,536
528,536
436,575
370,450
576,578
476,567
512,568
854,874
427,501
529,519
429,507
896,897
685,701
559,644
689,750
354,517
464,562
419,452
657,660
312,452
964,978
481,555
403,482
418,536
528,525
674,680
450,473
444,452
325,460
670,643
326,459
571,642
431,476
466,481
447,455
510,519
477,477
633,635
686,695
631,650
552,639
493,475
524,642
296,453
516,614
729,757
608,683
735,746
464,577
831,825
487,597
411,460
503,543
662,678
410,459
441,514
868,894
640,631
795,811
762,757
608,697
570,584
476,510
719,761
621,681
828,839
581,651
648,672
745,749
964,983
390,504
333,493
489,592
549,598
392,466
369,472
754,766
385,496
382,490
499,618
825,836
357,475
551,581
405,482
449,501
401,473
847,851
624,639
663,727
476,566
522,622
392,492
501,489
568,605
458,522
605,592
505,536
569,525
965,975
545,552
521,531
543,565
666,696
387,507
482,484
369,462
496,510
555,565
755,756
366,465
405,487
551,534
552,624
441,472
542,597
521,553
547,660
608,644
623,665
377,468
680,714
696,701
507,637
743,760
421,522
466,587
524,522
518,533
369,467
467,518
809,820
398,508
331,499
817,822
537,556
608,622
651,664
439,529
529,568
532,554
496,564
433,484
668,710
420,515
580,677
764,784
477,539
497,599
495,505
629,667
509,543
487,593
326,456
463,489
573,677
392,515
603,672
946,958
411,451
379,497
507,523
663,680
530,596
586,588
481,474
688,725
653,716
364,487
591,669
453,521
526,577
658,647
372,506
674,749
647,667
449,549
371,457
473,620
442,454
483,532
449,449
541,627
578,575
835,849
545,633
466,542
470,553
432,472
593,600
405,474
415,490
426,576
577,552
610,702
490,501
450,459
376,491
568,554
557,607
272,455
545,650
361,487
346,504
558,649
437,473
755,769
497,573
647,656
592,680
477,500
483,487
413,477
590,668
320,455
455,521
571,596
491,540
552,561
544,522
389,524
541,651
676,753
648,728
462,560
436,463
488,586
404,514
522,593
498,569
492,559
422,451
380,478
442,575
587,623
492,570
533,532
474,495
473,512
379,475
724,724
472,494
698,761
837,854
853,845
936,949
706,710
461,511
572,613
557,657
699,729
641,664
673,745
689,691
383,472
651,610
501,529
563,594
487,522
334,450
436,563
582,598
346,460
695,708
442,498
489,606
532,652
854,874
900,928
500,558
661,725
