"counts","density","mids"
0,0,0.2275
0,0,0.2325
0,0,0.2375
0,0,0.2425
0,0,0.2475
0,0,0.2525
0,0,0.2575
0,0,0.2625
0,0,0.2675
0,0,0.2725
0,0,0.2775
1,0.0150534397109739,0.2825
0,0,0.2875
0,0,0.2925
0,0,0.2975
0,0,0.3025
0,0,0.3075
0,0,0.3125
0,0,0.3175
0,0,0.3225
0,0,0.3275
0,0,0.3325
0,0,0.3375
0,0,0.3425
1,0.0150534397109739,0.3475
0,0,0.3525
1,0.0150534397109739,0.3575
0,0,0.3625
0,0,0.3675
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
0,0,0.4025
0,0,0.4075
0,0,0.4125
0,0,0.4175
0,0,0.4225
2,0.0301068794219479,0.4275
0,0,0.4325
0,0,0.4375
0,0,0.4425
1,0.0150534397109739,0.4475
0,0,0.4525
1,0.0150534397109739,0.4575
1,0.0150534397109741,0.4625
0,0,0.4675
0,0,0.4725
1,0.0150534397109739,0.4775
0,0,0.4825
0,0,0.4875
1,0.0150534397109739,0.4925
3,0.0451603191329218,0.4975
0,0,0.5025
1,0.0150534397109739,0.5075
1,0.0150534397109739,0.5125
1,0.0150534397109739,0.5175
1,0.0150534397109739,0.5225
1,0.0150534397109739,0.5275
0,0,0.5325
1,0.0150534397109739,0.5375
2,0.0301068794219479,0.5425
0,0,0.5475
1,0.0150534397109739,0.5525
2,0.0301068794219479,0.5575
3,0.0451603191329218,0.5625
5,0.0752671985548697,0.5675
6,0.0903206382658437,0.5725
5,0.0752671985548714,0.5775
7,0.105374077976818,0.5825
7,0.105374077976818,0.5875
14,0.210748155953635,0.5925
9,0.135480957398765,0.5975
13,0.195694716242661,0.6025
13,0.195694716242661,0.6075
18,0.270961914797531,0.6125
26,0.391389432485323,0.6175
25,0.376335992774349,0.6225
25,0.376335992774349,0.6275
30,0.451603191329218,0.6325
41,0.617191028149932,0.6375
47,0.707511666415775,0.6425
43,0.64729790757188,0.6475
56,0.842992623814541,0.6525
54,0.812885744392593,0.6575
52,0.782778864970645,0.6625
53,0.797832304681619,0.6675
75,1.12900797832305,0.6725
70,1.05374077976818,0.6775
80,1.20427517687792,0.6825
90,1.35480957398765,0.6875
104,1.56555772994129,0.6925
93,1.39996989312058,0.6975
95,1.43007677254256,0.7025
111,1.67093180791811,0.7075
106,1.59566460936324,0.7125
109,1.64082492849616,0.7175
122,1.83651964473882,0.7225
109,1.64082492849616,0.7275
134,2.01716092127051,0.7325
143,2.15264187866927,0.7375
132,1.98705404184856,0.7425
159,2.39349691404486,0.7475
140,2.10748155953635,0.7525
175,2.63435194942044,0.7575
141,2.12253499924733,0.7625
155,2.33328315520096,0.7675
140,2.10748155953635,0.7725
185,2.78488634653018,0.7775
177,2.66445882884239,0.7825
184,2.76983290681921,0.7875
157,2.36339003462291,0.7925
176,2.64940538913141,0.7975
161,2.42360379346686,0.8025
161,2.4236037934668,0.8075
196,2.95047418335089,0.8125
212,3.19132921872648,0.8175
206,3.10100858046063,0.8225
155,2.33328315520096,0.8275
165,2.4838175523107,0.8325
151,2.27306939635707,0.8375
186,2.79993978624115,0.8425
186,2.79993978624115,0.8475
153,2.30317627577901,0.8525
143,2.15264187866927,0.8575
186,2.79993978624115,0.8625
155,2.33328315520096,0.8675
122,1.83651964473882,0.8725
148,2.22790907722414,0.8775
148,2.22790907722414,0.8825
157,2.36339003462291,0.8875
138,2.0773746801144,0.8925
142,2.1375884389583,0.8975
156,2.34833659491194,0.9025
148,2.22790907722414,0.9075
165,2.4838175523107,0.9125
145,2.18274875809122,0.9175
141,2.12253499924733,0.9225
174,2.61929850970952,0.9275
186,2.79993978624115,0.9325
218,3.28164985699232,0.9375
226,3.40207737468011,0.9425
272,4.09453560138491,0.9475
234,3.5225048923679,0.9525
290,4.36549751618244,0.9575
297,4.47087159415926,0.9625
324,4.87731446635556,0.9675
368,5.53966581363841,0.9725
313,4.71172662953484,0.9775
302,4.54613879271413,0.9825
251,3.77841336745446,0.9875
233,3.50745145265693,0.9925
276,4.15474936022881,0.9975
131,1.97200060213754,1.0025
164,2.46876411259978,1.0075
113,1.70103868734002,1.0125
120,1.80641276531691,1.0175
96,1.44513021225347,1.0225
74,1.1139545386121,1.0275
52,0.782778864970628,1.0325
58,0.873099503236508,1.0375
61,0.91825982236939,1.0425
50,0.752671985548714,1.0475
42,0.632244467860892,1.0525
31,0.466656631040203,1.0575
32,0.481710070751177,1.0625
21,0.316122233930446,1.0675
28,0.42149631190728,1.0725
18,0.270961914797525,1.0775
28,0.42149631190728,1.0825
27,0.406442872196287,1.0875
19,0.286015354508511,1.0925
12,0.180641276531683,1.0975
12,0.180641276531691,1.1025
13,0.195694716242657,1.1075
5,0.0752671985548714,1.1125
10,0.150534397109736,1.1175
11,0.165587836820717,1.1225
13,0.195694716242657,1.1275
11,0.165587836820717,1.1325
6,0.0903206382658417,1.1375
6,0.0903206382658457,1.1425
5,0.0752671985548681,1.1475
6,0.0903206382658457,1.1525
2,0.0301068794219472,1.1575
6,0.0903206382658457,1.1625
4,0.0602137588438944,1.1675
4,0.0602137588438971,1.1725
7,0.105374077976815,1.1775
2,0.0301068794219486,1.1825
8,0.120427517687794,1.1875
1,0.0150534397109736,1.1925
2,0.0301068794219486,1.1975
47,0.00463251686343663,1.58181818181818
