"counts","density","mids"
2,0.0665557404326123,0.2275
3,0.0998336106489184,0.2325
10,0.332778702163063,0.2375
16,0.532445923460898,0.2425
29,0.965058236272878,0.2475
37,1.23128119800333,0.2525
59,1.96339434276206,0.2575
63,2.09650582362729,0.2625
87,2.89517470881863,0.2675
88,2.92845257903494,0.2725
97,3.22795341098169,0.2775
109,3.62728785357737,0.2825
116,3.86023294509151,0.2875
107,3.56073211314476,0.2925
111,3.69384359401002,0.2975
133,4.42595673876871,0.3025
100,3.32778702163061,0.3075
91,3.02828618968386,0.3125
123,4.09317803660565,0.3175
109,3.62728785357737,0.3225
102,3.39434276206322,0.3275
95,3.16139767054908,0.3325
112,3.72712146422629,0.3375
106,3.52745424292849,0.3425
99,3.29450915141431,0.3475
89,2.96173044925125,0.3525
91,3.02828618968386,0.3575
71,2.36272878535774,0.3625
103,3.42762063227953,0.3675
81,2.6955074875208,0.3725
98,3.261231281198,0.3775
74,2.46256239600665,0.3825
80,2.66222961730449,0.3875
85,2.82861896838602,0.3925
98,3.261231281198,0.3975
64,2.12978369384359,0.4025
70,2.32945091514143,0.4075
73,2.42928452579035,0.4125
78,2.59567387687188,0.4175
66,2.1963394342762,0.4225
50,1.66389351081531,0.4275
64,2.12978369384362,0.4325
65,2.1630615640599,0.4375
63,2.09650582362729,0.4425
58,1.93011647254576,0.4475
51,1.69717138103161,0.4525
65,2.1630615640599,0.4575
68,2.26289517470884,0.4625
64,2.12978369384359,0.4675
55,1.83028286189684,0.4725
46,1.53078202995008,0.4775
57,1.89683860232945,0.4825
53,1.76372712146422,0.4875
55,1.83028286189684,0.4925
44,1.46422628951747,0.4975
41,1.36439267886855,0.5025
53,1.76372712146422,0.5075
38,1.26455906821963,0.5125
34,1.13144758735441,0.5175
37,1.23128119800333,0.5225
36,1.19800332778702,0.5275
40,1.33111480865225,0.5325
35,1.16472545757071,0.5375
34,1.13144758735441,0.5425
48,1.59733777038269,0.5475
41,1.36439267886855,0.5525
38,1.26455906821963,0.5575
32,1.0648918469218,0.5625
24,0.798668885191347,0.5675
30,0.998336106489184,0.5725
29,0.965058236272899,0.5775
25,0.831946755407653,0.5825
29,0.965058236272878,0.5875
21,0.698835274542429,0.5925
25,0.831946755407653,0.5975
25,0.831946755407653,0.6025
33,1.0981697171381,0.6075
27,0.898502495840265,0.6125
28,0.931780366056572,0.6175
22,0.732113144758735,0.6225
21,0.698835274542429,0.6275
29,0.965058236272878,0.6325
26,0.865224625623959,0.6375
23,0.765391014975041,0.6425
29,0.965058236272878,0.6475
23,0.765391014975041,0.6525
27,0.898502495840265,0.6575
14,0.465890183028286,0.6625
12,0.399334442595674,0.6675
21,0.698835274542429,0.6725
26,0.865224625623959,0.6775
22,0.732113144758735,0.6825
22,0.732113144758735,0.6875
23,0.765391014975041,0.6925
23,0.765391014975041,0.6975
14,0.465890183028296,0.7025
13,0.43261231281198,0.7075
15,0.499168053244592,0.7125
19,0.632279534109816,0.7175
17,0.565723793677204,0.7225
13,0.43261231281198,0.7275
18,0.59900166389351,0.7325
17,0.565723793677204,0.7375
14,0.465890183028286,0.7425
17,0.565723793677204,0.7475
10,0.332778702163061,0.7525
15,0.499168053244592,0.7575
13,0.43261231281198,0.7625
19,0.632279534109816,0.7675
8,0.266222961730449,0.7725
12,0.399334442595674,0.7775
11,0.366056572379367,0.7825
15,0.499168053244592,0.7875
13,0.43261231281198,0.7925
17,0.565723793677204,0.7975
8,0.266222961730455,0.8025
13,0.43261231281198,0.8075
21,0.698835274542429,0.8125
12,0.399334442595674,0.8175
9,0.299500831946755,0.8225
13,0.43261231281198,0.8275
9,0.299500831946755,0.8325
15,0.499168053244592,0.8375
10,0.332778702163061,0.8425
11,0.366056572379367,0.8475
12,0.399334442595674,0.8525
9,0.299500831946755,0.8575
7,0.232945091514143,0.8625
12,0.399334442595674,0.8675
12,0.399334442595674,0.8725
7,0.232945091514143,0.8775
11,0.366056572379367,0.8825
9,0.299500831946755,0.8875
11,0.366056572379367,0.8925
14,0.465890183028286,0.8975
6,0.199667221297837,0.9025
6,0.199667221297837,0.9075
10,0.332778702163061,0.9125
3,0.0998336106489184,0.9175
8,0.266222961730449,0.9225
8,0.266222961730455,0.9275
8,0.266222961730449,0.9325
8,0.266222961730449,0.9375
1,0.0332778702163061,0.9425
0,0,0.9475
7,0.232945091514143,0.9525
2,0.0665557404326123,0.9575
8,0.266222961730449,0.9625
10,0.332778702163061,0.9675
11,0.366056572379367,0.9725
4,0.133111480865225,0.9775
3,0.0998336106489184,0.9825
8,0.266222961730449,0.9875
6,0.199667221297837,0.9925
9,0.299500831946755,0.9975
4,0.133111480865222,1.0025
6,0.199667221297841,1.0075
5,0.166389351081527,1.0125
5,0.166389351081534,1.0175
0,0,1.0225
1,0.0332778702163069,1.0275
6,0.199667221297832,1.0325
1,0.0332778702163069,1.0375
4,0.133111480865222,1.0425
5,0.166389351081534,1.0475
4,0.133111480865222,1.0525
0,0,1.0575
4,0.133111480865227,1.0625
3,0.0998336106489162,1.0675
2,0.0665557404326137,1.0725
4,0.133111480865222,1.0775
1,0.0332778702163069,1.0825
3,0.0998336106489162,1.0875
3,0.0998336106489206,1.0925
3,0.0998336106489162,1.0975
2,0.0665557404326137,1.1025
1,0.0332778702163054,1.1075
2,0.0665557404326137,1.1125
0,0,1.1175
1,0.0332778702163069,1.1225
0,0,1.1275
1,0.0332778702163069,1.1325
2,0.0665557404326108,1.1375
4,0.133111480865227,1.1425
1,0.0332778702163054,1.1475
8,0.266222961730455,1.1525
4,0.133111480865222,1.1575
0,0,1.1625
2,0.0665557404326108,1.1675
1,0.0332778702163069,1.1725
1,0.0332778702163054,1.1775
0,0,1.1825
0,0,1.1875
0,0,1.1925
3,0.0998336106489206,1.1975
23,0.00351679343192106,1.74409722222222
