"counts","density","mids"
0,0,0.4275
0,0,0.4325
0,0,0.4375
0,0,0.4425
0,0,0.4475
0,0,0.4525
0,0,0.4575
0,0,0.4625
0,0,0.4675
0,0,0.4725
0,0,0.4775
0,0,0.4825
0,0,0.4875
0,0,0.4925
0,0,0.4975
0,0,0.5025
0,0,0.5075
0,0,0.5125
0,0,0.5175
0,0,0.5225
0,0,0.5275
0,0,0.5325
0,0,0.5375
0,0,0.5425
0,0,0.5475
0,0,0.5525
0,0,0.5575
0,0,0.5625
0,0,0.5675
0,0,0.5725
0,0,0.5775
0,0,0.5825
0,0,0.5875
0,0,0.5925
0,0,0.5975
0,0,0.6025
0,0,0.6075
0,0,0.6125
0,0,0.6175
0,0,0.6225
0,0,0.6275
0,0,0.6325
0,0,0.6375
0,0,0.6425
0,0,0.6475
0,0,0.6525
0,0,0.6575
0,0,0.6625
0,0,0.6675
0,0,0.6725
0,0,0.6775
0,0,0.6825
0,0,0.6875
0,0,0.6925
0,0,0.6975
0,0,0.7025
0,0,0.7075
0,0,0.7125
0,0,0.7175
0,0,0.7225
0,0,0.7275
0,0,0.7325
0,0,0.7375
0,0,0.7425
0,0,0.7475
0,0,0.7525
0,0,0.7575
0,0,0.7625
0,0,0.7675
0,0,0.7725
0,0,0.7775
0,0,0.7825
0,0,0.7875
0,0,0.7925
0,0,0.7975
0,0,0.8025
0,0,0.8075
0,0,0.8125
0,0,0.8175
0,0,0.8225
0,0,0.8275
0,0,0.8325
0,0,0.8375
0,0,0.8425
0,0,0.8475
0,0,0.8525
0,0,0.8575
0,0,0.8625
0,0,0.8675
0,0,0.8725
0,0,0.8775
0,0,0.8825
0,0,0.8875
0,0,0.8925
0,0,0.8975
0,0,0.9025
0,0,0.9075
1,0.0368459837877671,0.9125
0,0,0.9175
2,0.0736919675755342,0.9225
1,0.0368459837877671,0.9275
2,0.0736919675755358,0.9325
2,0.0736919675755326,0.9375
4,0.147383935151072,0.9425
7,0.257921886514364,0.9475
12,0.442151805453215,0.9525
14,0.515843773028728,0.9575
15,0.552689756816519,0.9625
15,0.552689756816494,0.9675
22,0.810611643330894,0.9725
35,1.28960943257182,0.9775
42,1.54753131908625,0.9825
46,1.69491525423725,0.9875
88,3.24244657332358,0.9925
99,3.64775239498886,0.9975
105,3.86882829771563,1.0025
126,4.64259395725855,1.0075
147,5.41635961680188,1.0125
176,6.48489314664715,1.0175
201,7.40604274134102,1.0225
203,7.47973470891689,1.0275
156,5.74797347089154,1.0325
169,6.22697126013278,1.0375
151,5.56374355195271,1.0425
110,4.05305821665447,1.0475
103,3.79513633013993,1.0525
97,3.57406042741349,1.0575
95,3.5003684598378,1.0625
72,2.65291083271929,1.0675
65,2.39498894620481,1.0725
43,1.58437730287402,1.0775
39,1.43699336772288,1.0825
30,1.10537951363304,1.0875
34,1.25276344878405,1.0925
34,1.25276344878411,1.0975
36,1.32645541635959,1.1025
37,1.36330140014741,1.1075
29,1.06853352984522,1.1125
35,1.28960943257188,1.1175
36,1.32645541635965,1.1225
34,1.25276344878405,1.1275
46,1.69491525423732,1.1325
48,1.76860722181278,1.1375
46,1.69491525423732,1.1425
38,1.40014738393512,1.1475
53,1.9528371407517,1.1525
55,2.02652910832715,1.1575
56,2.063375092115,1.1625
55,2.02652910832715,1.1675
67,2.46868091378045,1.1725
61,2.24760501105374,1.1775
78,2.8739867354459,1.1825
64,2.35814296241704,1.1875
72,2.65291083271929,1.1925
75,2.76344878408247,1.1975
1844,0.146455777655823,2.35980392156863
