"counts","density","mids"
0,0,0.4275
0,0,0.4325
0,0,0.4375
0,0,0.4425
0,0,0.4475
0,0,0.4525
0,0,0.4575
0,0,0.4625
0,0,0.4675
0,0,0.4725
0,0,0.4775
0,0,0.4825
0,0,0.4875
0,0,0.4925
0,0,0.4975
0,0,0.5025
0,0,0.5075
0,0,0.5125
0,0,0.5175
0,0,0.5225
0,0,0.5275
0,0,0.5325
0,0,0.5375
0,0,0.5425
0,0,0.5475
0,0,0.5525
0,0,0.5575
0,0,0.5625
0,0,0.5675
0,0,0.5725
0,0,0.5775
0,0,0.5825
0,0,0.5875
0,0,0.5925
0,0,0.5975
0,0,0.6025
0,0,0.6075
0,0,0.6125
0,0,0.6175
0,0,0.6225
0,0,0.6275
0,0,0.6325
0,0,0.6375
0,0,0.6425
0,0,0.6475
0,0,0.6525
0,0,0.6575
0,0,0.6625
0,0,0.6675
0,0,0.6725
0,0,0.6775
0,0,0.6825
0,0,0.6875
0,0,0.6925
0,0,0.6975
0,0,0.7025
0,0,0.7075
0,0,0.7125
0,0,0.7175
0,0,0.7225
0,0,0.7275
0,0,0.7325
0,0,0.7375
0,0,0.7425
0,0,0.7475
0,0,0.7525
0,0,0.7575
0,0,0.7625
0,0,0.7675
0,0,0.7725
0,0,0.7775
0,0,0.7825
0,0,0.7875
0,0,0.7925
0,0,0.7975
0,0,0.8025
0,0,0.8075
0,0,0.8125
0,0,0.8175
1,0.0364033491081179,0.8225
0,0,0.8275
0,0,0.8325
0,0,0.8375
0,0,0.8425
0,0,0.8475
0,0,0.8525
0,0,0.8575
1,0.0364033491081171,0.8625
0,0,0.8675
1,0.0364033491081171,0.8725
0,0,0.8775
0,0,0.8825
0,0,0.8875
1,0.0364033491081179,0.8925
1,0.0364033491081179,0.8975
2,0.0728066982162358,0.9025
2,0.0728066982162358,0.9075
0,0,0.9125
4,0.145613396432472,0.9175
3,0.109210047324354,0.9225
3,0.109210047324354,0.9275
5,0.182016745540594,0.9325
8,0.291226792864937,0.9375
7,0.254823443756831,0.9425
12,0.436840189297405,0.9475
11,0.400436840189306,0.9525
21,0.764470331270459,0.9575
26,0.946487076811087,0.9625
27,0.982890425919162,0.9675
48,1.7473607571897,0.9725
76,2.7666545322169,0.9775
62,2.25700764470336,0.9825
91,3.31270476883866,0.9875
112,4.0771751001093,0.9925
189,6.88023298143413,0.9975
177,6.44339279213701,1.0025
230,8.37277029486693,1.0075
243,8.84601383327285,1.0125
241,8.77320713505661,1.0175
224,8.15435020021823,1.0225
203,7.3898798689481,1.0275
184,6.69821623589355,1.0325
152,5.53330906443405,1.0375
117,4.2591918456497,1.0425
118,4.29559519475801,1.0475
96,3.49472151437924,1.0525
100,3.64033491081187,1.0575
82,2.9850746268656,1.0625
61,2.22060429559524,1.0675
86,3.13068802329807,1.0725
62,2.25700764470336,1.0775
65,2.36621769202761,1.0825
53,1.92937750273029,1.0875
55,2.00218420094644,1.0925
64,2.3298143429196,1.0975
46,1.67455405897339,1.1025
53,1.92937750273029,1.1075
56,2.03858755005456,1.1125
65,2.36621769202772,1.1175
56,2.03858755005465,1.1225
56,2.03858755005456,1.1275
65,2.36621769202772,1.1325
49,1.78376410629774,1.1375
61,2.22060429559524,1.1425
60,2.18420094648703,1.1475
61,2.22060429559524,1.1525
67,2.43902439024385,1.1575
48,1.7473607571897,1.1625
43,1.56534401164904,1.1675
49,1.78376410629782,1.1725
55,2.00218420094644,1.1775
44,1.60174736075722,1.1825
43,1.56534401164904,1.1875
63,2.29341099381148,1.1925
45,1.63815070986527,1.1975
1082,0.198791340446514,1.6953488372093
