"counts","density","mids"
0,0,0.1675
0,0,0.1725
0,0,0.1775
0,0,0.1825
0,0,0.1875
0,0,0.1925
0,0,0.1975
0,0,0.2025
0,0,0.2075
0,0,0.2125
0,0,0.2175
0,0,0.2225
0,0,0.2275
0,0,0.2325
0,0,0.2375
0,0,0.2425
0,0,0.2475
0,0,0.2525
0,0,0.2575
0,0,0.2625
0,0,0.2675
0,0,0.2725
0,0,0.2775
0,0,0.2825
0,0,0.2875
0,0,0.2925
0,0,0.2975
0,0,0.3025
0,0,0.3075
0,0,0.3125
0,0,0.3175
1,0.00422083403680567,0.3225
0,0,0.3275
0,0,0.3325
0,0,0.3375
1,0.00422083403680567,0.3425
0,0,0.3475
0,0,0.3525
0,0,0.3575
0,0,0.3625
0,0,0.3675
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
0,0,0.4025
1,0.00422083403680567,0.4075
0,0,0.4125
1,0.00422083403680572,0.4175
1,0.00422083403680567,0.4225
0,0,0.4275
1,0.00422083403680567,0.4325
0,0,0.4375
1,0.00422083403680567,0.4425
0,0,0.4475
0,0,0.4525
1,0.00422083403680567,0.4575
1,0.00422083403680567,0.4625
1,0.00422083403680567,0.4675
0,0,0.4725
2,0.00844166807361134,0.4775
0,0,0.4825
2,0.00844166807361134,0.4875
2,0.00844166807361134,0.4925
0,0,0.4975
0,0,0.5025
0,0,0.5075
2,0.00844166807361153,0.5125
1,0.00422083403680567,0.5175
2,0.00844166807361134,0.5225
0,0,0.5275
2,0.00844166807361134,0.5325
2,0.00844166807361134,0.5375
1,0.00422083403680567,0.5425
1,0.00422083403680567,0.5475
2,0.00844166807361134,0.5525
2,0.00844166807361134,0.5575
2,0.00844166807361134,0.5625
1,0.00422083403680567,0.5675
0,0,0.5725
2,0.00844166807361134,0.5775
0,0,0.5825
5,0.0211041701840283,0.5875
1,0.00422083403680567,0.5925
2,0.00844166807361134,0.5975
3,0.012662502110417,0.6025
4,0.0168833361472227,0.6075
2,0.00844166807361134,0.6125
4,0.0168833361472231,0.6175
5,0.0211041701840283,0.6225
7,0.0295458382576397,0.6275
7,0.0295458382576397,0.6325
7,0.0295458382576397,0.6375
7,0.0295458382576397,0.6425
9,0.037987506331251,0.6475
17,0.0717541786256964,0.6525
13,0.0548708424784737,0.6575
18,0.075975012662502,0.6625
13,0.0548708424784737,0.6675
18,0.075975012662502,0.6725
20,0.0844166807361134,0.6775
38,0.160391693398615,0.6825
33,0.139287523214587,0.6875
44,0.185716697619449,0.6925
48,0.202600033766672,0.6975
67,0.28279588046598,0.7025
81,0.341887556981259,0.7075
95,0.400979233496539,0.7125
99,0.417862569643761,0.7175
96,0.405200067533344,0.7225
130,0.548708424784737,0.7275
110,0.464291744048624,0.7325
144,0.607800101300016,0.7375
153,0.645787607631267,0.7425
181,0.763970960661826,0.7475
178,0.751308458551426,0.7525
214,0.903258483876413,0.7575
229,0.966570994428498,0.7625
275,1.16072936012156,0.7675
281,1.18605436434239,0.7725
309,1.30423771737295,0.7775
338,1.42664190444032,0.7825
369,1.55748775958129,0.7875
416,1.75586695931116,0.7925
410,1.73054195509032,0.7975
475,2.00489616748269,0.8025
534,2.25392537565423,0.8075
549,2.31723788620631,0.8125
567,2.39321289886881,0.8175
634,2.67600877933479,0.8225
635,2.6802296133716,0.8275
703,2.96724632787439,0.8325
828,3.49485058247509,0.8375
856,3.61303393550565,0.8425
913,3.85362147560358,0.8475
919,3.87894647982441,0.8525
906,3.82407563734602,0.8575
967,4.08154651359108,0.8625
947,3.99712983285497,0.8675
960,4.05200067533344,0.8725
897,3.78608813101469,0.8775
950,4.00979233496539,0.8825
806,3.40199223366537,0.8875
781,3.29647138274523,0.8925
673,2.84062130677022,0.8975
577,2.43542123923687,0.9025
549,2.31723788620631,0.9075
470,1.98379199729866,0.9125
463,1.95424615904102,0.9175
430,1.81495863582644,0.9225
454,1.91625865270977,0.9275
463,1.95424615904102,0.9325
536,2.26236704372784,0.9375
556,2.34678372446395,0.9425
674,2.84484214080702,0.9475
803,3.38932973155495,0.9525
1024,4.32213405368901,0.9575
1122,4.73577578929607,0.9625
1374,5.79942596657099,0.9675
1552,6.5507344251224,0.9725
1681,7.09522201587033,0.9775
1688,7.12476785412797,0.9825
1637,6.90950531825088,0.9875
1627,6.86729697788282,0.9925
1705,7.19652203275367,0.9975
1101,4.64713827452304,1.0025
1207,5.09454668242456,1.0075
1122,4.73577578929586,1.0125
952,4.01823400303909,1.0175
774,3.26692554448752,1.0225
689,2.90815465135917,1.0275
503,2.1230795205132,1.0325
379,1.59969609994938,1.0375
286,1.20715853452639,1.0425
239,1.00877933479658,1.0475
163,0.687995947999309,1.0525
116,0.489616748269468,1.0575
107,0.451629241938197,1.0625
77,0.325004220834044,1.0675
61,0.257470876245152,1.0725
48,0.202600033766668,1.0775
38,0.160391693398619,1.0825
22,0.0928583488097227,1.0875
10,0.0422083403680576,1.0925
17,0.0717541786256948,1.0975
11,0.0464291744048634,1.1025
12,0.0506500084416669,1.1075
5,0.0211041701840288,1.1125
4,0.0168833361472223,1.1175
4,0.0168833361472231,1.1225
3,0.0126625021104167,1.1275
3,0.0126625021104173,1.1325
5,0.0211041701840279,1.1375
2,0.00844166807361153,1.1425
0,0,1.1475
1,0.00422083403680576,1.1525
0,0,1.1575
0,0,1.1625
1,0.00422083403680558,1.1675
1,0.00422083403680576,1.1725
0,0,1.1775
0,0,1.1825
0,0,1.1875
0,0,1.1925
0,0,1.1975
0,0,1.2
