"counts","density","mids"
0,0,0.1675
0,0,0.1725
0,0,0.1775
2,0.00745879018423211,0.1825
2,0.00745879018423211,0.1875
5,0.0186469754605803,0.1925
18,0.067129111658089,0.1975
35,0.130528828224062,0.2025
32,0.119340642947714,0.2075
71,0.26478705154024,0.2125
114,0.42515104050123,0.2175
178,0.663832326396658,0.2225
260,0.96964272395018,0.2275
396,1.47684045647796,0.2325
456,1.70060416200492,0.2375
598,2.2301782650854,0.2425
827,3.08420974117998,0.2475
911,3.39747892891773,0.2525
1001,3.73312448720817,0.2575
1197,4.46408592526292,0.2625
1322,4.93026031177743,0.2675
1368,5.10181248601476,0.2725
1463,5.45610501976585,0.2775
1519,5.66495114492429,0.2825
1499,5.59036324308197,0.2875
1527,5.69478630566122,0.2925
1498,5.58663384798985,0.2975
1472,5.48966957559483,0.3025
1408,5.25098828969941,0.3075
1350,5.03468337435673,0.3125
1278,4.76616692772432,0.3175
1277,4.7624375326322,0.3225
1298,4.84075482956664,0.3275
1201,4.47900350563138,0.3325
1184,4.41560378906541,0.3375
1173,4.37458044305213,0.3425
1113,4.15081673752517,0.3475
992,3.69955993137913,0.3525
980,3.65480719027373,0.3575
929,3.46460804057582,0.3625
925,3.44969046020735,0.3675
881,3.28559707615425,0.3725
873,3.25576191541732,0.3775
801,2.98724546878496,0.3825
803,2.99470425896919,0.3875
819,3.05437458044308,0.3925
732,2.72991720742895,0.3975
646,2.40918922950697,0.4025
608,2.26747221600656,0.4075
639,2.38308346386216,0.4125
616,2.29730737674352,0.4175
597,2.22644886999329,0.4225
560,2.08846125158499,0.4275
525,1.95793242336093,0.4325
504,1.87961512642649,0.4375
472,1.76027448347878,0.4425
423,1.57753412396509,0.4475
446,1.66331021108376,0.4525
410,1.52905198776758,0.4575
392,1.46192287610949,0.4625
365,1.36122920862236,0.4675
395,1.47311106138584,0.4725
318,1.18594763929291,0.4775
334,1.24561796076676,0.4825
319,1.18967703438502,0.4875
288,1.07406578652942,0.4925
308,1.14865368837175,0.4975
251,0.93607816812113,0.5025
252,0.939807563213246,0.5075
254,0.947266353397499,0.5125
260,0.969642723950174,0.5175
224,0.835384500633996,0.5225
205,0.764525993883791,0.5275
194,0.723502647870515,0.5325
231,0.861490266278809,0.5375
206,0.768255388975908,0.5425
180,0.67129111658089,0.5475
