"counts","density","mids"
1,0.00331092937787637,0.1675
0,0,0.1725
1,0.00331092937787639,0.1775
5,0.0165546468893818,0.1825
4,0.0132437175115055,0.1875
8,0.0264874350230109,0.1925
19,0.062907658179651,0.1975
22,0.0728404463132801,0.2025
41,0.135748104492932,0.2075
55,0.1821011157832,0.2125
85,0.281428997119491,0.2175
116,0.384067807833659,0.2225
137,0.453597324769065,0.2275
159,0.526437771082342,0.2325
232,0.768135615667317,0.2375
251,0.831043273846968,0.2425
319,1.05618647154256,0.2475
328,1.08598483594345,0.2525
387,1.28132966923815,0.2575
423,1.4005231268417,0.2625
468,1.54951494884614,0.2675
452,1.49654007880012,0.2725
466,1.5428930900904,0.2775
448,1.48329636128861,0.2825
527,1.74485978214085,0.2875
575,1.90378439227891,0.2925
537,1.77796907591961,0.2975
576,1.90709532165679,0.3025
523,1.73161606462934,0.3075
580,1.92033903916831,0.3125
587,1.94351554481343,0.3175
552,1.82763301658775,0.3225
551,1.82432208720988,0.3275
568,1.88060788663378,0.3325
580,1.92033903916829,0.3375
599,1.98324669734794,0.3425
615,2.03622156739397,0.3475
579,1.91702810979042,0.3525
538,1.78128000529749,0.3575
550,1.821011157832,0.3625
618,2.0461543555276,0.3675
599,1.98324669734794,0.3725
547,1.81107836969837,0.3775
580,1.92033903916829,0.3825
554,1.83425487534351,0.3875
572,1.8938516041453,0.3925
573,1.89716253352316,0.3975
561,1.85743138098864,0.4025
544,1.80114558156474,0.4075
546,1.8077674403205,0.4125
576,1.90709532165681,0.4175
575,1.90378439227891,0.4225
526,1.74154885276297,0.4275
533,1.7647253584081,0.4325
545,1.80445651094262,0.4375
482,1.59586796013641,0.4425
531,1.75810349965235,0.4475
470,1.55613680760189,0.4525
501,1.65877561831606,0.4575
550,1.821011157832,0.4625
504,1.66870840644969,0.4675
484,1.60248981889216,0.4725
521,1.72499420587359,0.4775
477,1.57931331324703,0.4825
490,1.62235539515942,0.4875
507,1.67864119458332,0.4925
538,1.78128000529749,0.4975
443,1.46674171439923,0.5025
455,1.50647286693375,0.5075
490,1.62235539515946,0.5125
463,1.53296030195676,0.5175
442,1.46343078502135,0.5225
482,1.59586796013641,0.5275
455,1.50647286693375,0.5325
430,1.42369963248684,0.5375
