"counts","density","mids"
0,0,0.335
0,0,0.345
0,0,0.355
0,0,0.365
0,0,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
0,0,0.425
0,0,0.435
0,0,0.445
2,0.0023494032515741,0.455
0,0,0.465
1,0.00117470162578706,0.475
0,0,0.485
0,0,0.495
1,0.00117470162578705,0.505
0,0,0.515
2,0.0023494032515741,0.525
0,0,0.535
1,0.00117470162578705,0.545
4,0.0046988065031482,0.555
4,0.0046988065031482,0.565
0,0,0.575
4,0.0046988065031482,0.585
3,0.00352410487736115,0.595
2,0.0023494032515741,0.605
3,0.00352410487736119,0.615
6,0.00704820975472229,0.625
2,0.0023494032515741,0.635
4,0.0046988065031482,0.645
8,0.00939761300629639,0.655
10,0.0117470162578705,0.665
6,0.00704820975472229,0.675
12,0.0140964195094447,0.685
16,0.0187952260125928,0.695
8,0.00939761300629639,0.705
11,0.0129217178836575,0.715
30,0.0352410487736115,0.725
25,0.0293675406446762,0.735
35,0.0411145569025467,0.745
29,0.0340663471478244,0.755
46,0.0540362747862043,0.765
67,0.0787050089277323,0.775
84,0.0986749365661121,0.785
95,0.11159665444977,0.795
107,0.125693073959214,0.805
146,0.171506437364909,0.815
160,0.187952260125928,0.825
177,0.207922187764308,0.835
274,0.321868245465651,0.845
305,0.35828399586505,0.855
374,0.439338408044356,0.865
480,0.563856780377784,0.875
513,0.602621934028756,0.885
651,0.764730758387369,0.895
772,0.906869655107622,0.905
872,1.02433981768631,0.915
1068,1.25458133634057,0.925
1278,1.50126867775585,0.935
1565,1.83840804435673,0.945
1805,2.12033643454562,0.955
2220,2.60783760924725,0.965
3012,3.53820129687059,0.975
3556,4.17723898129875,0.985
4650,5.46236255990978,0.995
4042,4.74814397143125,1.005
4576,5.37543463960154,1.015
4401,5.1698618550888,1.025
3741,4.39455878206935,1.035
3019,3.5464242082511,1.045
2290,2.69006672305234,1.055
1905,2.23780659712433,1.065
1685,1.97937223945118,1.075
1532,1.79964289070576,1.085
1499,1.76087773705479,1.095
1566,1.83958274598252,1.105
1709,2.00756507847007,1.115
1794,2.10741471666197,1.125
1996,2.34470444507095,1.135
1910,2.24368010525326,1.145
1866,2.19199323371863,1.155
1763,2.07099896626261,1.165
1695,1.99111925570905,1.175
1618,1.90066723052345,1.185
1510,1.77379945493844,1.195
1195,1.40376844281552,1.205
1169,1.37322620054506,1.215
1029,1.20876797293487,1.225
1060,1.24518372333427,1.235
913,1.07250258434358,1.245
767,0.900996146978667,1.255
734,0.862230993327694,1.265
663,0.778827177896814,1.275
604,0.709519781975378,1.285
555,0.651959402311812,1.295
536,0.629640071421858,1.305
441,0.518043416972089,1.315
417,0.489850577953199,1.325
410,0.48162766657269,1.335
368,0.432290198289634,1.345
324,0.380603326755004,1.355
281,0.330091156846161,1.365
284,0.333615261723522,1.375
231,0.271356075556808,1.385
257,0.301898317827272,1.395
226,0.265482567427873,1.405
191,0.224368010525326,1.415
174,0.204398082886947,1.425
157,0.184428155248567,1.435
147,0.172681138990696,1.445
122,0.14331359834602,1.455
129,0.151536509726529,1.465
96,0.112771356075557,1.475
110,0.129217178836578,1.485
97,0.113946057701344,1.495
73,0.0857532186824546,1.505
74,0.0869279203082416,1.515
64,0.0751809040503711,1.525
52,0.0610844845409265,1.535
64,0.0751809040503711,1.545
44,0.0516868715346302,1.555
38,0.0446386617799079,1.565
31,0.0364157503993985,1.575
33,0.0387651536509726,1.585
34,0.0399398552767597,1.595
21,0.024668734141528,1.605
22,0.0258434357673151,1.615
17,0.0199699276383798,1.625
16,0.0187952260125928,1.635
24,0.0281928390188892,1.645
10,0.0117470162578705,1.655
12,0.0140964195094446,1.665
21,0.024668734141528,1.675
14,0.0164458227610187,1.685
11,0.0129217178836575,1.695
16,0.0187952260125928,1.705
0,0,1.715
4,0.0046988065031482,1.725
5,0.00587350812893538,1.735
4,0.0046988065031482,1.745
6,0.00704820975472229,1.755
5,0.00587350812893524,1.765
8,0.00939761300629639,1.775
4,0.0046988065031482,1.785
6,0.00704820975472229,1.795
2,0.0023494032515741,1.805
3,0.00352410487736115,1.815
4,0.0046988065031482,1.825
2,0.0023494032515741,1.835
2,0.0023494032515741,1.845
5,0.00587350812893524,1.855
1,0.00117470162578705,1.865
5,0.00587350812893524,1.875
2,0.0023494032515741,1.885
2,0.0023494032515741,1.895
4,0.0046988065031482,1.905
3,0.00352410487736115,1.915
0,0,1.925
4,0.0046988065031482,1.935
3,0.00352410487736115,1.945
3,0.00352410487736115,1.955
0,0,1.965
1,0.00117470162578705,1.975
1,0.00117470162578705,1.985
2,0.00234940325157415,1.995
1,0.00117470162578708,2.005
2,0.00234940325157405,2.015
2,0.00234940325157415,2.025
2,0.00234940325157405,2.035
3,0.00352410487736123,2.045
1,0.00117470162578702,2.055
0,0,2.065
0,0,2.075
0,0,2.085
2,0.00234940325157405,2.095
1,0.00117470162578708,2.105
2,0.00234940325157405,2.115
0,0,2.125
2,0.00234940325157405,2.135
0,0,2.145
0,0,2.155
2,0.00234940325157415,2.165
0,0,2.175
0,0,2.185
1,0.00117470162578702,2.195
0,0,2.205
0,0,2.215
1,0.00117470162578708,2.225
0,0,2.235
0,0,2.245
1,0.00117470162578708,2.255
1,0.00117470162578702,2.265
0,0,2.275
0,0,2.285
0,0,2.295
0,0,2.305
1,0.00117470162578708,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
1,0.00117470162578708,2.375
1,0.00117470162578702,2.385
0,0,2.395
0,0,2.405
0,0,2.415
0,0,2.425
0,0,2.435
2,0.00234940325157405,2.445
0,0,2.455
0,0,2.465
0,0,2.475
0,0,2.485
1,0.00117470162578708,2.495
1,0.00117470162578702,2.505
0,0,2.515
0,0,2.525
0,0,2.535
0,0,2.545
0,0,2.555
0,0,2.565
0,0,2.575
0,0,2.585
0,0,2.595
0,0,2.605
0,0,2.615
0,0,2.625
0,0,2.635
0,0,2.645
0,0,2.655
0,0,2.665
0,0,2.675
0,0,2.685
1,0.00117470162578702,2.695
0,0,2.705
0,0,2.715
0,0,2.725
0,0,2.735
0,0,2.745
0,0,2.755
0,0,2.765
0,0,2.775
0,0,2.785
0,0,2.795
0,0,2.805
0,0,2.815
0,0,2.825
0,0,2.835
0,0,2.845
0,0,2.855
0,0,2.865
0,0,2.875
0,0,2.885
0,0,2.895
0,0,2.905
0,0,2.915
0,0,2.925
1,0.00117470162578708,2.935
0,0,2.945
0,0,2.955
0,0,2.965
0,0,2.975
1,0.00117470162578702,2.985
0,0,2.995
0,0,3.005
0,0,3.015
0,0,3.025
0,0,3.035
0,0,3.045
0,0,3.055
0,0,3.065
0,0,3.075
0,0,3.085
0,0,3.095
0,0,3.105
1,0.00117470162578708,3.115
0,0,3.125
0,0,3.135
0,0,3.145
0,0,3.155
0,0,3.165
0,0,3.175
0,0,3.185
0,0,3.195
0,0,3.205
0,0,3.215
0,0,3.225
0,0,3.235
0,0,3.245
0,0,3.255
0,0,3.265
0,0,3.275
0,0,3.285
0,0,3.295
0,0,3.305
0,0,3.315
0,0,3.325
0,0,3.335
0,0,3.345
