"counts","density","mids"
0,0,0.335
0,0,0.345
0,0,0.355
0,0,0.365
0,0,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
0,0,0.425
0,0,0.435
0,0,0.445
0,0,0.455
0,0,0.465
0,0,0.475
0,0,0.485
0,0,0.495
0,0,0.505
0,0,0.515
0,0,0.525
0,0,0.535
0,0,0.545
0,0,0.555
0,0,0.565
0,0,0.575
0,0,0.585
0,0,0.595
0,0,0.605
0,0,0.615
0,0,0.625
0,0,0.635
0,0,0.645
0,0,0.655
0,0,0.665
0,0,0.675
0,0,0.685
0,0,0.695
0,0,0.705
0,0,0.715
0,0,0.725
0,0,0.735
0,0,0.745
0,0,0.755
0,0,0.765
0,0,0.775
0,0,0.785
0,0,0.795
0,0,0.805
0,0,0.815
0,0,0.825
0,0,0.835
0,0,0.845
0,0,0.855
0,0,0.865
0,0,0.875
0,0,0.885
1,0.00263880092885792,0.895
0,0,0.905
0,0,0.915
0,0,0.925
0,0,0.935
0,0,0.945
1,0.00263880092885792,0.955
2,0.00527760185771585,0.965
1,0.00263880092885792,0.975
2,0.00527760185771585,0.985
1,0.00263880092885792,0.995
6,0.0158328055731475,1.005
3,0.00791640278657377,1.015
4,0.0105552037154317,1.025
5,0.0131940046442896,1.035
6,0.0158328055731475,1.045
11,0.0290268102174372,1.055
6,0.0158328055731475,1.065
0,0,1.075
3,0.00791640278657377,1.085
9,0.0237492083597213,1.095
4,0.0105552037154317,1.105
13,0.034304412075153,1.115
8,0.0211104074308634,1.125
12,0.0316656111462951,1.135
15,0.0395820139328689,1.145
16,0.0422208148617268,1.155
11,0.0290268102174378,1.165
16,0.0422208148617268,1.175
15,0.0395820139328689,1.185
24,0.0633312222925902,1.195
25,0.0659700232214481,1.205
17,0.0448596157905847,1.215
38,0.100274435296601,1.225
22,0.0580536204348743,1.235
20,0.0527760185771585,1.245
26,0.068608824150306,1.255
24,0.0633312222925902,1.265
40,0.105552037154317,1.275
32,0.0844416297234536,1.285
43,0.113468439940891,1.295
34,0.0897192315811694,1.305
31,0.0818028287945957,1.315
39,0.102913236225459,1.325
37,0.0976356343677432,1.335
38,0.100274435296601,1.345
44,0.116107240869749,1.355
43,0.113468439940891,1.365
39,0.102913236225459,1.375
60,0.158328055731475,1.385
56,0.147772852016044,1.395
46,0.121384842727465,1.405
58,0.15305045387376,1.415
67,0.176799662233481,1.425
70,0.184716065020055,1.435
61,0.160966856660333,1.445
57,0.150411652944902,1.455
62,0.163605657589191,1.465
57,0.150411652944902,1.475
64,0.168883259446911,1.485
65,0.171522060375765,1.495
78,0.205826472450918,1.505
72,0.189993666877771,1.515
63,0.166244458518049,1.525
78,0.205826472450918,1.535
80,0.211104074308634,1.545
78,0.205826472450918,1.555
92,0.242769685454929,1.565
88,0.232214481739497,1.575
88,0.232214481739497,1.585
95,0.250686088241503,1.595
88,0.232214481739497,1.605
92,0.242769685454929,1.615
89,0.234853282668355,1.625
87,0.229575680810639,1.635
93,0.245408486383787,1.645
79,0.208465273379776,1.655
86,0.226936879881782,1.665
95,0.250686088241503,1.675
104,0.274435296601224,1.685
108,0.284990500316656,1.695
101,0.26651889381465,1.705
104,0.274435296601224,1.715
115,0.303462106818661,1.725
92,0.242769685454934,1.735
110,0.290268102174372,1.745
94,0.248047287312645,1.755
96,0.253324889170361,1.765
110,0.290268102174372,1.775
128,0.337766518893814,1.785
118,0.311378509605235,1.795
102,0.269157694743508,1.805
96,0.253324889170361,1.815
117,0.308739708676377,1.825
112,0.295545704032088,1.835
129,0.340405319822672,1.845
133,0.350960523538104,1.855
137,0.361515727253536,1.865
130,0.34304412075153,1.875
89,0.234853282668355,1.885
129,0.340405319822672,1.895
116,0.306100907747519,1.905
128,0.337766518893814,1.915
147,0.387903736542115,1.925
143,0.377348532826683,1.935
135,0.35623812539582,1.945
143,0.377348532826683,1.955
137,0.361515727253536,1.965
124,0.327211315178383,1.975
139,0.366793329111252,1.985
179,0.472345366265579,1.995
121,0.319294912391816,2.005
138,0.364154528182386,2.015
143,0.377348532826692,2.025
143,0.377348532826675,2.035
164,0.432763352332709,2.045
141,0.372070930968959,2.055
175,0.461790162550147,2.065
160,0.422208148617259,2.075
135,0.356238125395828,2.085
143,0.377348532826675,2.095
174,0.459151361621289,2.105
167,0.440679755119264,2.115
200,0.527760185771597,2.125
155,0.409014143972969,2.135
162,0.427485750474993,2.145
168,0.443318556048122,2.155
171,0.451234958834715,2.165
169,0.445957356976979,2.175
184,0.485539370909869,2.185
189,0.498733375554137,2.195
174,0.459151361621289,2.205
186,0.490816972767563,2.215
171,0.451234958834715,2.225
155,0.409014143972969,2.235
210,0.554148195060177,2.245
178,0.469706565336721,2.255
177,0.467067764407842,2.265
209,0.551509394131318,2.275
197,0.519843782985,2.285
192,0.506649778340733,2.295
196,0.517204982056142,2.305
203,0.535676588558171,2.315
203,0.535676588558147,2.325
205,0.540954190415863,2.335
220,0.580536204348756,2.345
210,0.554148195060152,2.355
216,0.569981000633324,2.365
207,0.546231792273603,2.375
236,0.622757019210456,2.385
220,0.580536204348756,2.395
207,0.546231792273578,2.405
226,0.596369009921904,2.415
232,0.612201815495025,2.425
220,0.580536204348756,2.435
216,0.569981000633299,2.445
213,0.56206459784675,2.455
183,0.48290056998099,2.465
207,0.546231792273603,2.475
238,0.628034621068172,2.485
231,0.609563014566194,2.495
227,0.599007810850736,2.505
204,0.538315389487029,2.515
209,0.551509394131294,2.525
235,0.620118218281626,2.535
257,0.678171838716472,2.545
230,0.606924213637336,2.555
231,0.609563014566167,2.565
232,0.612201815495052,2.575
233,0.614840616423883,2.585
229,0.604285412708478,2.595
183,0.48290056998099,2.605
211,0.556786995989034,2.615
235,0.620118218281599,2.625
210,0.554148195060177,2.635
223,0.58845260713533,2.645
235,0.620118218281599,2.655
218,0.57525860249104,2.665
219,0.577897403419873,2.675
226,0.596369009921904,2.685
204,0.538315389487005,2.695
211,0.556786995989034,2.705
203,0.535676588558147,2.715
214,0.564703398775608,2.725
225,0.59373020899302,2.735
216,0.569981000633324,2.745
179,0.472345366265558,2.755
220,0.580536204348756,2.765
200,0.527760185771573,2.775
213,0.56206459784675,2.785
178,0.4697065653367,2.795
200,0.527760185771597,2.805
207,0.546231792273578,2.815
192,0.506649778340733,2.825
208,0.548870593202436,2.835
189,0.498733375554159,2.845
189,0.498733375554137,2.855
192,0.506649778340733,2.865
200,0.527760185771573,2.875
223,0.58845260713533,2.885
219,0.577897403419898,2.895
220,0.58053620434873,2.905
184,0.485539370909869,2.915
216,0.569981000633299,2.925
210,0.554148195060177,2.935
210,0.554148195060152,2.945
199,0.525121384842739,2.955
187,0.493455773696421,2.965
178,0.469706565336721,2.975
186,0.490816972767563,2.985
256,0.675533037787644,2.995
123,0.324572514249518,3.005
182,0.480261769052153,3.015
183,0.48290056998099,3.025
198,0.522482583913881,3.035
201,0.530398986700431,3.045
200,0.527760185771597,3.055
190,0.501372176482995,3.065
200,0.527760185771597,3.075
178,0.4697065653367,3.085
199,0.525121384842739,3.095
202,0.533037787629289,3.105
180,0.474984167194437,3.115
