"counts","density","mids"
1,0.00176323306414642,0.335
0,0,0.345
0,0,0.355
0,0,0.365
0,0,0.375
1,0.00176323306414642,0.385
0,0,0.395
3,0.00528969919243925,0.405
0,0,0.415
0,0,0.425
1,0.00176323306414643,0.435
1,0.00176323306414642,0.445
0,0,0.455
2,0.00352646612829283,0.465
5,0.00881616532073213,0.475
2,0.00352646612829283,0.485
1,0.00176323306414642,0.495
3,0.00528969919243925,0.505
1,0.00176323306414642,0.515
5,0.00881616532073209,0.525
3,0.00528969919243925,0.535
7,0.0123426314490249,0.545
7,0.0123426314490249,0.555
6,0.0105793983848785,0.565
11,0.0193955637056106,0.575
12,0.021158796769757,0.585
12,0.021158796769757,0.595
13,0.0229220298339034,0.605
17,0.0299749620904894,0.615
18,0.0317381951546355,0.625
11,0.0193955637056106,0.635
29,0.0511337588602461,0.645
24,0.042317593539514,0.655
38,0.0670028564375638,0.665
27,0.0476072927319533,0.675
48,0.084635187079029,0.685
52,0.0916881193356137,0.695
44,0.0775822548224424,0.705
58,0.102267517720492,0.715
63,0.111083683041224,0.725
83,0.146348344324153,0.735
80,0.141058645131713,0.745
79,0.139295412067567,0.755
110,0.193955637056106,0.765
116,0.204535035440984,0.775
130,0.229220298339034,0.785
159,0.28035405719928,0.795
165,0.290933455584159,0.805
178,0.313855485418062,0.815
227,0.400253905561237,0.825
287,0.506047889410022,0.835
272,0.479599393447825,0.845
307,0.54131255069295,0.855
347,0.611841873258807,0.865
449,0.791691645801741,0.875
432,0.761716683711252,0.885
539,0.950382621574919,0.895
598,1.05441337235958,0.905
612,1.07909863525761,0.915
718,1.26600134005713,0.925
808,1.4246923158303,0.935
947,1.66978171174666,0.945
1122,1.97834749797228,0.955
1280,2.25693832210741,0.965
1434,2.52847621398596,0.975
1600,2.82117290263427,0.985
1960,3.45593680572698,0.995
1704,3.0045491413055,1.005
2006,3.53704552667771,1.015
1981,3.49296470007405,1.025
1809,3.18968861304087,1.035
1666,2.93754628486793,1.045
1578,2.78238177522305,1.055
1401,2.47028952286913,1.065
1361,2.39976020030327,1.075
1242,2.18993546566985,1.085
1222,2.15467080438692,1.095
