"counts","density","mids"
1,0.0615384615384615,0.3725
3,0.184615384615384,0.3775
3,0.184615384615384,0.3825
2,0.123076923076923,0.3875
6,0.369230769230769,0.3925
8,0.492307692307692,0.3975
13,0.799999999999999,0.4025
17,1.04615384615385,0.4075
21,1.29230769230769,0.4125
30,1.84615384615387,0.4175
46,2.83076923076923,0.4225
41,2.52307692307692,0.4275
58,3.56923076923077,0.4325
41,2.52307692307692,0.4375
52,3.2,0.4425
44,2.70769230769231,0.4475
60,3.69230769230769,0.4525
59,3.63076923076923,0.4575
51,3.13846153846154,0.4625
52,3.2,0.4675
60,3.69230769230769,0.4725
51,3.13846153846157,0.4775
47,2.89230769230769,0.4825
50,3.07692307692307,0.4875
35,2.15384615384615,0.4925
50,3.07692307692307,0.4975
40,2.46153846153846,0.5025
31,1.90769230769231,0.5075
41,2.52307692307692,0.5125
36,2.21538461538461,0.5175
25,1.53846153846154,0.5225
29,1.78461538461538,0.5275
35,2.15384615384615,0.5325
33,2.03076923076923,0.5375
33,2.03076923076923,0.5425
31,1.90769230769231,0.5475
31,1.90769230769231,0.5525
35,2.15384615384615,0.5575
22,1.35384615384615,0.5625
27,1.66153846153846,0.5675
37,2.27692307692308,0.5725
33,2.03076923076923,0.5775
26,1.6,0.5825
21,1.29230769230769,0.5875
27,1.6615384615385,0.5925
25,1.5384615384615,0.5975
24,1.47692307692311,0.6025
23,1.41538461538458,0.6075
28,1.72307692307696,0.6125
32,1.96923076923072,0.6175
24,1.47692307692311,0.6225
31,1.90769230769226,0.6275
20,1.23076923076926,0.6325
24,1.47692307692304,0.6375
22,1.35384615384618,0.6425
30,1.84615384615384,0.6475
24,1.47692307692308,0.6525
18,1.10769230769231,0.6575
24,1.47692307692308,0.6625
19,1.16923076923077,0.6675
28,1.72307692307692,0.6725
21,1.29230769230769,0.6775
17,1.04615384615385,0.6825
21,1.29230769230769,0.6875
26,1.6,0.6925
25,1.53846153846154,0.6975
18,1.10769230769231,0.7025
15,0.923076923076922,0.7075
24,1.47692307692308,0.7125
17,1.04615384615385,0.7175
23,1.41538461538461,0.7225
26,1.6,0.7275
21,1.29230769230769,0.7325
16,0.984615384615406,0.7375
18,1.10769230769228,0.7425
24,1.47692307692311,0.7475
24,1.47692307692304,0.7525
20,1.23076923076926,0.7575
15,0.923076923076902,0.7625
17,1.04615384615387,0.7675
18,1.10769230769228,0.7725
23,1.41538461538465,0.7775
23,1.41538461538458,0.7825
